,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG
0,2024-08-09,Groningen,NAC Breda,4,1,H,3,1
1,2024-08-10,Feyenoord,Willem II,1,1,D,1,0
2,2024-08-10,NEC Nijmegen,Twente,1,2,A,1,0
3,2024-08-10,Almere City FC,AZ Alkmaar,0,1,A,0,0
4,2024-08-10,PSV Eindhoven,Waalwijk,5,1,H,3,2
5,2024-08-11,Sparta Rotterdam,Heracles,0,0,D,0,0
6,2024-08-11,Utrecht,PEC Zwolle,1,0,H,1,0
7,2024-08-11,GO Ahead Eagles,Fortuna Sittard,0,2,A,0,0
8,2024-08-11,Ajax,Heerenveen,1,0,H,1,0
9,2024-08-16,Fortuna Sittard,Almere City FC,3,0,H,1,2
10,2024-08-17,Heerenveen,Utrecht,1,1,D,0,1
11,2024-08-17,Twente,Sparta Rotterdam,1,1,D,0,1
12,2024-08-17,AZ Alkmaar,NEC Nijmegen,1,0,H,1,0
13,2024-08-17,Waalwijk,Groningen,1,2,A,0,1
14,2024-08-18,Heracles,PSV Eindhoven,1,3,A,1,0
15,2024-08-18,PEC Zwolle,Feyenoord,1,5,A,0,1
16,2024-08-18,Willem II,GO Ahead Eagles,2,0,H,2,0
17,2024-08-18,NAC Breda,Ajax,2,1,H,0,2
18,2024-08-24,NEC Nijmegen,PEC Zwolle,1,0,H,0,1
19,2024-08-24,Almere City FC,PSV Eindhoven,1,7,A,0,1
20,2024-08-24,NAC Breda,Utrecht,1,2,A,1,0
21,2024-08-25,Groningen,AZ Alkmaar,0,0,D,0,0
22,2024-08-25,Heracles,Willem II,1,1,D,1,0
23,2024-08-25,Sparta Rotterdam,Feyenoord,1,1,D,1,0
24,2024-08-25,GO Ahead Eagles,Waalwijk,2,0,H,1,1
25,2024-08-30,Waalwijk,AZ Alkmaar,0,3,A,0,0
26,2024-08-31,Almere City FC,Groningen,1,1,D,1,0
27,2024-08-31,Fortuna Sittard,NEC Nijmegen,0,3,A,0,0
28,2024-08-31,Heerenveen,NAC Breda,4,0,H,0,4
29,2024-08-31,Willem II,Sparta Rotterdam,1,2,A,0,1
30,2024-09-01,Utrecht,Twente,2,1,H,1,1
31,2024-09-01,PEC Zwolle,Heracles,3,0,H,1,2
32,2024-09-01,PSV Eindhoven,GO Ahead Eagles,3,0,H,2,1
33,2024-09-14,PSV Eindhoven,NEC Nijmegen,2,0,H,2,0
34,2024-09-14,Twente,PEC Zwolle,1,1,D,0,1
35,2024-09-14,Groningen,Feyenoord,2,2,D,0,2
36,2024-09-14,NAC Breda,Fortuna Sittard,1,0,H,0,1
37,2024-09-14,AZ Alkmaar,Heerenveen,9,1,H,2,7
38,2024-09-15,Sparta Rotterdam,GO Ahead Eagles,1,2,A,0,1
39,2024-09-15,Willem II,Waalwijk,3,0,H,2,1
40,2024-09-15,Heracles,Almere City FC,0,0,D,0,0
41,2024-09-17,Twente,Heerenveen,2,0,H,2,0
42,2024-09-18,Ajax,Fortuna Sittard,5,0,H,2,3
43,2024-09-20,PEC Zwolle,AZ Alkmaar,1,2,A,0,1
44,2024-09-21,Utrecht,Willem II,3,2,H,2,1
45,2024-09-21,Waalwijk,Sparta Rotterdam,1,2,A,0,1
46,2024-09-21,GO Ahead Eagles,Ajax,1,1,D,0,1
47,2024-09-21,NEC Nijmegen,Heracles,1,2,A,1,0
48,2024-09-22,Heerenveen,Groningen,2,1,H,1,1
49,2024-09-22,Feyenoord,NAC Breda,2,0,H,1,1
50,2024-09-22,Almere City FC,Twente,0,5,A,0,0
51,2024-09-22,Fortuna Sittard,PSV Eindhoven,1,3,A,1,0
52,2024-09-27,Heracles,Heerenveen,2,1,H,1,1
53,2024-09-28,Willem II,PSV Eindhoven,0,2,A,0,0
54,2024-09-28,NEC Nijmegen,Feyenoord,1,1,D,1,0
55,2024-09-28,Sparta Rotterdam,Fortuna Sittard,1,1,D,1,0
56,2024-09-29,PEC Zwolle,Almere City FC,1,0,H,0,1
57,2024-09-29,Groningen,GO Ahead Eagles,0,1,A,0,0
58,2024-09-29,Twente,NAC Breda,1,0,H,0,1
59,2024-09-29,Waalwijk,Ajax,0,2,A,0,0
60,2024-09-29,AZ Alkmaar,Utrecht,1,2,A,1,0
61,2024-10-04,Almere City FC,Willem II,0,1,A,0,0
62,2024-10-05,NAC Breda,NEC Nijmegen,1,0,H,0,1
63,2024-10-05,PSV Eindhoven,Sparta Rotterdam,2,1,H,2,0
64,2024-10-05,Utrecht,Waalwijk,3,2,H,1,2
65,2024-10-06,GO Ahead Eagles,Heracles,4,1,H,0,4
66,2024-10-06,Feyenoord,Twente,2,1,H,2,0
67,2024-10-06,Heerenveen,PEC Zwolle,1,1,D,1,0
68,2024-10-06,Ajax,Groningen,3,1,H,1,2
69,2024-10-06,Fortuna Sittard,AZ Alkmaar,1,0,H,0,1
70,2024-10-19,Sparta Rotterdam,Almere City FC,2,2,D,0,2
71,2024-10-19,AZ Alkmaar,PSV Eindhoven,1,2,A,0,1
72,2024-10-19,NEC Nijmegen,Heerenveen,3,0,H,1,2
73,2024-10-19,Waalwijk,Twente,2,2,D,1,1
74,2024-10-19,GO Ahead Eagles,Feyenoord,1,5,A,0,1
75,2024-10-20,Willem II,Fortuna Sittard,0,0,D,0,0
76,2024-10-20,Groningen,Utrecht,0,1,A,0,0
77,2024-10-20,Heracles,Ajax,3,4,A,2,1
78,2024-10-20,PEC Zwolle,NAC Breda,1,2,A,0,1
79,2024-10-25,Almere City FC,NEC Nijmegen,1,0,H,0,1
80,2024-10-26,Fortuna Sittard,Groningen,1,0,H,0,1
81,2024-10-26,PSV Eindhoven,PEC Zwolle,6,0,H,2,4
82,2024-10-26,NAC Breda,Waalwijk,4,1,H,2,2
83,2024-10-26,Heerenveen,Sparta Rotterdam,2,0,H,1,1
84,2024-10-27,Utrecht,Feyenoord,0,2,A,0,0
85,2024-10-27,Twente,Heracles,5,0,H,2,3
86,2024-10-27,Ajax,Willem II,1,0,H,1,0
87,2024-10-27,AZ Alkmaar,GO Ahead Eagles,2,2,D,1,1
88,2024-10-30,Feyenoord,Ajax,0,2,A,0,0
89,2024-11-02,Willem II,Twente,0,1,A,0,0
90,2024-11-02,Ajax,PSV Eindhoven,3,2,H,1,2
91,2024-11-02,Heracles,NAC Breda,2,0,H,1,1
92,2024-11-02,Fortuna Sittard,Heerenveen,3,0,H,1,2
93,2024-11-02,Feyenoord,AZ Alkmaar,3,2,H,0,3
94,2024-11-03,GO Ahead Eagles,PEC Zwolle,2,2,D,0,2
95,2024-11-03,NEC Nijmegen,Groningen,6,0,H,3,3
96,2024-11-03,Sparta Rotterdam,Utrecht,1,4,A,0,1
97,2024-11-03,Waalwijk,Almere City FC,2,0,H,1,1
98,2024-11-08,Utrecht,Heracles,1,0,H,0,1
99,2024-11-09,Groningen,Sparta Rotterdam,1,0,H,1,0
100,2024-11-09,PEC Zwolle,Fortuna Sittard,3,1,H,0,3
101,2024-11-09,NAC Breda,PSV Eindhoven,0,3,A,0,0
102,2024-11-09,Waalwijk,NEC Nijmegen,0,3,A,0,0
103,2024-11-10,Almere City FC,Feyenoord,1,4,A,1,0
104,2024-11-10,Heerenveen,GO Ahead Eagles,1,0,H,1,0
105,2024-11-10,Twente,Ajax,2,2,D,1,1
106,2024-11-10,AZ Alkmaar,Willem II,1,2,A,0,1
107,2024-11-23,GO Ahead Eagles,Almere City FC,3,0,H,2,1
108,2024-11-23,Heracles,Waalwijk,2,2,D,1,1
109,2024-11-23,Feyenoord,Heerenveen,3,0,H,2,1
110,2024-11-23,PSV Eindhoven,Groningen,5,0,H,2,3
111,2024-11-23,Fortuna Sittard,Twente,1,2,A,0,1
112,2024-11-24,NEC Nijmegen,Utrecht,1,2,A,0,1
113,2024-11-24,Willem II,NAC Breda,2,2,D,0,2
