league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
Neerdeland,2022,2022-08-05,Heerenveen,Sparta Rotterdam,0,0,0,0,D
Neerdeland,2022,2022-08-06,Fortuna Sittard,Ajax,2,3,1,1,A
Neerdeland,2022,2022-08-06,Cambuur,Excelsior,0,2,0,0,A
Neerdeland,2022,2022-08-06,PSV Eindhoven,Emmen,4,1,3,1,H
Neerdeland,2022,2022-08-06,Waalwijk,Utrecht,2,2,2,0,D
Neerdeland,2022,2022-08-07,Groningen,FC Volendam,2,2,2,0,D
Neerdeland,2022,2022-08-07,Vitesse,Feyenoord,2,5,1,1,A
Neerdeland,2022,2022-08-07,NEC Nijmegen,Twente,0,1,0,0,A
Neerdeland,2022,2022-08-07,AZ Alkmaar,GO Ahead Eagles,2,0,0,2,H
Neerdeland,2022,2022-08-12,Excelsior,Vitesse,3,1,2,1,H
Neerdeland,2022,2022-08-13,GO Ahead Eagles,PSV Eindhoven,2,5,1,1,A
Neerdeland,2022,2022-08-13,Utrecht,Cambuur,0,0,0,0,D
Neerdeland,2022,2022-08-13,Emmen,Waalwijk,1,1,0,1,D
Neerdeland,2022,2022-08-13,Feyenoord,Heerenveen,0,0,0,0,D
Neerdeland,2022,2022-08-14,FC Volendam,NEC Nijmegen,1,4,1,0,A
Neerdeland,2022,2022-08-14,Ajax,Groningen,6,1,3,3,H
Neerdeland,2022,2022-08-14,Twente,Fortuna Sittard,3,0,2,1,H
Neerdeland,2022,2022-08-14,Sparta Rotterdam,AZ Alkmaar,2,3,1,1,A
Neerdeland,2022,2022-08-20,Vitesse,Heerenveen,0,4,0,0,A
Neerdeland,2022,2022-08-20,Fortuna Sittard,Cambuur,1,4,1,0,A
Neerdeland,2022,2022-08-20,Emmen,Utrecht,3,2,1,2,H
Neerdeland,2022,2022-08-21,Groningen,GO Ahead Eagles,1,0,1,0,H
Neerdeland,2022,2022-08-21,Sparta Rotterdam,Ajax,0,1,0,0,A
Neerdeland,2022,2022-08-21,Waalwijk,Feyenoord,0,1,0,0,A
Neerdeland,2022,2022-08-26,NEC Nijmegen,Groningen,1,1,0,1,D
Neerdeland,2022,2022-08-27,GO Ahead Eagles,Sparta Rotterdam,0,1,0,0,A
Neerdeland,2022,2022-08-27,Vitesse,Waalwijk,2,2,0,2,D
Neerdeland,2022,2022-08-27,Feyenoord,Emmen,4,0,0,4,H
Neerdeland,2022,2022-08-27,Heerenveen,Fortuna Sittard,2,1,2,0,H
Neerdeland,2022,2022-08-28,Utrecht,Ajax,0,2,0,0,A
Neerdeland,2022,2022-08-28,Excelsior,PSV Eindhoven,1,6,0,1,A
Neerdeland,2022,2022-08-28,FC Volendam,Twente,1,0,0,1,H
Neerdeland,2022,2022-08-28,Cambuur,AZ Alkmaar,0,1,0,0,A
Neerdeland,2022,2022-08-31,PSV Eindhoven,FC Volendam,7,1,3,4,H
Neerdeland,2022,2022-08-31,Twente,Excelsior,4,0,2,2,H
Neerdeland,2022,2022-09-01,AZ Alkmaar,NEC Nijmegen,1,1,0,1,D
Neerdeland,2022,2022-09-02,Fortuna Sittard,Utrecht,3,4,0,3,A
Neerdeland,2022,2022-09-03,Ajax,Cambuur,4,0,2,2,H
Neerdeland,2022,2022-09-03,Twente,PSV Eindhoven,2,1,2,0,H
Neerdeland,2022,2022-09-03,Sparta Rotterdam,FC Volendam,4,0,1,3,H
Neerdeland,2022,2022-09-03,GO Ahead Eagles,Feyenoord,3,4,2,1,A
Neerdeland,2022,2022-09-04,Waalwijk,Excelsior,5,2,1,4,H
Neerdeland,2022,2022-09-04,Emmen,AZ Alkmaar,0,3,0,0,A
