,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
1334,2025,2025-01-23,Godoy Cruz,Rosario Central,0,3,0,0,A
1335,2025,2025-01-23,Tigre,Velez Sarsfield,3,0,2,1,H
1336,2025,2025-01-24,Defensa Y Justicia,Banfield,0,1,0,0,A
1337,2025,2025-01-24,Lanus,Deportivo Riestra,0,2,0,0,A
1338,2025,2025-01-24,Newells Old Boys,Independ. Rivadavia,0,1,0,0,A
1339,2025,2025-01-24,Barracas Central,Racing Club,1,3,1,0,A
1340,2025,2025-01-24,Independiente,Sarmiento Junin,2,1,1,1,H
1341,2025,2025-01-25,Belgrano Cordoba,Huracan,1,1,1,0,D
1342,2025,2025-01-25,San Martin S.J.,Atletico Tucuman,0,1,0,0,A
1343,2025,2025-01-25,San Lorenzo,Talleres Cordoba,1,0,0,1,H
1344,2025,2025-01-25,Estudiantes L.P.,Union Santa Fe,3,1,3,0,H
1345,2025,2025-01-25,Instituto Cordoba,Gimnasia L.P.,3,0,1,2,H
1346,2025,2025-01-26,Platense,River Plate,1,1,1,0,D
1347,2025,2025-01-26,Boca Juniors,Argentinos JRS,0,0,0,0,D
1348,2025,2025-01-27,Central Cordoba de Santiago,Aldosivi,1,0,0,1,H
1349,2025,2025-01-27,Banfield,Newells Old Boys,3,0,2,1,H
1350,2025,2025-01-28,Deportivo Riestra,San Martin S.J.,0,0,0,0,D
1351,2025,2025-01-28,Rosario Central,Lanus,2,1,2,0,H
1352,2025,2025-01-28,Sarmiento Junin,Godoy Cruz,0,0,0,0,D
1353,2025,2025-01-29,Velez Sarsfield,Platense,0,1,0,0,A
1354,2025,2025-01-29,Independ. Rivadavia,Barracas Central,0,0,0,0,D
1355,2025,2025-01-29,Gimnasia L.P.,San Lorenzo,0,2,0,0,A
1356,2025,2025-01-29,Talleres Cordoba,Independiente,2,3,1,1,A
1357,2025,2025-01-29,Union Santa Fe,Boca Juniors,1,1,0,1,D
1358,2025,2025-01-29,Huracan,Estudiantes L.P.,0,0,0,0,D
1359,2025,2025-01-30,River Plate,Instituto Cordoba,1,0,0,1,H
1360,2025,2025-01-30,Aldosivi,Defensa Y Justicia,0,5,0,0,A
1361,2025,2025-01-30,Racing Club,Belgrano Cordoba,4,0,1,3,H
1362,2025,2025-01-31,Argentinos JRS,Tigre,1,0,1,0,H
1363,2025,2025-01-31,Central Cordoba de Santiago,Atletico Tucuman,2,0,1,1,H
1364,2025,2025-02-01,Barracas Central,Banfield,1,0,1,0,H
1365,2025,2025-02-01,San Martin S.J.,Rosario Central,0,0,0,0,D
1366,2025,2025-02-02,Lanus,Sarmiento Junin,2,0,2,0,H
1367,2025,2025-02-02,San Lorenzo,River Plate,0,0,0,0,D
1368,2025,2025-02-02,Boca Juniors,Huracan,2,1,1,1,H
1369,2025,2025-02-02,Newells Old Boys,Aldosivi,1,0,1,0,H
1370,2025,2025-02-03,Independiente,Gimnasia L.P.,2,0,1,1,H
1371,2025,2025-02-03,Instituto Cordoba,Velez Sarsfield,2,0,1,1,H
1372,2025,2025-02-03,Defensa Y Justicia,Central Cordoba de Santiago,2,1,0,2,H
1373,2025,2025-02-03,Estudiantes L.P.,Racing Club,2,0,1,1,H
1374,2025,2025-02-03,Tigre,Union Santa Fe,1,0,1,0,H
1375,2025,2025-02-04,Belgrano Cordoba,Independ. Rivadavia,0,3,0,0,A
1376,2025,2025-02-04,Argentinos JRS,Platense,1,0,0,1,H
1377,2025,2025-02-05,Atletico Tucuman,Deportivo Riestra,0,3,0,0,A
1378,2025,2025-02-06,Aldosivi,Barracas Central,1,3,0,1,A
1379,2025,2025-02-06,Sarmiento Junin,San Martin S.J.,1,1,0,1,D
1380,2025,2025-02-07,Banfield,Belgrano Cordoba,1,1,1,0,D
1381,2025,2025-02-07,Huracan,Tigre,2,0,1,1,H
1382,2025,2025-02-07,Central Cordoba de Santiago,Newells Old Boys,2,0,1,1,H
1383,2025,2025-02-08,Union Santa Fe,Argentinos JRS,0,1,0,0,A
1384,2025,2025-02-08,Independ. Rivadavia,Estudiantes L.P.,2,2,0,2,D
1385,2025,2025-02-08,Velez Sarsfield,San Lorenzo,0,0,0,0,D
1386,2025,2025-02-08,Rosario Central,Atletico Tucuman,3,1,1,2,H
1387,2025,2025-02-08,River Plate,Independiente,2,0,0,2,H
1388,2025,2025-02-09,Racing Club,Boca Juniors,2,0,1,1,H
1389,2025,2025-02-09,Deportivo Riestra,Defensa Y Justicia,1,1,0,1,D
1390,2025,2025-02-09,Platense,Instituto Cordoba,1,0,0,1,H
1391,2025,2025-02-09,Gimnasia L.P.,Godoy Cruz,3,0,1,2,H
1392,2025,2025-02-10,Talleres Cordoba,Lanus,0,1,0,0,A
1393,2025,2025-02-11,Barracas Central,Central Cordoba de Santiago,3,3,0,3,D
1394,2025,2025-02-11,Estudiantes L.P.,Banfield,1,0,0,1,H
1395,2025,2025-02-11,Boca Juniors,Independ. Rivadavia,2,0,0,2,H
1396,2025,2025-02-12,Belgrano Cordoba,Aldosivi,2,0,1,1,H
1397,2025,2025-02-12,Tigre,Racing Club,1,0,1,0,H
1398,2025,2025-02-12,Deportivo Riestra,Rosario Central,0,0,0,0,D
1399,2025,2025-02-12,Newells Old Boys,Defensa Y Justicia,0,1,0,0,A
1400,2025,2025-02-12,Independiente,Velez Sarsfield,3,0,2,1,H
1401,2025,2025-02-12,Argentinos JRS,Huracan,1,1,1,0,D
1402,2025,2025-02-13,Godoy Cruz,River Plate,0,0,0,0,D
