league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
Argentine_league_1,2025,2025-01-23,Godoy Cruz,Rosario Central,0,3,0,2,A
Argentine_league_1,2025,2025-01-23,Tigre,Velez Sarsfield,3,0,2,0,H
Argentine_league_1,2025,2025-01-24,Defensa Y Justicia,Banfield,0,1,0,0,A
Argentine_league_1,2025,2025-01-24,Lanus,Deportivo Riestra,0,2,0,0,A
Argentine_league_1,2025,2025-01-24,Newells Old Boys,Independ. Rivadavia,0,1,0,1,A
Argentine_league_1,2025,2025-01-24,Barracas Central,Racing Club,1,3,1,1,A
Argentine_league_1,2025,2025-01-24,Independiente,Sarmiento Junin,2,1,1,0,H
Argentine_league_1,2025,2025-01-25,Belgrano Cordoba,Huracan,1,1,1,1,D
Argentine_league_1,2025,2025-01-25,San Martin S.J.,Atletico Tucuman,0,1,0,1,A
Argentine_league_1,2025,2025-01-25,San Lorenzo,Talleres Cordoba,1,0,0,0,H
Argentine_league_1,2025,2025-01-25,Estudiantes L.P.,Union Santa Fe,3,1,3,0,H
Argentine_league_1,2025,2025-01-25,Instituto Cordoba,Gimnasia L.P.,3,0,1,0,H
Argentine_league_1,2025,2025-01-26,Platense,River Plate,1,1,1,0,D
Argentine_league_1,2025,2025-01-26,Boca Juniors,Argentinos JRS,0,0,0,0,D
Argentine_league_1,2025,2025-01-27,Central Cordoba de Santiago,Aldosivi,1,0,0,0,H
Argentine_league_1,2025,2025-01-27,Banfield,Newells Old Boys,3,0,2,0,H
Argentine_league_1,2025,2025-01-28,Deportivo Riestra,San Martin S.J.,0,0,0,0,D
Argentine_league_1,2025,2025-01-28,Rosario Central,Lanus,2,1,2,0,H
Argentine_league_1,2025,2025-01-28,Sarmiento Junin,Godoy Cruz,0,0,0,0,D
Argentine_league_1,2025,2025-01-29,Velez Sarsfield,Platense,0,1,0,0,A
Argentine_league_1,2025,2025-01-29,Independ. Rivadavia,Barracas Central,0,0,0,0,D
Argentine_league_1,2025,2025-01-29,Gimnasia L.P.,San Lorenzo,0,2,0,0,A
Argentine_league_1,2025,2025-01-29,Talleres Cordoba,Independiente,2,3,1,2,A
Argentine_league_1,2025,2025-01-29,Union Santa Fe,Boca Juniors,1,1,0,1,D
Argentine_league_1,2025,2025-01-29,Huracan,Estudiantes L.P.,0,0,0,0,D
Argentine_league_1,2025,2025-01-30,River Plate,Instituto Cordoba,1,0,0,0,H
Argentine_league_1,2025,2025-01-30,Aldosivi,Defensa Y Justicia,0,5,0,2,A
Argentine_league_1,2025,2025-01-30,Racing Club,Belgrano Cordoba,4,0,1,0,H
Argentine_league_1,2025,2025-01-31,Argentinos JRS,Tigre,1,0,1,0,H
Argentine_league_1,2025,2025-01-31,Central Cordoba de Santiago,Atletico Tucuman,2,0,1,0,H
Argentine_league_1,2025,2025-02-01,Barracas Central,Banfield,1,0,1,0,H
Argentine_league_1,2025,2025-02-01,San Martin S.J.,Rosario Central,0,0,0,0,D
Argentine_league_1,2025,2025-02-02,Lanus,Sarmiento Junin,2,0,2,0,H
