,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
0,2024-07-26,Club Brugge KV,KV Mechelen,1,1,0,1,D
1,2024-07-27,Dender,Union St. Gilloise,0,0,0,0,D
2,2024-07-27,Beerschot Wilrijk,OH Leuven,0,0,0,0,D
3,2024-07-27,Anderlecht,St. Truiden,1,0,0,1,H
4,2024-07-28,Genk,Standard Liege,0,0,0,0,D
5,2024-07-28,Kortrijk,Gent,0,1,0,0,A
6,2024-07-28,Charleroi,Antwerp,0,1,0,0,A
7,2024-07-28,KVC Westerlo,Cercle Brugge,3,0,1,2,H
8,2024-08-02,Union St. Gilloise,Beerschot Wilrijk,3,1,2,1,H
9,2024-08-03,KV Mechelen,KVC Westerlo,2,4,0,2,A
10,2024-08-03,OH Leuven,Genk,3,1,2,1,H
11,2024-08-03,St. Truiden,Charleroi,1,4,0,1,A
12,2024-08-04,Antwerp,Anderlecht,1,2,1,0,A
13,2024-08-04,Cercle Brugge,Kortrijk,1,2,1,0,A
14,2024-08-04,Standard Liege,Club Brugge KV,1,0,0,1,H
15,2024-08-04,Gent,Dender,1,2,0,1,A
16,2024-08-09,Standard Liege,KV Mechelen,0,0,0,0,D
17,2024-08-10,Dender,Kortrijk,4,1,2,2,H
18,2024-08-10,KVC Westerlo,Union St. Gilloise,4,3,3,1,H
19,2024-08-10,Anderlecht,OH Leuven,1,1,1,0,D
20,2024-08-11,Genk,Club Brugge KV,3,2,0,3,H
21,2024-08-11,Antwerp,St. Truiden,6,1,2,4,H
22,2024-08-11,Charleroi,Gent,1,0,0,1,H
23,2024-08-11,Cercle Brugge,Beerschot Wilrijk,4,1,3,1,H
24,2024-08-16,Union St. Gilloise,Charleroi,1,0,0,1,H
25,2024-08-17,Beerschot Wilrijk,Genk,3,4,1,2,A
26,2024-08-17,St. Truiden,Dender,3,3,2,1,D
27,2024-08-17,KV Mechelen,Anderlecht,1,3,1,0,A
28,2024-08-18,Club Brugge KV,Antwerp,1,0,0,1,H
29,2024-08-18,OH Leuven,Cercle Brugge,1,1,1,0,D
30,2024-08-18,Kortrijk,Standard Liege,1,0,0,1,H
31,2024-08-18,Gent,KVC Westerlo,4,1,3,1,H
32,2024-08-24,KVC Westerlo,OH Leuven,1,1,1,0,D
33,2024-08-24,Antwerp,KV Mechelen,0,1,0,0,A
34,2024-08-25,Dender,Club Brugge KV,1,2,1,0,A
35,2024-08-25,St. Truiden,Union St. Gilloise,0,0,0,0,D
36,2024-08-25,Standard Liege,Beerschot Wilrijk,1,0,0,1,H
37,2024-08-25,Charleroi,Kortrijk,1,0,1,0,H
38,2024-08-30,Genk,KVC Westerlo,1,0,0,1,H
39,2024-08-31,KV Mechelen,Charleroi,5,2,3,2,H
40,2024-08-31,Beerschot Wilrijk,Dender,1,2,0,1,A
41,2024-08-31,OH Leuven,Standard Liege,2,0,1,1,H
42,2024-09-01,Club Brugge KV,Cercle Brugge,3,0,2,1,H
43,2024-09-01,Gent,Antwerp,1,1,1,0,D
44,2024-09-01,Union St. Gilloise,Anderlecht,0,0,0,0,D
45,2024-09-01,Kortrijk,St. Truiden,1,1,0,1,D
46,2024-09-13,Dender,Standard Liege,0,2,0,0,A
47,2024-09-14,Cercle Brugge,Genk,2,3,2,0,A
48,2024-09-14,Kortrijk,Club Brugge KV,0,3,0,0,A
49,2024-09-14,Anderlecht,KVC Westerlo,2,2,1,1,D
50,2024-09-15,Antwerp,Union St. Gilloise,2,0,0,2,H
51,2024-09-15,St. Truiden,OH Leuven,2,1,1,1,H
52,2024-09-15,Charleroi,Beerschot Wilrijk,3,0,1,2,H
53,2024-09-15,Gent,KV Mechelen,2,0,2,0,H
54,2024-09-17,Anderlecht,Genk,0,2,0,0,A
55,2024-09-20,Standard Liege,Union St. Gilloise,0,0,0,0,D
56,2024-09-21,Beerschot Wilrijk,St. Truiden,0,3,0,0,A
57,2024-09-21,KVC Westerlo,Antwerp,1,2,1,0,A
58,2024-09-21,Anderlecht,Charleroi,0,0,0,0,D
59,2024-09-22,Club Brugge KV,Gent,2,4,0,2,A
60,2024-09-22,KV Mechelen,Cercle Brugge,2,0,1,1,H
61,2024-09-22,Genk,Dender,4,0,1,3,H
62,2024-09-22,OH Leuven,Kortrijk,1,1,0,1,D
