league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
Belgique,2025,2025-07-25,Antwerp,Union St. Gilloise,1,1,1,0,D
Belgique,2025,2025-07-26,Dender,Cercle Brugge,0,0,0,0,D
Belgique,2025,2025-07-26,Zulte Waregem,KV Mechelen,1,1,0,1,D
Belgique,2025,2025-07-26,RAAL La Louvière,Standard Liege,0,2,0,0,A
Belgique,2025,2025-07-27,Anderlecht,KVC Westerlo,5,2,2,3,H
Belgique,2025,2025-07-27,OH Leuven,Charleroi,2,2,1,1,D
Belgique,2025,2025-07-27,Club Brugge KV,Genk,2,1,0,2,H
Belgique,2025,2025-07-27,St. Truiden,Gent,3,1,0,3,H
Belgique,2025,2025-08-01,KV Mechelen,Club Brugge KV,2,1,1,1,H
Belgique,2025,2025-08-02,KVC Westerlo,Zulte Waregem,3,1,2,1,H
Belgique,2025,2025-08-02,Standard Liege,Dender,1,1,0,1,D
Belgique,2025,2025-08-02,Gent,RAAL La Louvière,1,0,0,1,H
Belgique,2025,2025-08-03,Genk,Antwerp,1,1,1,0,D
Belgique,2025,2025-08-03,Cercle Brugge,Anderlecht,0,2,0,0,A
Belgique,2025,2025-08-03,Union St. Gilloise,OH Leuven,5,0,2,3,H
Belgique,2025,2025-08-03,Charleroi,St. Truiden,1,1,1,0,D
Belgique,2025,2025-08-08,St. Truiden,Dender,2,0,1,1,H
Belgique,2025,2025-08-09,Club Brugge KV,Cercle Brugge,2,0,0,2,H
Belgique,2025,2025-08-09,KVC Westerlo,KV Mechelen,0,1,0,0,A
Belgique,2025,2025-08-09,Gent,Union St. Gilloise,2,3,0,2,A
Belgique,2025,2025-08-10,RAAL La Louvière,Charleroi,1,0,1,0,H
Belgique,2025,2025-08-10,Anderlecht,Zulte Waregem,2,3,0,2,A
Belgique,2025,2025-08-10,Standard Liege,Genk,2,1,1,1,H
Belgique,2025,2025-08-10,Antwerp,OH Leuven,3,1,1,2,H
Belgique,2025,2025-08-15,OH Leuven,Genk,1,2,1,0,A
Belgique,2025,2025-08-16,Zulte Waregem,Club Brugge KV,0,1,0,0,A
Belgique,2025,2025-08-16,KV Mechelen,Gent,1,1,1,0,D
Belgique,2025,2025-08-16,Union St. Gilloise,Standard Liege,3,0,1,2,H
Belgique,2025,2025-08-17,Dender,Anderlecht,0,2,0,0,A
Belgique,2025,2025-08-17,St. Truiden,RAAL La Louvière,2,1,1,1,H
Belgique,2025,2025-08-17,Charleroi,Antwerp,1,1,1,0,D
Belgique,2025,2025-08-17,Cercle Brugge,KVC Westerlo,4,1,3,1,H
Belgique,2025,2025-08-23,Standard Liege,Cercle Brugge,0,3,0,0,A
Belgique,2025,2025-08-23,Zulte Waregem,St. Truiden,0,2,0,0,A
Belgique,2025,2025-08-24,Antwerp,KV Mechelen,2,1,1,1,H
Belgique,2025,2025-08-24,RAAL La Louvière,Union St. Gilloise,0,0,0,0,D
Belgique,2025,2025-08-24,Dender,OH Leuven,0,1,0,0,A
Belgique,2025,2025-08-29,Cercle Brugge,St. Truiden,1,1,1,0,D
Belgique,2025,2025-08-30,KV Mechelen,RAAL La Louvière,3,2,1,2,H
Belgique,2025,2025-08-30,KVC Westerlo,Antwerp,2,0,1,1,H
Belgique,2025,2025-08-30,Charleroi,Dender,3,1,1,2,H
Belgique,2025,2025-08-31,Gent,Club Brugge KV,1,1,0,1,D
Belgique,2025,2025-08-31,OH Leuven,Standard Liege,1,0,0,1,H
Belgique,2025,2025-08-31,Union St. Gilloise,Anderlecht,2,0,1,1,H
Belgique,2025,2025-08-31,Genk,Zulte Waregem,3,2,2,1,H
