,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG
0,2024-08-23,Borussia Mönchengladbach,Bayer Leverkusen,2,3,A,0,2
1,2024-08-24,SC Freiburg,VfB Stuttgart,3,1,H,1,2
2,2024-08-24,FSV Mainz 05,Union Berlin,1,1,D,0,1
3,2024-08-24,1899 Hoffenheim,Holstein Kiel,3,2,H,2,1
4,2024-08-24,FC Augsburg,Werder Bremen,2,2,D,2,0
5,2024-08-24,RB Leipzig,VfL Bochum,1,0,H,0,1
6,2024-08-24,Borussia Dortmund,Eintracht Frankfurt,2,0,H,0,2
7,2024-08-25,VfL Wolfsburg,Bayern München,2,3,A,0,2
8,2024-08-25,FC St. Pauli,1. FC Heidenheim,0,2,A,0,0
9,2024-08-30,Union Berlin,FC St. Pauli,1,0,H,1,0
10,2024-08-31,Werder Bremen,Borussia Dortmund,0,0,D,0,0
11,2024-08-31,Eintracht Frankfurt,1899 Hoffenheim,3,1,H,2,1
12,2024-08-31,VfB Stuttgart,FSV Mainz 05,3,3,D,2,1
13,2024-08-31,VfL Bochum,Borussia Mönchengladbach,0,2,A,0,0
14,2024-08-31,Holstein Kiel,VfL Wolfsburg,0,2,A,0,0
15,2024-08-31,Bayer Leverkusen,RB Leipzig,2,3,A,2,0
16,2024-09-01,1. FC Heidenheim,FC Augsburg,4,0,H,2,2
17,2024-09-01,Bayern München,SC Freiburg,2,0,H,1,1
18,2024-09-13,Borussia Dortmund,1. FC Heidenheim,4,2,H,3,1
19,2024-09-14,SC Freiburg,VfL Bochum,2,1,H,0,2
20,2024-09-14,VfL Wolfsburg,Eintracht Frankfurt,1,2,A,0,1
21,2024-09-14,Borussia Mönchengladbach,VfB Stuttgart,1,3,A,1,0
22,2024-09-14,1899 Hoffenheim,Bayer Leverkusen,1,4,A,1,0
23,2024-09-14,RB Leipzig,Union Berlin,0,0,D,0,0
24,2024-09-14,Holstein Kiel,Bayern München,1,6,A,0,1
25,2024-09-15,FC Augsburg,FC St. Pauli,3,1,H,0,3
26,2024-09-15,FSV Mainz 05,Werder Bremen,1,2,A,1,0
27,2024-09-20,FC Augsburg,FSV Mainz 05,2,3,A,1,1
