league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
Bundesliga,2022,2022-08-05,Eintracht Frankfurt,Bayern Munich,1,6,0,1,A
Bundesliga,2022,2022-08-06,VfL Wolfsburg,Werder Bremen,2,2,1,1,D
Bundesliga,2022,2022-08-06,Borussia Monchengladbach,1899 Hoffenheim,3,1,1,2,H
Bundesliga,2022,2022-08-06,FC Augsburg,SC Freiburg,0,4,0,0,A
Bundesliga,2022,2022-08-06,Vfl Bochum,FSV Mainz 05,1,2,1,0,A
Bundesliga,2022,2022-08-06,Union Berlin,Hertha Berlin,3,1,1,2,H
Bundesliga,2022,2022-08-06,Borussia Dortmund,Bayer Leverkusen,1,0,1,0,H
Bundesliga,2022,2022-08-07,VfB Stuttgart,RB Leipzig,1,1,1,0,D
Bundesliga,2022,2022-08-07,1.FC Köln,FC Schalke 04,3,1,0,3,H
Bundesliga,2022,2022-08-12,SC Freiburg,Borussia Dortmund,1,3,1,0,A
Bundesliga,2022,2022-08-13,Hertha Berlin,Eintracht Frankfurt,1,1,1,0,D
Bundesliga,2022,2022-08-13,Werder Bremen,VfB Stuttgart,2,2,1,1,D
Bundesliga,2022,2022-08-13,1899 Hoffenheim,Vfl Bochum,3,2,2,1,H
Bundesliga,2022,2022-08-13,Bayer Leverkusen,FC Augsburg,1,2,1,0,A
Bundesliga,2022,2022-08-13,RB Leipzig,1.FC Köln,2,2,1,1,D
Bundesliga,2022,2022-08-13,FC Schalke 04,Borussia Monchengladbach,2,2,1,1,D
Bundesliga,2022,2022-08-14,FSV Mainz 05,Union Berlin,0,0,0,0,D
Bundesliga,2022,2022-08-14,Bayern Munich,VfL Wolfsburg,2,0,2,0,H
Bundesliga,2022,2022-08-19,Borussia Monchengladbach,Hertha Berlin,1,0,1,0,H
Bundesliga,2022,2022-08-20,VfL Wolfsburg,FC Schalke 04,0,0,0,0,D
Bundesliga,2022,2022-08-20,Borussia Dortmund,Werder Bremen,2,3,1,1,A
Bundesliga,2022,2022-08-20,Bayer Leverkusen,1899 Hoffenheim,0,3,0,0,A
Bundesliga,2022,2022-08-20,FC Augsburg,FSV Mainz 05,1,2,1,0,A
Bundesliga,2022,2022-08-20,VfB Stuttgart,SC Freiburg,0,1,0,0,A
Bundesliga,2022,2022-08-20,Union Berlin,RB Leipzig,2,1,2,0,H
Bundesliga,2022,2022-08-21,Eintracht Frankfurt,1.FC Köln,1,1,0,1,D
Bundesliga,2022,2022-08-21,Vfl Bochum,Bayern Munich,0,7,0,0,A
Bundesliga,2022,2022-08-26,SC Freiburg,Vfl Bochum,1,0,0,1,H
Bundesliga,2022,2022-08-27,Hertha Berlin,Borussia Dortmund,0,1,0,0,A
Bundesliga,2022,2022-08-27,FSV Mainz 05,Bayer Leverkusen,0,3,0,0,A
Bundesliga,2022,2022-08-27,1899 Hoffenheim,FC Augsburg,1,0,1,0,H
Bundesliga,2022,2022-08-27,RB Leipzig,VfL Wolfsburg,2,0,1,1,H
Bundesliga,2022,2022-08-27,FC Schalke 04,Union Berlin,1,6,1,0,A
Bundesliga,2022,2022-08-27,Bayern Munich,Borussia Monchengladbach,1,1,0,1,D
Bundesliga,2022,2022-08-28,1.FC Köln,VfB Stuttgart,0,0,0,0,D
Bundesliga,2022,2022-08-28,Werder Bremen,Eintracht Frankfurt,3,4,2,1,A
Bundesliga,2022,2022-09-02,Borussia Dortmund,1899 Hoffenheim,1,0,1,0,H
Bundesliga,2022,2022-09-03,VfL Wolfsburg,1.FC Köln,2,4,1,1,A
Bundesliga,2022,2022-09-03,Bayer Leverkusen,SC Freiburg,2,3,1,1,A
Bundesliga,2022,2022-09-03,VfB Stuttgart,FC Schalke 04,1,1,1,0,D
Bundesliga,2022,2022-09-03,Vfl Bochum,Werder Bremen,0,2,0,0,A
Bundesliga,2022,2022-09-03,Union Berlin,Bayern Munich,1,1,1,0,D
Bundesliga,2022,2022-09-03,Eintracht Frankfurt,RB Leipzig,4,0,2,2,H
Bundesliga,2022,2022-09-04,FC Augsburg,Hertha Berlin,0,2,0,0,A
Bundesliga,2022,2022-09-04,Borussia Monchengladbach,FSV Mainz 05,0,1,0,0,A
Bundesliga,2022,2022-09-09,Werder Bremen,FC Augsburg,0,1,0,0,A
Bundesliga,2022,2022-09-10,Bayern Munich,VfB Stuttgart,2,2,1,1,D
Bundesliga,2022,2022-09-10,Hertha Berlin,Bayer Leverkusen,2,2,0,2,D
Bundesliga,2022,2022-09-10,1899 Hoffenheim,FSV Mainz 05,4,1,0,4,H
Bundesliga,2022,2022-09-10,Eintracht Frankfurt,VfL Wolfsburg,0,1,0,0,A
Bundesliga,2022,2022-09-10,RB Leipzig,Borussia Dortmund,3,0,2,1,H
Bundesliga,2022,2022-09-10,FC Schalke 04,Vfl Bochum,3,1,1,2,H
Bundesliga,2022,2022-09-11,1.FC Köln,Union Berlin,0,1,0,0,A
Bundesliga,2022,2022-09-11,SC Freiburg,Borussia Monchengladbach,0,0,0,0,D
Bundesliga,2022,2022-09-16,FSV Mainz 05,Hertha Berlin,1,1,0,1,D
