,league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
1151,bundesliga_2,2022,2022-07-15,FC Kaiserslautern,Hannover 96,2,1,1,1,H
1152,bundesliga_2,2022,2022-07-16,Jahn Regensburg,SV Darmstadt 98,2,0,1,1,H
1153,bundesliga_2,2022,2022-07-16,SpVgg Greuther Furth,Holstein Kiel,2,2,0,2,D
1154,bundesliga_2,2022,2022-07-16,FC St. Pauli,FC Nurnberg,3,2,3,0,H
1155,bundesliga_2,2022,2022-07-16,SV Sandhausen,Arminia Bielefeld,2,1,1,1,H
1156,bundesliga_2,2022,2022-07-16,FC Magdeburg,Fortuna Dusseldorf,1,2,0,1,A
1157,bundesliga_2,2022,2022-07-17,SC Paderborn 07,Karlsruher SC,5,0,0,5,H
1158,bundesliga_2,2022,2022-07-17,Eintracht Braunschweig,Hamburger SV,0,2,0,0,A
1159,bundesliga_2,2022,2022-07-17,Hansa Rostock,FC Heidenheim,0,1,0,0,A
1160,bundesliga_2,2022,2022-07-22,Fortuna Dusseldorf,SC Paderborn 07,2,1,2,0,H
1161,bundesliga_2,2022,2022-07-22,SV Darmstadt 98,SV Sandhausen,2,1,1,1,H
1162,bundesliga_2,2022,2022-07-23,FC Nurnberg,SpVgg Greuther Furth,2,0,1,1,H
1163,bundesliga_2,2022,2022-07-23,FC Heidenheim,Eintracht Braunschweig,3,0,1,2,H
1164,bundesliga_2,2022,2022-07-23,Holstein Kiel,FC Kaiserslautern,2,2,0,2,D
1165,bundesliga_2,2022,2022-07-23,Hannover 96,FC St. Pauli,2,2,1,1,D
1166,bundesliga_2,2022,2022-07-24,Hamburger SV,Hansa Rostock,0,1,0,0,A
1167,bundesliga_2,2022,2022-07-24,Arminia Bielefeld,Jahn Regensburg,0,3,0,0,A
1168,bundesliga_2,2022,2022-07-24,Karlsruher SC,FC Magdeburg,2,3,0,2,A
1169,bundesliga_2,2022,2022-08-05,SpVgg Greuther Furth,Karlsruher SC,1,1,0,1,D
1170,bundesliga_2,2022,2022-08-05,SV Sandhausen,Fortuna Dusseldorf,1,0,0,1,H
1171,bundesliga_2,2022,2022-08-06,Hamburger SV,FC Heidenheim,1,0,1,0,H
1172,bundesliga_2,2022,2022-08-06,Jahn Regensburg,FC Nurnberg,0,0,0,0,D
1173,bundesliga_2,2022,2022-08-06,SC Paderborn 07,Hannover 96,4,2,1,3,H
