,league,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
0,bresil,2024-04-13,Internacional,Bahia,2,1,0,2,H
1,bresil,2024-04-13,Criciuma,Juventude,1,1,1,0,D
2,bresil,2024-04-14,Fluminense,RB Bragantino,2,2,1,1,D
3,bresil,2024-04-14,Sao Paulo,Fortaleza EC,1,2,0,1,A
4,bresil,2024-04-14,Corinthians,Atletico-MG,0,0,0,0,D
5,bresil,2024-04-14,Vasco DA Gama,Gremio,2,1,2,0,H
6,bresil,2024-04-14,Atletico Paranaense,Cuiaba,4,0,3,1,H
7,bresil,2024-04-14,Atletico Goianiense,Flamengo,1,2,0,1,A
8,bresil,2024-04-14,Cruzeiro,Botafogo,3,2,1,2,H
9,bresil,2024-04-14,Vitoria,Palmeiras,0,1,0,0,A
10,bresil,2024-04-17,Bahia,Fluminense,2,1,1,1,H
11,bresil,2024-04-17,Gremio,Atletico Paranaense,2,0,1,1,H
12,bresil,2024-04-17,RB Bragantino,Vasco DA Gama,2,1,1,1,H
13,bresil,2024-04-17,Palmeiras,Internacional,0,1,0,0,A
14,bresil,2024-04-17,Juventude,Corinthians,2,0,0,2,H
15,bresil,2024-04-17,Fortaleza EC,Cruzeiro,1,1,1,0,D
16,bresil,2024-04-17,Atletico-MG,Criciuma,1,1,1,0,D
17,bresil,2024-04-18,Flamengo,Sao Paulo,2,1,1,1,H
18,bresil,2024-04-19,Botafogo,Atletico Goianiense,1,0,1,0,H
19,bresil,2024-04-20,Fluminense,Vasco DA Gama,2,1,1,1,H
20,bresil,2024-04-20,Gremio,Cuiaba,1,0,1,0,H
21,bresil,2024-04-20,RB Bragantino,Corinthians,1,0,1,0,H
22,bresil,2024-04-21,Atletico-MG,Cruzeiro,3,0,3,0,H
23,bresil,2024-04-21,Palmeiras,Flamengo,0,0,0,0,D
24,bresil,2024-04-21,Atletico Paranaense,Internacional,1,0,0,1,H
25,bresil,2024-04-21,Vitoria,Bahia,2,2,1,1,D
26,bresil,2024-04-21,Botafogo,Juventude,5,1,2,3,H
27,bresil,2024-04-21,Atletico Goianiense,Sao Paulo,0,3,0,0,A
28,bresil,2024-04-27,Vasco DA Gama,Criciuma,0,4,0,0,A
29,bresil,2024-04-27,Cuiaba,Atletico-MG,0,3,0,0,A
30,bresil,2024-04-28,Bahia,Gremio,1,0,1,0,H
31,bresil,2024-04-28,Flamengo,Botafogo,0,2,0,0,A
32,bresil,2024-04-28,Corinthians,Fluminense,3,0,2,1,H
33,bresil,2024-04-28,Cruzeiro,Vitoria,3,1,0,3,H
34,bresil,2024-04-28,Juventude,Atletico Paranaense,1,1,1,0,D
35,bresil,2024-04-28,Fortaleza EC,RB Bragantino,1,1,1,0,D
36,bresil,2024-04-28,Internacional,Atletico Goianiense,1,1,0,1,D
