,league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
191,can,2021,2022-01-09,Cameroon,Burkina Faso,2,1,2,0,H
192,can,2021,2022-01-09,Ethiopia,Cape Verde Islands,0,1,0,0,A
193,can,2021,2022-01-10,Senegal,Zimbabwe,1,0,0,1,H
194,can,2021,2022-01-10,Morocco,Ghana,1,0,0,1,H
195,can,2021,2022-01-10,Guinea,Malawi,1,0,1,0,H
196,can,2021,2022-01-10,Comoros,Gabon,0,1,0,0,A
197,can,2021,2022-01-11,Algeria,Sierra Leone,0,0,0,0,D
198,can,2021,2022-01-11,Nigeria,Egypt,1,0,1,0,H
199,can,2021,2022-01-11,Sudan,Guinea-Bissau,0,0,0,0,D
200,can,2021,2022-01-12,Tunisia,Mali,0,1,0,0,A
201,can,2021,2022-01-12,Mauritania,Gambia,0,1,0,0,A
202,can,2021,2022-01-12,Equatorial Guinea,Ivory Coast,0,1,0,0,A
203,can,2021,2022-01-13,Cameroon,Ethiopia,4,1,1,3,H
204,can,2021,2022-01-13,Cape Verde Islands,Burkina Faso,0,1,0,0,A
205,can,2021,2022-01-14,Senegal,Guinea,0,0,0,0,D
206,can,2021,2022-01-14,Morocco,Comoros,2,0,1,1,H
207,can,2021,2022-01-14,Malawi,Zimbabwe,2,1,1,1,H
208,can,2021,2022-01-14,Gabon,Ghana,1,1,0,1,D
209,can,2021,2022-01-15,Nigeria,Sudan,3,1,2,1,H
210,can,2021,2022-01-15,Guinea-Bissau,Egypt,0,1,0,0,A
211,can,2021,2022-01-16,Gambia,Mali,1,1,0,1,D
212,can,2021,2022-01-16,Tunisia,Mauritania,4,0,2,2,H
213,can,2021,2022-01-16,Ivory Coast,Sierra Leone,2,2,1,1,D
214,can,2021,2022-01-16,Algeria,Equatorial Guinea,0,1,0,0,A
215,can,2021,2022-01-17,Burkina Faso,Ethiopia,1,1,1,0,D
216,can,2021,2022-01-17,Cape Verde Islands,Cameroon,1,1,0,1,D
217,can,2021,2022-01-18,Malawi,Senegal,0,0,0,0,D
218,can,2021,2022-01-18,Zimbabwe,Guinea,2,1,2,0,H
219,can,2021,2022-01-18,Gabon,Morocco,2,2,1,1,D
220,can,2021,2022-01-18,Ghana,Comoros,2,3,0,2,A
