,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
0,2024-07-19,Aarhus,FC Midtjylland,1,1,1,0,D
1,2024-07-19,FC Nordsjaelland,Aalborg,3,0,2,1,H
2,2024-07-21,Silkeborg,Sonderjyske,1,0,0,1,H
3,2024-07-21,Vejle,Randers FC,2,3,1,1,A
4,2024-07-21,Viborg,Brondby,3,3,2,1,D
5,2024-07-22,Lyngby,FC Copenhagen,0,2,0,0,A
6,2024-07-26,Sonderjyske,Lyngby,1,1,1,0,D
7,2024-07-27,FC Nordsjaelland,FC Midtjylland,2,2,2,0,D
8,2024-07-28,Randers FC,Viborg,3,1,2,1,H
9,2024-07-28,Aalborg,Silkeborg,2,1,1,1,H
10,2024-07-28,FC Copenhagen,Aarhus,3,2,1,2,H
11,2024-07-29,Brondby,Vejle,2,1,0,2,H
12,2024-08-02,Aarhus,Sonderjyske,4,0,2,2,H
13,2024-08-03,FC Midtjylland,Aalborg,2,0,1,1,H
14,2024-08-04,Silkeborg,Viborg,3,2,3,0,H
15,2024-08-04,FC Copenhagen,Randers FC,1,1,0,1,D
16,2024-08-04,Lyngby,Brondby,0,2,0,0,A
17,2024-08-05,Vejle,FC Nordsjaelland,0,1,0,0,A
18,2024-08-09,FC Midtjylland,Vejle,2,0,1,1,H
19,2024-08-11,FC Nordsjaelland,Lyngby,1,1,1,0,D
20,2024-08-11,Randers FC,Silkeborg,0,2,0,0,A
21,2024-08-11,Brondby,Aarhus,0,1,0,0,A
22,2024-08-11,Sonderjyske,FC Copenhagen,0,2,0,0,A
23,2024-08-12,Viborg,Aalborg,2,3,2,0,A
24,2024-08-16,Lyngby,FC Midtjylland,1,2,0,1,A
25,2024-08-18,Randers FC,Sonderjyske,1,2,1,0,A
26,2024-08-18,Silkeborg,FC Nordsjaelland,4,1,2,2,H
27,2024-08-18,FC Copenhagen,Viborg,1,1,0,1,D
28,2024-08-18,Aalborg,Brondby,0,4,0,0,A
29,2024-08-19,Aarhus,Vejle,5,1,3,2,H
30,2024-08-23,Aalborg,Aarhus,0,4,0,0,A
31,2024-08-24,FC Midtjylland,Sonderjyske,3,2,1,2,H
32,2024-08-25,Vejle,Silkeborg,1,3,0,1,A
33,2024-08-25,FC Nordsjaelland,FC Copenhagen,3,2,3,0,H
34,2024-08-25,Brondby,Randers FC,2,2,0,2,D
35,2024-08-26,Viborg,Lyngby,1,0,0,1,H
