league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
Danemark,2022,2022-07-15,FC Midtjylland,Randers FC,1,1,0,1,D
Danemark,2022,2022-07-17,Lyngby,Silkeborg,2,2,1,1,D
Danemark,2022,2022-07-17,Viborg,Aalborg,2,1,1,1,H
Danemark,2022,2022-07-17,FC Copenhagen,AC Horsens,0,1,0,0,A
Danemark,2022,2022-07-17,Brondby,Aarhus,1,0,0,1,H
Danemark,2022,2022-07-18,Odense,FC Nordsjaelland,0,2,0,0,A
Danemark,2022,2022-07-22,FC Midtjylland,Silkeborg,1,3,0,1,A
Danemark,2022,2022-07-24,Randers FC,Odense,2,2,0,2,D
Danemark,2022,2022-07-24,Aarhus,Viborg,3,1,1,2,H
Danemark,2022,2022-07-24,Brondby,FC Nordsjaelland,1,3,0,1,A
Danemark,2022,2022-07-24,Aalborg,FC Copenhagen,1,3,0,1,A
Danemark,2022,2022-07-25,AC Horsens,Lyngby,1,0,1,0,H
Danemark,2022,2022-07-29,Odense,FC Midtjylland,1,5,1,0,A
Danemark,2022,2022-07-31,Aalborg,AC Horsens,0,0,0,0,D
Danemark,2022,2022-07-31,Aarhus,Randers FC,0,0,0,0,D
Danemark,2022,2022-07-31,Viborg,FC Copenhagen,4,2,2,2,H
Danemark,2022,2022-07-31,Silkeborg,Brondby,2,0,1,1,H
Danemark,2022,2022-08-01,FC Nordsjaelland,Lyngby,2,1,1,1,H
Danemark,2022,2022-08-05,Randers FC,AC Horsens,1,0,1,0,H
Danemark,2022,2022-08-05,Lyngby,FC Midtjylland,3,3,1,2,D
Danemark,2022,2022-08-06,FC Nordsjaelland,Viborg,1,0,1,0,H
Danemark,2022,2022-08-07,FC Copenhagen,Brondby,4,1,3,1,H
Danemark,2022,2022-08-07,Odense,Aarhus,1,2,1,0,A
Danemark,2022,2022-08-08,Silkeborg,Aalborg,3,1,1,2,H
Danemark,2022,2022-08-12,AC Horsens,FC Midtjylland,3,3,0,3,D
Danemark,2022,2022-08-12,FC Copenhagen,Randers FC,1,3,0,1,A
Danemark,2022,2022-08-14,Viborg,Silkeborg,2,0,2,0,H
Danemark,2022,2022-08-14,Aalborg,FC Nordsjaelland,0,0,0,0,D
Danemark,2022,2022-08-14,Brondby,Odense,2,0,2,0,H
Danemark,2022,2022-08-15,Aarhus,Lyngby,1,0,1,0,H
Danemark,2022,2022-08-19,Lyngby,FC Copenhagen,0,3,0,0,A
Danemark,2022,2022-08-20,FC Midtjylland,Aarhus,0,2,0,0,A
Danemark,2022,2022-08-21,FC Nordsjaelland,Silkeborg,0,2,0,0,A
Danemark,2022,2022-08-21,Randers FC,Viborg,1,0,0,1,H
Danemark,2022,2022-08-21,Aalborg,Brondby,2,1,1,1,H
Danemark,2022,2022-08-22,Odense,AC Horsens,1,0,0,1,H
Danemark,2022,2022-08-26,AC Horsens,Aarhus,2,1,0,2,H
Danemark,2022,2022-08-28,Randers FC,Aalborg,1,0,1,0,H
Danemark,2022,2022-08-28,Viborg,Lyngby,2,1,0,2,H
Danemark,2022,2022-08-28,FC Nordsjaelland,FC Copenhagen,3,1,2,1,H
Danemark,2022,2022-08-28,Silkeborg,Odense,1,2,1,0,A
Danemark,2022,2022-08-29,Brondby,FC Midtjylland,0,2,0,0,A
Danemark,2022,2022-09-02,FC Copenhagen,Silkeborg,1,0,1,0,H
Danemark,2022,2022-09-04,Odense,Viborg,1,2,1,0,A
Danemark,2022,2022-09-04,Lyngby,Randers FC,0,2,0,0,A
Danemark,2022,2022-09-04,AC Horsens,Brondby,0,2,0,0,A
Danemark,2022,2022-09-04,FC Midtjylland,Aalborg,0,2,0,0,A
Danemark,2022,2022-09-05,Aarhus,FC Nordsjaelland,2,3,1,1,A
Danemark,2022,2022-09-10,Odense,FC Copenhagen,2,1,1,1,H
Danemark,2022,2022-09-11,FC Nordsjaelland,FC Midtjylland,1,1,1,0,D
Danemark,2022,2022-09-11,Aalborg,Lyngby,1,1,0,1,D
Danemark,2022,2022-09-11,Brondby,Randers FC,2,2,1,1,D
Danemark,2022,2022-09-11,Silkeborg,Aarhus,1,0,1,0,H
Danemark,2022,2022-09-12,Viborg,AC Horsens,2,1,2,0,H
Danemark,2022,2022-09-16,AC Horsens,FC Nordsjaelland,1,0,1,0,H
Danemark,2022,2022-09-17,Aarhus,Aalborg,3,1,0,3,H
Danemark,2022,2022-09-18,Randers FC,Silkeborg,3,2,1,2,H
Danemark,2022,2022-09-18,Lyngby,Odense,0,2,0,0,A
Danemark,2022,2022-09-18,Viborg,Brondby,0,0,0,0,D
Danemark,2022,2022-09-18,FC Midtjylland,FC Copenhagen,2,1,2,0,H
Danemark,2022,2022-09-30,Aalborg,Odense,1,1,1,0,D
Danemark,2022,2022-10-02,FC Midtjylland,Viborg,1,1,1,0,D
Danemark,2022,2022-10-02,Silkeborg,AC Horsens,2,1,1,1,H
Danemark,2022,2022-10-02,Brondby,Lyngby,3,3,2,1,D
Danemark,2022,2022-10-02,FC Copenhagen,Aarhus,1,0,0,1,H
Danemark,2022,2022-10-03,FC Nordsjaelland,Randers FC,3,1,2,1,H
Danemark,2022,2022-10-07,Lyngby,Viborg,1,1,1,0,D
Danemark,2022,2022-10-08,FC Copenhagen,FC Nordsjaelland,1,1,0,1,D
Danemark,2022,2022-10-09,Aarhus,FC Midtjylland,0,1,0,0,A
Danemark,2022,2022-10-09,Odense,Silkeborg,1,1,0,1,D
Danemark,2022,2022-10-09,Randers FC,Brondby,2,3,1,1,A
Danemark,2022,2022-10-10,AC Horsens,Aalborg,0,0,0,0,D
Danemark,2022,2022-10-14,Lyngby,Aalborg,0,2,0,0,A
Danemark,2022,2022-10-16,Brondby,FC Copenhagen,1,1,1,0,D
Danemark,2022,2022-10-16,Viborg,Odense,0,0,0,0,D
Danemark,2022,2022-10-16,FC Nordsjaelland,Aarhus,1,1,1,0,D
Danemark,2022,2022-10-16,FC Midtjylland,AC Horsens,2,1,1,1,H
Danemark,2022,2022-10-17,Silkeborg,Randers FC,3,3,3,0,D
Danemark,2022,2022-10-21,Odense,Lyngby,3,1,3,0,H
Danemark,2022,2022-10-22,FC Copenhagen,FC Midtjylland,1,1,1,0,D
Danemark,2022,2022-10-23,Randers FC,FC Nordsjaelland,0,2,0,0,A
Danemark,2022,2022-10-23,AC Horsens,Silkeborg,3,2,1,2,H
Danemark,2022,2022-10-23,Aarhus,Brondby,2,2,1,1,D
Danemark,2022,2022-10-24,Aalborg,Viborg,1,3,1,0,A
Danemark,2022,2022-10-28,FC Nordsjaelland,AC Horsens,2,0,1,1,H
Danemark,2022,2022-10-29,Randers FC,FC Copenhagen,0,2,0,0,A
Danemark,2022,2022-10-30,Lyngby,Aarhus,0,1,0,0,A
Danemark,2022,2022-10-30,Silkeborg,Viborg,1,2,1,0,A
Danemark,2022,2022-10-30,Brondby,Aalborg,3,2,2,1,H
Danemark,2022,2022-10-31,FC Midtjylland,Odense,1,2,0,1,A
Danemark,2022,2022-11-04,AC Horsens,Randers FC,5,1,2,3,H
Danemark,2022,2022-11-06,Aalborg,Silkeborg,1,2,1,0,A
Danemark,2022,2022-11-06,Viborg,Aarhus,1,1,0,1,D
Danemark,2022,2022-11-06,FC Copenhagen,Lyngby,3,0,1,2,H
Danemark,2022,2022-11-06,Odense,Brondby,1,1,0,1,D
Danemark,2022,2022-11-07,FC Midtjylland,FC Nordsjaelland,0,0,0,0,D
Danemark,2022,2022-11-12,Silkeborg,Lyngby,0,2,0,0,A
Danemark,2022,2022-11-13,AC Horsens,Odense,3,3,2,1,D
Danemark,2022,2022-11-13,Aarhus,FC Copenhagen,0,2,0,0,A
Danemark,2022,2022-11-13,Brondby,Viborg,0,2,0,0,A
Danemark,2022,2022-11-13,FC Nordsjaelland,Aalborg,5,1,1,4,H
Danemark,2022,2022-11-13,Randers FC,FC Midtjylland,0,0,0,0,D
Danemark,2022,2023-02-17,Aalborg,Aarhus,0,1,0,0,A
Danemark,2022,2023-02-19,Odense,Randers FC,0,0,0,0,D
Danemark,2022,2023-02-19,Lyngby,FC Nordsjaelland,1,1,0,1,D
Danemark,2022,2023-02-19,Silkeborg,FC Copenhagen,0,3,0,0,A
Danemark,2022,2023-02-19,Brondby,AC Horsens,5,2,1,4,H
Danemark,2022,2023-02-20,Viborg,FC Midtjylland,0,4,0,0,A
Danemark,2022,2023-02-24,FC Nordsjaelland,Odense,4,2,1,3,H
