league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
Danemark,2025,2025-07-18,Viborg,FC Copenhagen,2,3,1,1,A
Danemark,2025,2025-07-20,Vejle,Randers FC,1,1,0,1,D
Danemark,2025,2025-07-20,FC Fredericia,FC Nordsjaelland,2,3,1,1,A
Danemark,2025,2025-07-20,Sonderjyske,Aarhus,1,1,0,1,D
Danemark,2025,2025-07-20,FC Midtjylland,Odense,3,3,2,1,D
Danemark,2025,2025-07-20,Brondby,Silkeborg,3,0,1,2,H
Danemark,2025,2025-07-25,Aarhus,Randers FC,1,2,1,0,A
Danemark,2025,2025-07-26,FC Copenhagen,Vejle,2,0,2,0,H
Danemark,2025,2025-07-27,Odense,Viborg,3,1,1,2,H
Danemark,2025,2025-07-27,Silkeborg,FC Fredericia,0,2,0,0,A
Danemark,2025,2025-07-27,FC Nordsjaelland,Brondby,0,1,0,0,A
Danemark,2025,2025-07-28,FC Midtjylland,Sonderjyske,6,2,3,3,H
Danemark,2025,2025-08-01,FC Fredericia,FC Copenhagen,0,2,0,0,A
Danemark,2025,2025-08-01,Vejle,Odense,4,0,2,2,H
Danemark,2025,2025-08-03,Sonderjyske,FC Nordsjaelland,3,2,1,2,H
Danemark,2025,2025-08-03,Randers FC,Silkeborg,1,0,1,0,H
Danemark,2025,2025-08-03,Aarhus,FC Midtjylland,0,0,0,0,D
Danemark,2025,2025-08-03,Brondby,Viborg,0,2,0,0,A
Danemark,2025,2025-08-08,FC Copenhagen,Aarhus,2,3,0,2,A
Danemark,2025,2025-08-08,Viborg,Sonderjyske,1,0,1,0,H
Danemark,2025,2025-08-10,FC Midtjylland,FC Fredericia,3,3,2,1,D
Danemark,2025,2025-08-10,Silkeborg,FC Nordsjaelland,4,2,2,2,H
Danemark,2025,2025-08-10,Brondby,Vejle,2,1,2,0,H
Danemark,2025,2025-08-11,Odense,Randers FC,3,2,3,0,H
Danemark,2025,2025-08-15,FC Nordsjaelland,FC Copenhagen,1,3,0,1,A
Danemark,2025,2025-08-15,FC Fredericia,Sonderjyske,3,2,0,3,H
Danemark,2025,2025-08-17,Vejle,FC Midtjylland,0,2,0,0,A
Danemark,2025,2025-08-17,Viborg,Silkeborg,2,3,2,0,A
Danemark,2025,2025-08-17,Randers FC,Brondby,0,2,0,0,A
Danemark,2025,2025-08-18,Odense,Aarhus,1,5,1,0,A
Danemark,2025,2025-08-23,FC Copenhagen,Odense,1,1,0,1,D
Danemark,2025,2025-08-24,FC Midtjylland,Silkeborg,4,2,1,3,H
Danemark,2025,2025-08-24,FC Fredericia,Randers FC,1,0,1,0,H
Danemark,2025,2025-08-24,Sonderjyske,Brondby,2,0,0,2,H
Danemark,2025,2025-08-24,Aarhus,Vejle,1,0,1,0,H
Danemark,2025,2025-08-25,FC Nordsjaelland,Viborg,1,0,1,0,H
Danemark,2025,2025-08-29,Vejle,Viborg,1,2,1,0,A
Danemark,2025,2025-08-31,Aarhus,FC Fredericia,4,1,2,2,H
Danemark,2025,2025-08-31,Silkeborg,Sonderjyske,0,2,0,0,A
Danemark,2025,2025-08-31,Odense,FC Nordsjaelland,1,2,1,0,A
Danemark,2025,2025-08-31,Randers FC,FC Copenhagen,1,5,0,1,A
Danemark,2025,2025-08-31,Brondby,FC Midtjylland,1,3,0,1,A
Danemark,2025,2025-09-12,Sonderjyske,Randers FC,0,1,0,0,A
Danemark,2025,2025-09-13,Brondby,FC Copenhagen,2,1,1,1,H
Danemark,2025,2025-09-14,Viborg,Aarhus,1,2,1,0,A
Danemark,2025,2025-09-14,FC Nordsjaelland,FC Midtjylland,1,0,1,0,H
Danemark,2025,2025-09-14,Silkeborg,Odense,2,1,1,1,H
Danemark,2025,2025-09-15,FC Fredericia,Vejle,1,1,0,1,D
Danemark,2025,2025-09-19,Odense,FC Fredericia,3,2,1,2,H
Danemark,2025,2025-09-20,FC Midtjylland,Viborg,2,0,0,2,H
Danemark,2025,2025-09-21,Vejle,Sonderjyske,2,2,1,1,D
Danemark,2025,2025-09-21,FC Copenhagen,Silkeborg,3,3,2,1,D
Danemark,2025,2025-09-21,Aarhus,Brondby,1,0,1,0,H
Danemark,2025,2025-09-22,Randers FC,FC Nordsjaelland,3,0,0,3,H
Danemark,2025,2025-09-27,Sonderjyske,FC Copenhagen,1,2,0,1,A
Danemark,2025,2025-09-28,Viborg,FC Fredericia,2,1,1,1,H
Danemark,2025,2025-09-28,Silkeborg,Vejle,1,1,1,0,D
Danemark,2025,2025-09-28,FC Nordsjaelland,Aarhus,1,2,0,1,A
