league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
ecosse,2024,2024-08-03,Heart Of Midlothian,Rangers,0,0,0,0,D
ecosse,2024,2024-08-03,Motherwell,Ross County,0,0,0,0,D
ecosse,2024,2024-08-04,Dundee Utd,Dundee,2,2,2,0,D
ecosse,2024,2024-08-04,ST Mirren,Hibernian,3,0,0,3,H
ecosse,2024,2024-08-04,Celtic,Kilmarnock,4,0,2,2,H
ecosse,2024,2024-08-05,ST Johnstone,Aberdeen,1,2,0,1,A
ecosse,2024,2024-08-10,Rangers,Motherwell,2,1,2,0,H
ecosse,2024,2024-08-10,Ross County,Dundee Utd,1,1,0,1,D
ecosse,2024,2024-08-10,Dundee,Heart Of Midlothian,3,1,3,0,H
ecosse,2024,2024-08-11,Hibernian,Celtic,0,2,0,0,A
ecosse,2024,2024-08-11,Kilmarnock,ST Johnstone,0,3,0,0,A
ecosse,2024,2024-08-11,Aberdeen,ST Mirren,3,1,1,2,H
ecosse,2024,2024-08-24,Hibernian,Dundee,2,2,1,1,D
ecosse,2024,2024-08-24,Rangers,Ross County,6,0,2,4,H
ecosse,2024,2024-08-24,Dundee Utd,ST Johnstone,2,0,0,2,H
ecosse,2024,2024-08-25,ST Mirren,Celtic,0,3,0,0,A
ecosse,2024,2024-08-25,Aberdeen,Kilmarnock,2,0,1,1,H
ecosse,2024,2024-08-25,Motherwell,Heart Of Midlothian,3,1,1,2,H
ecosse,2024,2024-08-31,Dundee,ST Mirren,2,2,1,1,D
ecosse,2024,2024-08-31,ST Johnstone,Motherwell,1,2,0,1,A
ecosse,2024,2024-08-31,Ross County,Aberdeen,0,1,0,0,A
ecosse,2024,2024-09-01,Celtic,Rangers,3,0,2,1,H
ecosse,2024,2024-09-01,Kilmarnock,Hibernian,1,1,0,1,D
ecosse,2024,2024-09-01,Heart Of Midlothian,Dundee Utd,0,1,0,0,A
ecosse,2024,2024-09-14,Celtic,Heart Of Midlothian,2,0,0,2,H
ecosse,2024,2024-09-14,Hibernian,ST Johnstone,2,0,1,1,H
ecosse,2024,2024-09-14,ST Mirren,Kilmarnock,2,2,2,0,D
ecosse,2024,2024-09-14,Aberdeen,Motherwell,2,1,1,1,H
ecosse,2024,2024-09-14,Ross County,Dundee,2,0,2,0,H
ecosse,2024,2024-09-15,Dundee Utd,Rangers,0,1,0,0,A
ecosse,2024,2024-09-21,ST Mirren,Heart Of Midlothian,2,1,2,0,H
ecosse,2024,2024-09-21,Ross County,ST Johnstone,3,3,1,2,D
ecosse,2024,2024-09-28,Kilmarnock,Dundee Utd,3,3,0,3,D
ecosse,2024,2024-09-28,Dundee,Aberdeen,1,2,1,0,A
ecosse,2024,2024-09-28,Heart Of Midlothian,Ross County,1,1,0,1,D
ecosse,2024,2024-09-28,Motherwell,ST Mirren,2,1,2,0,H
ecosse,2024,2024-09-28,ST Johnstone,Celtic,0,6,0,0,A
ecosse,2024,2024-09-29,Rangers,Hibernian,1,0,1,0,H
ecosse,2024,2024-10-05,Hibernian,Motherwell,1,2,0,1,A
ecosse,2024,2024-10-05,ST Mirren,Dundee Utd,0,1,0,0,A
ecosse,2024,2024-10-05,Dundee,Kilmarnock,2,3,1,1,A
ecosse,2024,2024-10-06,Ross County,Celtic,1,2,1,0,A
ecosse,2024,2024-10-06,Aberdeen,Heart Of Midlothian,3,2,1,2,H
ecosse,2024,2024-10-06,Rangers,ST Johnstone,2,0,1,1,H
ecosse,2024,2024-10-19,Celtic,Aberdeen,2,2,2,0,D
ecosse,2024,2024-10-19,Heart Of Midlothian,ST Mirren,4,0,1,3,H
ecosse,2024,2024-10-19,Motherwell,Dundee,0,1,0,0,A
ecosse,2024,2024-10-19,ST Johnstone,Ross County,3,0,2,1,H
ecosse,2024,2024-10-19,Dundee Utd,Hibernian,3,2,1,2,H
ecosse,2024,2024-10-20,Kilmarnock,Rangers,1,0,0,1,H
ecosse,2024,2024-10-26,Dundee,ST Johnstone,1,2,1,0,A
ecosse,2024,2024-10-26,Ross County,Kilmarnock,2,1,0,2,H
