league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
ecosse_div_1,2024,2024-08-02,Falkirk,Queen's Park,2,1,1,1,H
ecosse_div_1,2024,2024-08-03,Hamilton Academical,Ayr Utd,0,2,0,0,A
ecosse_div_1,2024,2024-08-03,Livingston,Dunfermline,2,0,0,2,H
ecosse_div_1,2024,2024-08-03,Partick,Morton,0,0,0,0,D
ecosse_div_1,2024,2024-08-03,Airdrie United,Raith Rovers,1,0,0,1,H
ecosse_div_1,2024,2024-08-09,Ayr Utd,Airdrie United,5,0,2,3,H
ecosse_div_1,2024,2024-08-09,Queen's Park,Livingston,1,1,1,0,D
ecosse_div_1,2024,2024-08-10,Morton,Hamilton Academical,0,0,0,0,D
ecosse_div_1,2024,2024-08-10,Raith Rovers,Partick,1,0,1,0,H
ecosse_div_1,2024,2024-08-10,Dunfermline,Falkirk,0,2,0,0,A
ecosse_div_1,2024,2024-08-17,Ayr Utd,Hamilton Academical,3,2,1,2,H
ecosse_div_1,2024,2024-08-24,Hamilton Academical,Dunfermline,1,0,1,0,H
ecosse_div_1,2024,2024-08-24,Livingston,Morton,1,1,0,1,D
ecosse_div_1,2024,2024-08-24,Ayr Utd,Raith Rovers,2,0,1,1,H
ecosse_div_1,2024,2024-08-24,Falkirk,Partick,2,1,0,2,H
ecosse_div_1,2024,2024-08-24,Airdrie United,Queen's Park,0,2,0,0,A
ecosse_div_1,2024,2024-08-31,Hamilton Academical,Airdrie United,2,2,0,2,D
ecosse_div_1,2024,2024-08-31,Partick,Queen's Park,3,0,1,2,H
ecosse_div_1,2024,2024-08-31,Morton,Falkirk,2,3,2,0,A
ecosse_div_1,2024,2024-08-31,Raith Rovers,Livingston,0,1,0,0,A
ecosse_div_1,2024,2024-08-31,Dunfermline,Ayr Utd,1,1,1,0,D
ecosse_div_1,2024,2024-09-13,Dunfermline,Raith Rovers,2,0,0,2,H
ecosse_div_1,2024,2024-09-14,Livingston,Hamilton Academical,3,0,0,3,H
ecosse_div_1,2024,2024-09-14,Ayr Utd,Partick,1,1,1,0,D
ecosse_div_1,2024,2024-09-14,Airdrie United,Falkirk,0,2,0,0,A
ecosse_div_1,2024,2024-09-14,Queen's Park,Morton,1,0,1,0,H
ecosse_div_1,2024,2024-09-21,Partick,Dunfermline,1,0,0,1,H
ecosse_div_1,2024,2024-09-21,Morton,Airdrie United,2,0,1,1,H
ecosse_div_1,2024,2024-09-21,Raith Rovers,Hamilton Academical,3,3,2,1,D
ecosse_div_1,2024,2024-09-21,Queen's Park,Ayr Utd,1,1,1,0,D
ecosse_div_1,2024,2024-09-28,Hamilton Academical,Partick,1,0,0,1,H
ecosse_div_1,2024,2024-09-28,Livingston,Airdrie United,2,1,1,1,H
ecosse_div_1,2024,2024-09-28,Raith Rovers,Falkirk,1,0,1,0,H
