,fixture_id,HomeTeam,AwayTeam,comp,odds_home,odds_draw,odds_away,match_Date
0,1379275,Manchester City,Crystal Palace,39,,,,2026-03-21
1,1379261,Burnley,Bournemouth,39,4.2,3.7,1.83,2026-03-14
2,1379267,Sunderland,Brighton,39,3.3,3.4,2.2,2026-03-14
3,1379259,Arsenal,Everton,39,1.36,4.33,9.5,2026-03-14
4,1379262,Chelsea,Newcastle,39,1.8,4.2,3.8,2026-03-14
5,1379268,West Ham,Manchester City,39,4.33,4.33,1.67,2026-03-14
6,1379265,Manchester United,Aston Villa,39,1.73,3.8,4.33,2026-03-15
7,1379263,Crystal Palace,Leeds,39,2.3,3.4,3.0,2026-03-15
8,1379266,Nottingham Forest,Fulham,39,2.15,3.5,3.3,2026-03-15
9,1379264,Liverpool,Tottenham,39,1.33,5.0,8.5,2026-03-15
10,1379260,Brentford,Wolves,39,1.53,3.9,6.0,2026-03-16
11,1379270,Bournemouth,Manchester United,39,2.88,3.7,2.2,2026-03-20
12,1379271,Brighton,Liverpool,39,3.1,3.6,2.1,2026-03-21
13,1379273,Fulham,Burnley,39,1.5,4.0,6.5,2026-03-21
14,1379272,Everton,Chelsea,39,3.7,3.6,1.9,2026-03-21
15,1379274,Leeds,Brentford,39,2.45,3.3,2.7,2026-03-21
16,1379276,Newcastle,Sunderland,39,1.62,3.75,5.0,2026-03-22
17,1379277,Tottenham,Nottingham Forest,39,2.5,3.3,2.75,2026-03-22
18,1379269,Aston Villa,West Ham,39,1.8,3.7,4.1,2026-03-22
19,1387929,Paris Saint Germain,Nantes,61,1.18,6.25,13.0,2026-03-15
20,1387926,Marseille,Auxerre,61,1.45,4.5,7.0,2026-03-13
21,1387925,Lorient,Lens,61,4.33,3.75,1.8,2026-03-14
22,1387923,Angers,Nice,61,3.1,3.3,2.35,2026-03-14
23,1387928,Monaco,Stade Brestois 29,61,1.62,4.33,5.0,2026-03-14
24,1387931,Strasbourg,Paris FC,61,1.7,3.8,5.0,2026-03-15
25,1387924,Le Havre,Lyon,61,4.0,3.5,1.95,2026-03-15
26,1387927,Metz,Toulouse,61,,,,2026-03-15
27,1387930,Rennes,Lille,61,2.25,3.4,3.2,2026-03-15
28,1387933,Lens,Angers,61,1.3,4.75,9.5,2026-03-20
29,1387940,Toulouse,Lorient,61,2.0,2.8,4.33,2026-03-21
30,1387932,Auxerre,Stade Brestois 29,61,2.28,3.25,3.1,2026-03-21
31,1387937,Nice,Paris Saint Germain,61,7.0,4.75,1.4,2026-03-21
32,1387934,Lyon,Monaco,61,2.5,3.5,2.6,2026-03-22
33,1387935,Marseille,Lille,61,1.95,3.6,3.5,2026-03-22
34,1387939,Rennes,Metz,61,1.33,4.75,8.5,2026-03-22
35,1387938,Paris FC,Le Havre,61,2.05,3.3,3.5,2026-03-22
36,1387936,Nantes,Strasbourg,61,3.6,3.4,2.0,2026-03-22
37,1388534,Borussia Mönchengladbach,FC St. Pauli,78,2.0,3.4,3.9,2026-03-13
38,1388535,Borussia Dortmund,FC Augsburg,78,1.4,4.75,7.5,2026-03-14
39,1388539,1899 Hoffenheim,VfL Wolfsburg,78,1.45,4.75,6.5,2026-03-14
40,1388533,Bayer Leverkusen,Bayern München,78,5.0,4.33,1.6,2026-03-14
41,1388536,Eintracht Frankfurt,1. FC Heidenheim,78,1.5,4.5,6.0,2026-03-14
42,1388538,Hamburger SV,1. FC Köln,78,2.05,3.6,3.4,2026-03-14
43,1388541,Werder Bremen,FSV Mainz 05,78,2.2,3.5,3.2,2026-03-15
44,1388537,SC Freiburg,Union Berlin,78,2.15,3.3,3.5,2026-03-15
45,1388540,VfB Stuttgart,RB Leipzig,78,2.25,4.0,2.8,2026-03-15
46,1388548,RB Leipzig,1899 Hoffenheim,78,1.85,3.9,3.6,2026-03-20
47,1388543,Bayern München,Union Berlin,78,1.18,6.5,13.0,2026-03-21
48,1388550,VfL Wolfsburg,Werder Bremen,78,2.6,3.5,2.45,2026-03-21
49,1388546,1. FC Heidenheim,Bayer Leverkusen,78,5.5,3.9,1.55,2026-03-21
50,1388545,1. FC Köln,Borussia Mönchengladbach,78,2.2,3.5,3.0,2026-03-21
51,1388544,Borussia Dortmund,Hamburger SV,78,1.38,4.75,7.0,2026-03-21
52,1388547,FSV Mainz 05,Eintracht Frankfurt,78,2.15,3.6,3.1,2026-03-22
53,1388549,FC St. Pauli,SC Freiburg,78,2.45,3.1,2.8,2026-03-22
54,1388542,FC Augsburg,VfB Stuttgart,78,3.5,3.75,1.91,2026-03-22
55,1391089,Alaves,Villarreal,140,3.3,3.4,2.1,2026-03-13
56,1391093,Girona,Athletic Club,140,,,,2026-03-14
57,1391090,Atletico Madrid,Getafe,140,1.55,3.6,7.0,2026-03-14
58,1391098,Oviedo,Valencia,140,2.8,3.2,2.6,2026-03-14
59,1391096,Real Madrid,Elche,140,1.22,6.5,12.0,2026-03-14
60,1391094,Mallorca,Espanyol,140,2.3,3.2,3.3,2026-03-15
61,1391091,Barcelona,Sevilla,140,1.25,6.0,12.0,2026-03-15
62,1391092,Real Betis,Celta Vigo,140,2.2,3.3,3.4,2026-03-15
63,1391097,Real Sociedad,Osasuna,140,1.91,3.5,4.2,2026-03-15
64,1391095,Rayo Vallecano,Levante,140,1.67,3.8,5.25,2026-03-16
65,1391108,Villarreal,Real Sociedad,140,1.8,3.75,4.0,2026-03-20
66,1391102,Elche,Mallorca,140,2.0,3.3,3.8,2026-03-21
67,1391103,Espanyol,Getafe,140,2.35,2.8,3.4,2026-03-21
68,1391104,Levante,Oviedo,140,2.05,3.25,3.6,2026-03-21
69,1391105,Osasuna,Girona,140,2.05,3.3,3.5,2026-03-21
70,1391107,Sevilla,Valencia,140,2.15,3.2,3.5,2026-03-21
71,1391100,Barcelona,Rayo Vallecano,140,1.22,6.5,10.0,2026-03-22
72,1391101,Celta Vigo,Alaves,140,1.75,3.25,5.25,2026-03-22
73,1391099,Athletic Club,Real Betis,140,2.05,3.3,3.5,2026-03-22
74,1391106,Real Madrid,Atletico Madrid,140,1.8,3.75,4.0,2026-03-22
75,1378151,Torino,Parma,135,2.15,3.0,3.6,2026-03-13
