,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
0,2024-08-16,Le Havre,Paris Saint Germain,1,4,0,1,A
1,2024-08-17,Stade Brestois 29,Marseille,1,5,1,0,A
2,2024-08-17,Reims,Lille,0,2,0,0,A
3,2024-08-17,Monaco,Saint Etienne,1,0,1,0,H
4,2024-08-18,Auxerre,Nice,2,1,1,1,H
5,2024-08-18,Angers,Lens,0,1,0,0,A
6,2024-08-18,Montpellier,Strasbourg,1,1,0,1,D
7,2024-08-18,Toulouse,Nantes,0,0,0,0,D
8,2024-08-18,Rennes,Lyon,3,0,2,1,H
9,2024-08-23,Paris Saint Germain,Montpellier,6,0,2,4,H
10,2024-08-24,Lyon,Monaco,0,2,0,0,A
11,2024-08-24,Lille,Angers,2,0,1,1,H
12,2024-08-24,Saint Etienne,Le Havre,0,2,0,0,A
13,2024-08-25,Lens,Stade Brestois 29,2,0,2,0,H
14,2024-08-25,Nantes,Auxerre,2,0,1,1,H
15,2024-08-25,Nice,Toulouse,1,1,0,1,D
16,2024-08-25,Strasbourg,Rennes,3,1,1,2,H
17,2024-08-25,Marseille,Reims,2,2,1,1,D
18,2024-08-30,Lyon,Strasbourg,4,3,1,3,H
19,2024-08-31,Stade Brestois 29,Saint Etienne,4,0,2,2,H
20,2024-08-31,Montpellier,Nantes,1,3,1,0,A
21,2024-08-31,Toulouse,Marseille,1,3,0,1,A
22,2024-09-01,Monaco,Lens,1,1,0,1,D
23,2024-09-01,Angers,Nice,1,4,0,1,A
24,2024-09-01,Reims,Rennes,2,1,1,1,H
25,2024-09-01,Le Havre,Auxerre,3,1,1,2,H
26,2024-09-01,Lille,Paris Saint Germain,1,3,0,1,A
27,2024-09-13,Saint Etienne,Lille,1,0,1,0,H
28,2024-09-14,Marseille,Nice,2,0,1,1,H
29,2024-09-14,Auxerre,Monaco,0,3,0,0,A
30,2024-09-14,Paris Saint Germain,Stade Brestois 29,3,1,1,2,H
31,2024-09-15,Rennes,Montpellier,3,0,2,1,H
32,2024-09-15,Nantes,Reims,1,2,1,0,A
33,2024-09-15,Strasbourg,Angers,1,1,1,0,D
34,2024-09-15,Toulouse,Le Havre,2,0,0,2,H
35,2024-09-15,Lens,Lyon,0,0,0,0,D
36,2024-09-20,Nice,Saint Etienne,8,0,6,2,H
37,2024-09-21,Lille,Strasbourg,3,3,2,1,D
38,2024-09-21,Rennes,Lens,1,1,1,0,D
39,2024-09-21,Reims,Paris Saint Germain,1,1,1,0,D
40,2024-09-22,Monaco,Le Havre,3,1,1,2,H
41,2024-09-22,Angers,Nantes,1,1,1,0,D
42,2024-09-22,Montpellier,Auxerre,3,2,0,3,H
43,2024-09-22,Stade Brestois 29,Toulouse,2,0,1,1,H
44,2024-09-22,Lyon,Marseille,2,3,0,2,A
45,2024-09-27,Auxerre,Stade Brestois 29,3,0,2,1,H
46,2024-09-27,Paris Saint Germain,Rennes,3,1,1,2,H
