league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
Ligue 1,2022,2022-08-05,Lyon,Ajaccio,2,1,2,0,H
Ligue 1,2022,2022-08-06,Strasbourg,Monaco,1,2,0,1,A
Ligue 1,2022,2022-08-06,Clermont Foot,Paris Saint Germain,0,5,0,0,A
Ligue 1,2022,2022-08-07,Toulouse,Nice,1,1,1,0,D
Ligue 1,2022,2022-08-07,Angers,Nantes,0,0,0,0,D
Ligue 1,2022,2022-08-07,Lille,Auxerre,4,1,3,1,H
Ligue 1,2022,2022-08-07,Montpellier,Estac Troyes,3,2,2,1,H
Ligue 1,2022,2022-08-07,Lens,Stade Brestois 29,3,2,1,2,H
Ligue 1,2022,2022-08-07,Rennes,Lorient,0,1,0,0,A
Ligue 1,2022,2022-08-07,Marseille,Reims,4,1,2,2,H
Ligue 1,2022,2022-08-12,Nantes,Lille,1,1,1,0,D
Ligue 1,2022,2022-08-13,Monaco,Rennes,1,1,0,1,D
Ligue 1,2022,2022-08-13,Paris Saint Germain,Montpellier,5,2,2,3,H
Ligue 1,2022,2022-08-14,Reims,Clermont Foot,2,4,2,0,A
Ligue 1,2022,2022-08-14,Ajaccio,Lens,0,0,0,0,D
Ligue 1,2022,2022-08-14,Auxerre,Angers,2,2,2,0,D
Ligue 1,2022,2022-08-14,Estac Troyes,Toulouse,0,3,0,0,A
Ligue 1,2022,2022-08-14,Nice,Strasbourg,1,1,1,0,D
Ligue 1,2022,2022-08-14,Stade Brestois 29,Marseille,1,1,0,1,D
Ligue 1,2022,2022-08-19,Lyon,Estac Troyes,4,1,1,3,H
Ligue 1,2022,2022-08-20,Monaco,Lens,1,4,1,0,A
Ligue 1,2022,2022-08-20,Marseille,Nantes,2,1,0,2,H
Ligue 1,2022,2022-08-21,Strasbourg,Reims,1,1,1,0,D
Ligue 1,2022,2022-08-21,Angers,Stade Brestois 29,1,3,0,1,A
Ligue 1,2022,2022-08-21,Montpellier,Auxerre,1,2,1,0,A
Ligue 1,2022,2022-08-21,Toulouse,Lorient,2,2,1,1,D
Ligue 1,2022,2022-08-21,Clermont Foot,Nice,1,0,1,0,H
Ligue 1,2022,2022-08-21,Rennes,Ajaccio,2,1,1,1,H
Ligue 1,2022,2022-08-21,Lille,Paris Saint Germain,1,7,0,1,A
Ligue 1,2022,2022-08-26,Ajaccio,Lille,1,3,0,1,A
Ligue 1,2022,2022-08-27,Auxerre,Strasbourg,1,0,1,0,H
Ligue 1,2022,2022-08-27,Lens,Rennes,2,1,0,2,H
Ligue 1,2022,2022-08-28,Nantes,Toulouse,3,1,0,3,H
Ligue 1,2022,2022-08-28,Nice,Marseille,0,3,0,0,A
Ligue 1,2022,2022-08-28,Lorient,Clermont Foot,2,1,2,0,H
Ligue 1,2022,2022-08-28,Stade Brestois 29,Montpellier,0,7,0,0,A
Ligue 1,2022,2022-08-28,Estac Troyes,Angers,3,1,1,2,H
Ligue 1,2022,2022-08-28,Reims,Lyon,1,1,1,0,D
Ligue 1,2022,2022-08-28,Paris Saint Germain,Monaco,1,1,0,1,D
Ligue 1,2022,2022-08-31,Angers,Reims,2,4,0,2,A
