,league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
379,france_league_2,2023,2023-08-05,Saint Etienne,Grenoble,0,1,0,0,A
380,france_league_2,2023,2023-08-05,Amiens,Quevilly,1,0,0,1,H
381,france_league_2,2023,2023-08-05,Ajaccio,Rodez,1,1,1,0,D
382,france_league_2,2023,2023-08-05,Valenciennes,Auxerre,1,4,1,0,A
383,france_league_2,2023,2023-08-05,Paris FC,Caen,0,2,0,0,A
384,france_league_2,2023,2023-08-05,Laval,Angers,1,0,0,1,H
385,france_league_2,2023,2023-08-05,Concarneau,Bastia,0,0,0,0,D
386,france_league_2,2023,2023-08-05,Dunkerque,Estac Troyes,2,2,1,1,D
387,france_league_2,2023,2023-08-05,Annecy,Guingamp,1,4,1,0,A
388,france_league_2,2023,2023-08-07,PAU,Bordeaux,3,0,2,1,H
389,france_league_2,2023,2023-08-12,Rodez,Saint Etienne,2,1,1,1,H
390,france_league_2,2023,2023-08-12,Angers,Annecy,0,0,0,0,D
391,france_league_2,2023,2023-08-12,Caen,PAU,2,0,2,0,H
392,france_league_2,2023,2023-08-12,Guingamp,Dunkerque,0,1,0,0,A
393,france_league_2,2023,2023-08-12,Grenoble,Paris FC,2,0,0,2,H
394,france_league_2,2023,2023-08-12,Auxerre,Amiens,0,1,0,0,A
395,france_league_2,2023,2023-08-12,Estac Troyes,Laval,3,1,2,1,H
396,france_league_2,2023,2023-08-12,Quevilly,Ajaccio,0,1,0,0,A
397,france_league_2,2023,2023-08-12,Bastia,Valenciennes,3,0,1,2,H
398,france_league_2,2023,2023-08-14,Bordeaux,Concarneau,1,0,0,1,H
399,france_league_2,2023,2023-08-19,Angers,Auxerre,2,2,1,1,D
400,france_league_2,2023,2023-08-19,Amiens,Bastia,2,1,1,1,H
401,france_league_2,2023,2023-08-19,Grenoble,Estac Troyes,0,0,0,0,D
402,france_league_2,2023,2023-08-19,Valenciennes,Guingamp,0,0,0,0,D
403,france_league_2,2023,2023-08-19,Laval,Rodez,1,0,0,1,H
404,france_league_2,2023,2023-08-19,Saint Etienne,Quevilly,2,1,2,0,H
405,france_league_2,2023,2023-08-19,PAU,Paris FC,2,0,1,1,H
406,france_league_2,2023,2023-08-19,Concarneau,Caen,0,2,0,0,A
407,france_league_2,2023,2023-08-19,Annecy,Dunkerque,3,0,0,3,H
408,france_league_2,2023,2023-08-21,Ajaccio,Bordeaux,0,0,0,0,D
409,france_league_2,2023,2023-08-26,Bordeaux,Amiens,2,0,0,2,H
410,france_league_2,2023,2023-08-26,Caen,Ajaccio,3,0,2,1,H
411,france_league_2,2023,2023-08-26,Guingamp,PAU,4,0,2,2,H
412,france_league_2,2023,2023-08-26,Auxerre,Grenoble,0,0,0,0,D
413,france_league_2,2023,2023-08-26,Paris FC,Concarneau,3,0,1,2,H
414,france_league_2,2023,2023-08-26,Quevilly,Laval,0,0,0,0,D
415,france_league_2,2023,2023-08-26,Rodez,Valenciennes,0,1,0,0,A
416,france_league_2,2023,2023-08-26,Dunkerque,Angers,0,1,0,0,A
417,france_league_2,2023,2023-08-26,Bastia,Estac Troyes,3,2,0,3,H
418,france_league_2,2023,2023-08-28,Annecy,Saint Etienne,1,1,1,0,D
419,france_league_2,2023,2023-09-02,Bordeaux,Auxerre,2,4,1,1,A
420,france_league_2,2023,2023-09-02,Angers,Paris FC,2,0,1,1,H
421,france_league_2,2023,2023-09-02,Amiens,Guingamp,4,1,1,3,H
422,france_league_2,2023,2023-09-02,Ajaccio,Dunkerque,2,2,0,2,D
423,france_league_2,2023,2023-09-02,Grenoble,Bastia,0,0,0,0,D
424,france_league_2,2023,2023-09-02,Estac Troyes,Quevilly,2,2,0,2,D
425,france_league_2,2023,2023-09-02,Laval,Caen,2,1,0,2,H
426,france_league_2,2023,2023-09-02,Saint Etienne,Valenciennes,0,0,0,0,D
427,france_league_2,2023,2023-09-02,PAU,Rodez,2,2,2,0,D
428,france_league_2,2023,2023-09-02,Concarneau,Annecy,1,1,0,1,D
429,france_league_2,2023,2023-09-16,Caen,Saint Etienne,1,2,0,1,A
430,france_league_2,2023,2023-09-16,Valenciennes,Bordeaux,1,2,0,1,A
431,france_league_2,2023,2023-09-16,Auxerre,PAU,2,2,1,1,D
432,france_league_2,2023,2023-09-16,Paris FC,Amiens,3,0,2,1,H
433,france_league_2,2023,2023-09-16,Quevilly,Concarneau,2,3,0,2,A
434,france_league_2,2023,2023-09-16,Rodez,Angers,4,1,0,4,H
435,france_league_2,2023,2023-09-16,Dunkerque,Grenoble,0,0,0,0,D
436,france_league_2,2023,2023-09-16,Bastia,Laval,0,3,0,0,A
437,france_league_2,2023,2023-09-16,Annecy,Estac Troyes,0,0,0,0,D
438,france_league_2,2023,2023-09-18,Guingamp,Ajaccio,3,0,2,1,H
439,france_league_2,2023,2023-09-23,Estac Troyes,Auxerre,1,2,0,1,A
440,france_league_2,2023,2023-09-23,Angers,Bastia,2,0,1,1,H
441,france_league_2,2023,2023-09-23,Amiens,Valenciennes,0,0,0,0,D
442,france_league_2,2023,2023-09-23,Ajaccio,Paris FC,2,1,0,2,H
443,france_league_2,2023,2023-09-23,Grenoble,Quevilly,2,1,1,1,H
444,france_league_2,2023,2023-09-23,Laval,Guingamp,2,1,0,2,H
445,france_league_2,2023,2023-09-23,PAU,Annecy,0,3,0,0,A
446,france_league_2,2023,2023-09-23,Concarneau,Saint Etienne,0,1,0,0,A
447,france_league_2,2023,2023-09-23,Dunkerque,Rodez,1,2,0,1,A
448,france_league_2,2023,2023-09-26,Amiens,Ajaccio,0,0,0,0,D
449,france_league_2,2023,2023-09-26,Caen,Grenoble,1,2,1,0,A
450,france_league_2,2023,2023-09-26,Guingamp,Bordeaux,0,0,0,0,D
451,france_league_2,2023,2023-09-26,Valenciennes,Concarneau,0,1,0,0,A
452,france_league_2,2023,2023-09-26,Auxerre,Annecy,4,0,2,2,H
453,france_league_2,2023,2023-09-26,Paris FC,Laval,0,1,0,0,A
454,france_league_2,2023,2023-09-26,Quevilly,Angers,0,1,0,0,A
455,france_league_2,2023,2023-09-26,Rodez,Estac Troyes,2,1,0,2,H
456,france_league_2,2023,2023-09-26,Bastia,PAU,1,4,0,1,A
457,france_league_2,2023,2023-09-30,Estac Troyes,Saint Etienne,0,1,0,0,A
458,france_league_2,2023,2023-09-30,Angers,Concarneau,2,0,0,2,H
459,france_league_2,2023,2023-09-30,Caen,Guingamp,0,1,0,0,A
460,france_league_2,2023,2023-09-30,Grenoble,Bordeaux,2,0,1,1,H
461,france_league_2,2023,2023-09-30,Auxerre,Rodez,3,1,1,2,H
462,france_league_2,2023,2023-09-30,Laval,Valenciennes,1,0,0,1,H
463,france_league_2,2023,2023-09-30,PAU,Amiens,1,0,1,0,H
464,france_league_2,2023,2023-09-30,Dunkerque,Quevilly,0,1,0,0,A
465,france_league_2,2023,2023-09-30,Annecy,Paris FC,2,2,1,1,D
466,france_league_2,2023,2023-10-02,Ajaccio,Bastia,2,0,0,2,H
467,france_league_2,2023,2023-10-03,Bordeaux,Caen,1,1,1,0,D
468,france_league_2,2023,2023-10-04,Saint Etienne,Dunkerque,2,0,0,2,H
469,france_league_2,2023,2023-10-07,Bordeaux,Laval,0,1,0,0,A
470,france_league_2,2023,2023-10-07,Amiens,Angers,1,4,1,0,A
