,league,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
0,Grece,2024-08-17,PAOK,Panserraikos,3,2,2,1,H
1,Grece,2024-08-17,Volos NFC,Olympiakos Piraeus,0,2,0,0,A
2,Grece,2024-08-18,Levadiakos,Kallithea,0,0,0,0,D
3,Grece,2024-08-18,Panathinaikos,Asteras Tripolis,0,1,0,0,A
4,Grece,2024-08-18,Atromitos,Aris Thessalonikis,1,1,0,1,D
5,Grece,2024-08-18,AEK Athens FC,OFI,3,0,2,1,H
6,Grece,2024-08-19,Panetolikos,Lamia,0,1,0,0,A
7,Grece,2024-08-24,OFI,Atromitos,1,1,1,0,D
8,Grece,2024-08-24,Panserraikos,Aris Thessalonikis,0,1,0,0,A
9,Grece,2024-08-24,AEK Athens FC,Lamia,1,1,0,1,D
10,Grece,2024-08-25,Asteras Tripolis,Volos NFC,0,1,0,0,A
11,Grece,2024-08-25,PAOK,Panetolikos,2,0,0,2,H
12,Grece,2024-08-25,Panathinaikos,Levadiakos,1,0,0,1,H
13,Grece,2024-08-26,Olympiakos Piraeus,Kallithea,2,1,1,1,H
14,Grece,2024-08-31,Lamia,Olympiakos Piraeus,0,3,0,0,A
15,Grece,2024-08-31,Aris Thessalonikis,Asteras Tripolis,1,1,0,1,D
16,Grece,2024-08-31,Panetolikos,Panserraikos,3,0,1,2,H
17,Grece,2024-09-01,Levadiakos,AEK Athens FC,0,3,0,0,A
18,Grece,2024-09-01,Volos NFC,OFI,1,3,0,1,A
19,Grece,2024-09-01,Atromitos,PAOK,1,2,0,1,A
20,Grece,2024-09-01,Kallithea,Panathinaikos,2,2,1,1,D
21,Grece,2024-09-14,Lamia,Kallithea,0,0,0,0,D
22,Grece,2024-09-14,Asteras Tripolis,Atromitos,1,2,1,0,A
23,Grece,2024-09-15,Panserraikos,Levadiakos,2,2,2,0,D
24,Grece,2024-09-15,Olympiakos Piraeus,Panetolikos,0,0,0,0,D
25,Grece,2024-09-15,PAOK,Panathinaikos,0,0,0,0,D
26,Grece,2024-09-15,OFI,Aris Thessalonikis,3,2,1,2,H
27,Grece,2024-09-16,AEK Athens FC,Volos NFC,2,0,1,1,H
28,Grece,2024-09-21,Volos NFC,PAOK,1,4,0,1,A
29,Grece,2024-09-21,Aris Thessalonikis,Olympiakos Piraeus,2,1,2,0,H
30,Grece,2024-09-21,Panetolikos,Asteras Tripolis,1,1,1,0,D
31,Grece,2024-09-22,Levadiakos,OFI,1,1,0,1,D
32,Grece,2024-09-22,Panathinaikos,Panserraikos,3,1,1,2,H
33,Grece,2024-09-22,Atromitos,Lamia,4,2,1,3,H
34,Grece,2024-09-22,Kallithea,AEK Athens FC,0,0,0,0,D
35,Grece,2024-09-28,Volos NFC,Kallithea,1,1,1,0,D
36,Grece,2024-09-28,Asteras Tripolis,Levadiakos,1,1,1,0,D
