,country,season,league_name,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
6008,World,2022,UEFA Champions League,2022-06-21,La Fiorita,Inter Club d'Escaldes,1.0,2.0,1.0,0.0,A
6009,World,2022,UEFA Champions League,2022-06-21,FC Levadia Tallinn,Vikingur Reykjavik,1.0,6.0,1.0,3.0,A
6010,World,2022,UEFA Champions League,2022-06-24,Inter Club d'Escaldes,Vikingur Reykjavik,0.0,1.0,0.0,0.0,A
6011,World,2022,UEFA Champions League,2022-07-05,Pyunik Yerevan,CFR 1907 Cluj,0.0,0.0,0.0,0.0,D
6012,World,2022,UEFA Champions League,2022-07-05,Malmo FF,Vikingur Reykjavik,3.0,2.0,2.0,1.0,H
6013,World,2022,UEFA Champions League,2022-07-05,Ludogorets,Sutjeska,2.0,0.0,0.0,0.0,H
6014,World,2022,UEFA Champions League,2022-07-05,Lech Poznan,Qarabag,1.0,0.0,1.0,0.0,H
6015,World,2022,UEFA Champions League,2022-07-05,The New Saints,Linfield,1.0,0.0,0.0,0.0,H
6016,World,2022,UEFA Champions League,2022-07-05,Ballkani,FK Zalgiris Vilnius,1.0,1.0,1.0,1.0,D
6017,World,2022,UEFA Champions League,2022-07-05,Shamrock Rovers,Hibernians,3.0,0.0,2.0,0.0,H
6018,World,2022,UEFA Champions League,2022-07-05,Shkupi 1927,Lincoln Red Imps FC,3.0,0.0,2.0,0.0,H
6019,World,2022,UEFA Champions League,2022-07-06,FK Tobol Kostanay,Ferencvarosi TC,0.0,0.0,0.0,0.0,D
6020,World,2022,UEFA Champions League,2022-07-06,HJK helsinki,Rīgas FS,1.0,0.0,1.0,0.0,H
6021,World,2022,UEFA Champions League,2022-07-06,Bodo/Glimt,KI Klaksvik,3.0,0.0,2.0,0.0,H
6022,World,2022,UEFA Champions League,2022-07-06,F91 Dudelange,Tirana,1.0,0.0,0.0,0.0,H
6023,World,2022,UEFA Champions League,2022-07-06,Zrinjski,Sheriff Tiraspol,0.0,0.0,0.0,0.0,D
6024,World,2022,UEFA Champions League,2022-07-06,Maribor,Shakhter Soligorsk,0.0,0.0,0.0,0.0,D
6025,World,2022,UEFA Champions League,2022-07-06,Slovan Bratislava,Dinamo Batumi,0.0,0.0,0.0,0.0,D
6026,World,2022,UEFA Champions League,2022-07-12,Rīgas FS,HJK helsinki,2.0,1.0,0.0,0.0,H
6027,World,2022,UEFA Champions League,2022-07-12,Qarabag,Lech Poznan,5.0,1.0,2.0,1.0,H
6028,World,2022,UEFA Champions League,2022-07-12,FK Zalgiris Vilnius,Ballkani,0.0,0.0,0.0,0.0,D
6029,World,2022,UEFA Champions League,2022-07-12,Lincoln Red Imps FC,Shkupi 1927,2.0,0.0,1.0,0.0,H
6030,World,2022,UEFA Champions League,2022-07-12,Sheriff Tiraspol,Zrinjski,1.0,0.0,1.0,0.0,H
6031,World,2022,UEFA Champions League,2022-07-12,Tirana,F91 Dudelange,1.0,2.0,0.0,0.0,A
6032,World,2022,UEFA Champions League,2022-07-12,Hibernians,Shamrock Rovers,0.0,0.0,0.0,0.0,D
6033,World,2022,UEFA Champions League,2022-07-12,Sutjeska,Ludogorets,0.0,1.0,0.0,0.0,A
6034,World,2022,UEFA Champions League,2022-07-12,Vikingur Reykjavik,Malmo FF,3.0,3.0,1.0,2.0,D
6035,World,2022,UEFA Champions League,2022-07-13,Shakhter Soligorsk,Maribor,0.0,2.0,0.0,1.0,A
6036,World,2022,UEFA Champions League,2022-07-13,KI Klaksvik,Bodo/Glimt,3.0,1.0,2.0,0.0,H
6037,World,2022,UEFA Champions League,2022-07-13,Dinamo Batumi,Slovan Bratislava,0.0,0.0,0.0,0.0,D
6038,World,2022,UEFA Champions League,2022-07-13,Ferencvarosi TC,FK Tobol Kostanay,5.0,1.0,3.0,1.0,H
6039,World,2022,UEFA Champions League,2022-07-13,CFR 1907 Cluj,Pyunik Yerevan,1.0,1.0,1.0,0.0,D
6040,World,2022,UEFA Champions League,2022-07-13,Linfield,The New Saints,1.0,0.0,0.0,0.0,H
6041,World,2022,UEFA Champions League,2022-07-19,Qarabag,FC Zurich,3.0,2.0,2.0,0.0,H
6042,World,2022,UEFA Champions League,2022-07-19,FK Zalgiris Vilnius,Malmo FF,1.0,0.0,0.0,0.0,H
6043,World,2022,UEFA Champions League,2022-07-19,Pyunik Yerevan,F91 Dudelange,0.0,1.0,0.0,0.0,A
6044,World,2022,UEFA Champions League,2022-07-19,FC Midtjylland,AEK Larnaca,1.0,1.0,0.0,0.0,D
6045,World,2022,UEFA Champions League,2022-07-19,Ludogorets,Shamrock Rovers,3.0,0.0,2.0,0.0,H
6046,World,2022,UEFA Champions League,2022-07-19,Linfield,Bodo/Glimt,1.0,0.0,0.0,0.0,H
6047,World,2022,UEFA Champions League,2022-07-19,Dinamo Zagreb,Shkupi 1927,2.0,2.0,1.0,1.0,D
6048,World,2022,UEFA Champions League,2022-07-20,HJK helsinki,Plzen,1.0,2.0,0.0,1.0,A
6049,World,2022,UEFA Champions League,2022-07-20,Maccabi Haifa,Olympiakos Piraeus,1.0,1.0,0.0,1.0,D
6050,World,2022,UEFA Champions League,2022-07-20,Dynamo Kyiv,Fenerbahce,0.0,0.0,0.0,0.0,D
6051,World,2022,UEFA Champions League,2022-07-20,Ferencvarosi TC,Slovan Bratislava,1.0,2.0,0.0,0.0,A
6052,World,2022,UEFA Champions League,2022-07-20,Maribor,Sheriff Tiraspol,0.0,0.0,0.0,0.0,D
6053,World,2022,UEFA Champions League,2022-07-26,AEK Larnaca,FC Midtjylland,1.0,1.0,1.0,1.0,D
6054,World,2022,UEFA Champions League,2022-07-26,Plzen,HJK helsinki,5.0,0.0,3.0,0.0,H
6055,World,2022,UEFA Champions League,2022-07-26,Sheriff Tiraspol,Maribor,1.0,0.0,0.0,0.0,H
6056,World,2022,UEFA Champions League,2022-07-26,F91 Dudelange,Pyunik Yerevan,1.0,4.0,1.0,1.0,A
6057,World,2022,UEFA Champions League,2022-07-26,Shamrock Rovers,Ludogorets,2.0,1.0,1.0,0.0,H
6058,World,2022,UEFA Champions League,2022-07-26,Shkupi 1927,Dinamo Zagreb,0.0,1.0,0.0,0.0,A
6059,World,2022,UEFA Champions League,2022-07-27,Bodo/Glimt,Linfield,8.0,0.0,4.0,0.0,H
6060,World,2022,UEFA Champions League,2022-07-27,FC Zurich,Qarabag,2.0,1.0,1.0,0.0,H
6061,World,2022,UEFA Champions League,2022-07-27,Malmo FF,FK Zalgiris Vilnius,0.0,2.0,0.0,1.0,A
6062,World,2022,UEFA Champions League,2022-07-27,Fenerbahce,Dynamo Kyiv,1.0,1.0,0.0,0.0,D
6063,World,2022,UEFA Champions League,2022-07-27,Slovan Bratislava,Ferencvarosi TC,1.0,4.0,0.0,2.0,A
6064,World,2022,UEFA Champions League,2022-07-27,Olympiakos Piraeus,Maccabi Haifa,0.0,4.0,0.0,1.0,A
6065,World,2022,UEFA Champions League,2022-08-02,Sheriff Tiraspol,Plzen,1.0,2.0,1.0,1.0,A
6066,World,2022,UEFA Champions League,2022-08-02,Ludogorets,Dinamo Zagreb,1.0,2.0,1.0,2.0,A
6067,World,2022,UEFA Champions League,2022-08-02,Monaco,PSV Eindhoven,1.0,1.0,0.0,1.0,D
6068,World,2022,UEFA Champions League,2022-08-02,Union St. Gilloise,Rangers,2.0,0.0,1.0,0.0,H
6069,World,2022,UEFA Champions League,2022-08-02,Benfica,FC Midtjylland,4.0,1.0,3.0,0.0,H
6070,World,2022,UEFA Champions League,2022-08-03,Bodo/Glimt,FK Zalgiris Vilnius,5.0,0.0,2.0,0.0,H
6071,World,2022,UEFA Champions League,2022-08-03,Qarabag,Ferencvarosi TC,1.0,1.0,1.0,1.0,D
6072,World,2022,UEFA Champions League,2022-08-03,Maccabi Haifa,Apollon Limassol,4.0,0.0,1.0,0.0,H
6073,World,2022,UEFA Champions League,2022-08-03,Dynamo Kyiv,Sturm Graz,1.0,0.0,1.0,0.0,H
6074,World,2022,UEFA Champions League,2022-08-03,FK Crvena Zvezda,Pyunik Yerevan,5.0,0.0,3.0,0.0,H
6075,World,2022,UEFA Champions League,2022-08-09,FK Zalgiris Vilnius,Bodo/Glimt,1.0,1.0,1.0,0.0,D
6076,World,2022,UEFA Champions League,2022-08-09,Plzen,Sheriff Tiraspol,2.0,1.0,1.0,0.0,H
6077,World,2022,UEFA Champions League,2022-08-09,Apollon Limassol,Maccabi Haifa,2.0,0.0,2.0,0.0,H
6078,World,2022,UEFA Champions League,2022-08-09,Pyunik Yerevan,FK Crvena Zvezda,0.0,2.0,0.0,1.0,A
6079,World,2022,UEFA Champions League,2022-08-09,FC Midtjylland,Benfica,1.0,3.0,0.0,1.0,A
6080,World,2022,UEFA Champions League,2022-08-09,Dinamo Zagreb,Ludogorets,4.0,2.0,3.0,1.0,H
6081,World,2022,UEFA Champions League,2022-08-09,Ferencvarosi TC,Qarabag,1.0,3.0,0.0,1.0,A
6082,World,2022,UEFA Champions League,2022-08-09,PSV Eindhoven,Monaco,2.0,2.0,1.0,0.0,D
6083,World,2022,UEFA Champions League,2022-08-09,Sturm Graz,Dynamo Kyiv,1.0,0.0,1.0,0.0,H
6084,World,2022,UEFA Champions League,2022-08-09,Rangers,Union St. Gilloise,3.0,0.0,1.0,0.0,H
6085,World,2022,UEFA Champions League,2022-08-16,FC Copenhagen,Trabzonspor,2.0,1.0,1.0,0.0,H
6086,World,2022,UEFA Champions League,2022-08-16,Rangers,PSV Eindhoven,2.0,2.0,1.0,1.0,D
6087,World,2022,UEFA Champions League,2022-08-16,Bodo/Glimt,Dinamo Zagreb,1.0,0.0,1.0,0.0,H
6088,World,2022,UEFA Champions League,2022-08-17,Qarabag,Plzen,0.0,0.0,0.0,0.0,D
6089,World,2022,UEFA Champions League,2022-08-17,Dynamo Kyiv,Benfica,0.0,2.0,0.0,2.0,A
6090,World,2022,UEFA Champions League,2022-08-17,Maccabi Haifa,FK Crvena Zvezda,3.0,2.0,1.0,2.0,H
6091,World,2022,UEFA Champions League,2022-08-23,Benfica,Dynamo Kyiv,3.0,0.0,3.0,0.0,H
6092,World,2022,UEFA Champions League,2022-08-23,Plzen,Qarabag,2.0,1.0,0.0,1.0,H
6093,World,2022,UEFA Champions League,2022-08-23,FK Crvena Zvezda,Maccabi Haifa,2.0,2.0,2.0,1.0,D
