league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
champions_league,2025,2025-07-08,KuPS,Milsami Orhei,1,0,0,0,H
champions_league,2025,2025-07-08,Saburtalo,Malmo FF,1,3,0,1,A
champions_league,2025,2025-07-08,FC Noah,Buducnost Podgorica,1,0,0,0,H
champions_league,2025,2025-07-08,FC Levadia Tallinn,Rīgas FS,0,1,0,0,A
champions_league,2025,2025-07-08,Olimpija Ljubljana,Kairat Almaty,1,1,0,0,D
champions_league,2025,2025-07-08,The New Saints,Shkendija,0,0,0,0,D
champions_league,2025,2025-07-08,Vikingur Gota,Lincoln Red Imps FC,2,3,2,3,A
champions_league,2025,2025-07-08,Drita,FC Differdange 03,1,0,0,0,H
champions_league,2025,2025-07-08,Egnatia Rrogozhinë,Breidablik,1,0,0,0,H
champions_league,2025,2025-07-08,Virtus,Zrinjski,0,2,0,1,A
champions_league,2025,2025-07-09,FK Zalgiris Vilnius,Hamrun Spartans,2,0,0,0,H
champions_league,2025,2025-07-09,FCSB,Inter Club d'Escaldes,3,1,2,0,H
champions_league,2025,2025-07-09,Ludogorets,Dinamo Minsk,1,0,0,0,H
champions_league,2025,2025-07-09,Shelbourne,Linfield,1,0,0,0,H
champions_league,2025,2025-07-15,Kairat Almaty,Olimpija Ljubljana,2,0,2,0,H
champions_league,2025,2025-07-15,Lincoln Red Imps FC,Vikingur Gota,1,0,0,0,H
champions_league,2025,2025-07-15,Malmo FF,Saburtalo,3,1,0,0,H
champions_league,2025,2025-07-15,Milsami Orhei,KuPS,0,0,0,0,D
champions_league,2025,2025-07-15,Rīgas FS,FC Levadia Tallinn,1,0,0,0,H
champions_league,2025,2025-07-15,FC Differdange 03,Drita,2,3,1,2,A
champions_league,2025,2025-07-15,Inter Club d'Escaldes,FCSB,2,1,0,0,H
champions_league,2025,2025-07-15,Breidablik,Egnatia Rrogozhinë,5,0,4,0,H
champions_league,2025,2025-07-15,Buducnost Podgorica,FC Noah,2,2,0,2,D
champions_league,2025,2025-07-15,Zrinjski,Virtus,2,1,1,0,H
champions_league,2025,2025-07-16,Linfield,Shelbourne,1,1,1,1,D
champions_league,2025,2025-07-22,KuPS,Kairat Almaty,2,0,0,0,H
champions_league,2025,2025-07-22,Lincoln Red Imps FC,FK Crvena Zvezda,0,1,0,1,A
champions_league,2025,2025-07-22,FC Noah,Ferencvarosi TC,1,2,1,1,A
champions_league,2025,2025-07-22,FC Copenhagen,Drita,2,0,0,0,H
champions_league,2025,2025-07-22,Plzen,Servette FC,0,1,0,1,A
champions_league,2025,2025-07-22,Pafos,Maccabi Tel Aviv,1,1,0,0,D
champions_league,2025,2025-07-22,Rīgas FS,Malmo FF,1,4,1,2,A
champions_league,2025,2025-07-22,Hamrun Spartans,Dynamo Kyiv,0,3,0,1,A
champions_league,2025,2025-07-22,Shkendija,FCSB,1,0,0,0,H
champions_league,2025,2025-07-22,Slovan Bratislava,Zrinjski,4,0,2,0,H
champions_league,2025,2025-07-22,Lech Poznan,Breidablik,7,1,5,1,H
champions_league,2025,2025-07-22,Rangers,Panathinaikos,2,0,0,0,H
champions_league,2025,2025-07-22,HNK Rijeka,Ludogorets,0,0,0,0,D
champions_league,2025,2025-07-23,Brann,Red Bull Salzburg,1,4,1,0,A
champions_league,2025,2025-07-23,Shelbourne,Qarabag,0,3,0,1,A
champions_league,2025,2025-07-29,Kairat Almaty,KuPS,3,0,3,0,H
champions_league,2025,2025-07-29,Dynamo Kyiv,Hamrun Spartans,3,0,2,0,H
champions_league,2025,2025-07-29,Drita,FC Copenhagen,0,1,0,1,A
champions_league,2025,2025-07-29,Zrinjski,Slovan Bratislava,2,2,0,0,D
champions_league,2025,2025-07-29,FK Crvena Zvezda,Lincoln Red Imps FC,5,1,4,0,H
champions_league,2025,2025-07-30,Qarabag,Shelbourne,1,0,1,0,H
champions_league,2025,2025-07-30,Malmo FF,Rīgas FS,1,0,1,0,H
champions_league,2025,2025-07-30,FCSB,Shkendija,1,2,1,1,A
