,season,league_name,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
7026,2023,UEFA Europa League,2023-08-08,FC Astana,Ludogorets,2.0,1.0,1.0,1.0,H
7027,2023,UEFA Europa League,2023-08-10,Qarabag,HJK helsinki,2.0,1.0,0.0,0.0,H
7028,2023,UEFA Europa League,2023-08-10,FK Zalgiris Vilnius,BK Hacken,1.0,3.0,0.0,1.0,A
7029,2023,UEFA Europa League,2023-08-10,Slavia Praha,Dnipro-1,3.0,0.0,2.0,0.0,H
7030,2023,UEFA Europa League,2023-08-10,Sheriff Tiraspol,Bate Borisov,5.0,1.0,2.0,0.0,H
7031,2023,UEFA Europa League,2023-08-10,Olympiakos Piraeus,Genk,1.0,0.0,1.0,0.0,H
7032,2023,UEFA Europa League,2023-08-10,Zrinjski,Breidablik,6.0,2.0,5.0,0.0,H
7033,2023,UEFA Europa League,2023-08-17,HJK helsinki,Qarabag,1.0,2.0,1.0,1.0,A
7034,2023,UEFA Europa League,2023-08-17,BK Hacken,FK Zalgiris Vilnius,5.0,0.0,1.0,0.0,H
7035,2023,UEFA Europa League,2023-08-17,Breidablik,Zrinjski,1.0,0.0,0.0,0.0,H
7036,2023,UEFA Europa League,2023-08-17,Bate Borisov,Sheriff Tiraspol,2.0,2.0,1.0,2.0,D
7037,2023,UEFA Europa League,2023-08-17,Ludogorets,FC Astana,5.0,1.0,1.0,1.0,H
7038,2023,UEFA Europa League,2023-08-17,Genk,Olympiakos Piraeus,1.0,1.0,1.0,0.0,D
7039,2023,UEFA Europa League,2023-08-17,Dnipro-1,Slavia Praha,1.0,1.0,1.0,0.0,D
7040,2023,UEFA Europa League,2023-08-24,BK Hacken,Aberdeen,2.0,2.0,1.0,0.0,D
7041,2023,UEFA Europa League,2023-08-24,Slavia Praha,Zorya Luhansk,2.0,0.0,0.0,0.0,H
7042,2023,UEFA Europa League,2023-08-24,Dinamo Zagreb,Sparta Praha,3.0,1.0,1.0,1.0,H
7043,2023,UEFA Europa League,2023-08-24,Olimpija Ljubljana,Qarabag,0.0,2.0,0.0,2.0,A
7044,2023,UEFA Europa League,2023-08-24,Ludogorets,Ajax,1.0,4.0,0.0,3.0,A
7045,2023,UEFA Europa League,2023-08-24,Slovan Bratislava,Aris,2.0,1.0,1.0,0.0,H
