league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
League_europa,2025,2025-07-10,Sabah FA,Celje,2,3,2,1,A
League_europa,2025,2025-07-10,AEK Larnaca,FK Partizan,1,0,0,0,H
League_europa,2025,2025-07-10,Sheriff Tiraspol,Prishtina,4,0,2,0,H
League_europa,2025,2025-07-10,Paks,CFR 1907 Cluj,0,0,0,0,D
League_europa,2025,2025-07-10,Levski Sofia,Hapoel Beer Sheva,0,0,0,0,D
League_europa,2025,2025-07-10,Shakhtar Donetsk,Ilves,6,0,2,0,H
League_europa,2025,2025-07-10,Spartak Trnava,BK Hacken,0,1,0,0,A
League_europa,2025,2025-07-10,Legia Warszawa,Aktobe,1,0,1,0,H
League_europa,2025,2025-07-17,Ilves,Shakhtar Donetsk,0,0,0,0,D
League_europa,2025,2025-07-17,Aktobe,Legia Warszawa,0,1,0,0,A
League_europa,2025,2025-07-17,BK Hacken,Spartak Trnava,2,2,1,0,D
League_europa,2025,2025-07-17,CFR 1907 Cluj,Paks,3,0,1,0,H
League_europa,2025,2025-07-17,Prishtina,Sheriff Tiraspol,2,1,0,0,H
League_europa,2025,2025-07-24,Sheriff Tiraspol,Utrecht,1,3,1,1,A
League_europa,2025,2025-07-24,Baník Ostrava,Legia Warszawa,2,2,1,1,D
League_europa,2025,2025-07-24,FC Midtjylland,Hibernian,1,1,0,1,D
League_europa,2025,2025-07-24,Levski Sofia,SC Braga,0,0,0,0,D
League_europa,2025,2025-07-24,Beşiktaş,Shakhtar Donetsk,2,4,1,2,A
League_europa,2025,2025-07-24,Anderlecht,BK Hacken,1,0,1,0,H
League_europa,2025,2025-07-24,Celje,AEK Larnaca,1,1,1,0,D
League_europa,2025,2025-07-24,FC Lugano,CFR 1907 Cluj,0,0,0,0,D
League_europa,2025,2025-07-31,AEK Larnaca,Celje,2,1,1,0,H
League_europa,2025,2025-07-31,Utrecht,Sheriff Tiraspol,4,1,1,0,H
League_europa,2025,2025-07-31,Shakhtar Donetsk,Beşiktaş,2,0,2,0,H
League_europa,2025,2025-07-31,Legia Warszawa,Baník Ostrava,2,1,0,1,H
League_europa,2025,2025-08-05,Hamrun Spartans,Maccabi Tel Aviv,1,2,0,0,A
League_europa,2025,2025-08-06,Rīgas FS,KuPS,1,2,0,2,A
League_europa,2025,2025-08-06,HNK Rijeka,Shelbourne,1,2,0,0,A
League_europa,2025,2025-08-07,Lincoln Red Imps FC,FC Noah,1,1,1,1,D
League_europa,2025,2025-08-07,Fredrikstad,FC Midtjylland,1,3,0,2,A
League_europa,2025,2025-08-07,AEK Larnaca,Legia Warszawa,4,1,1,1,H
League_europa,2025,2025-08-07,CFR 1907 Cluj,SC Braga,1,2,1,1,A
League_europa,2025,2025-08-07,BK Hacken,Brann,0,2,0,1,A
League_europa,2025,2025-08-07,PAOK,Wolfsberger AC,0,0,0,0,D
League_europa,2025,2025-08-07,Zrinjski,Breidablik,1,1,0,1,D
League_europa,2025,2025-08-07,Panathinaikos,Shakhtar Donetsk,0,0,0,0,D
League_europa,2025,2025-08-07,FCSB,Drita,3,2,0,1,H
League_europa,2025,2025-08-07,Servette FC,Utrecht,1,3,1,0,A
League_europa,2025,2025-08-12,Shelbourne,HNK Rijeka,1,3,0,1,A
League_europa,2025,2025-08-14,KuPS,Rīgas FS,1,0,0,0,H
League_europa,2025,2025-08-14,FC Midtjylland,Fredrikstad,2,0,2,0,H
League_europa,2025,2025-08-14,Brann,BK Hacken,0,1,0,1,A
League_europa,2025,2025-08-14,Breidablik,Zrinjski,1,2,0,1,A
League_europa,2025,2025-08-14,Utrecht,Servette FC,2,1,0,0,H
League_europa,2025,2025-08-14,Maccabi Tel Aviv,Hamrun Spartans,3,1,2,1,H
League_europa,2025,2025-08-14,Drita,FCSB,1,3,0,2,A
