league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
secunda,2025,2025-08-15,Valladolid,AD Ceuta FC,3,0,2,0,H
secunda,2025,2025-08-15,Burgos,Cultural Leonesa,5,1,3,0,H
secunda,2025,2025-08-16,Racing Santander,Castellón,3,1,2,1,H
secunda,2025,2025-08-16,Malaga,Eibar,1,1,0,0,D
secunda,2025,2025-08-16,Granada CF,Deportivo La Coruna,1,3,0,1,A
secunda,2025,2025-08-17,Real Sociedad II,Zaragoza,1,0,1,0,H
secunda,2025,2025-08-17,Cadiz,Mirandes,1,0,1,0,H
secunda,2025,2025-08-17,Las Palmas,FC Andorra,1,1,1,0,D
secunda,2025,2025-08-17,Huesca,Leganes,1,1,0,0,D
secunda,2025,2025-08-18,Sporting Gijon,Cordoba,2,1,1,1,H
secunda,2025,2025-08-18,Almeria,Albacete,4,4,1,1,D
secunda,2025,2025-08-22,Eibar,Granada CF,3,0,1,0,H
secunda,2025,2025-08-22,Leganes,Cadiz,1,1,1,0,D
secunda,2025,2025-08-22,Castellón,Valladolid,0,1,0,1,A
secunda,2025,2025-08-23,Mirandes,Huesca,0,1,0,1,A
secunda,2025,2025-08-23,AD Ceuta FC,Sporting Gijon,0,1,0,1,A
secunda,2025,2025-08-23,Zaragoza,FC Andorra,1,3,0,1,A
secunda,2025,2025-08-24,Deportivo La Coruna,Burgos,0,0,0,0,D
secunda,2025,2025-08-24,Cultural Leonesa,Almeria,0,1,0,0,A
secunda,2025,2025-08-24,Malaga,Real Sociedad II,1,0,0,0,H
secunda,2025,2025-08-25,Albacete,Racing Santander,2,3,0,0,A
secunda,2025,2025-08-25,Cordoba,Las Palmas,1,3,0,1,A
secunda,2025,2025-08-29,Real Sociedad II,Almeria,2,2,1,1,D
secunda,2025,2025-08-29,Sporting Gijon,Cultural Leonesa,1,0,0,0,H
secunda,2025,2025-08-30,Racing Santander,AD Ceuta FC,4,1,2,1,H
secunda,2025,2025-08-30,Valladolid,Cordoba,0,0,0,0,D
secunda,2025,2025-08-30,Castellón,Zaragoza,1,1,0,0,D
secunda,2025,2025-08-31,Cadiz,Albacete,2,1,1,0,H
secunda,2025,2025-08-31,FC Andorra,Burgos,2,1,1,0,H
secunda,2025,2025-08-31,Las Palmas,Malaga,0,1,0,1,A
secunda,2025,2025-08-31,Granada CF,Mirandes,1,2,0,0,A
secunda,2025,2025-09-01,Huesca,Eibar,2,1,1,1,H
secunda,2025,2025-09-01,Leganes,Deportivo La Coruna,2,2,2,0,D
secunda,2025,2025-09-05,Albacete,Mirandes,1,4,0,1,A
secunda,2025,2025-09-05,Cordoba,Castellón,2,1,0,1,H
secunda,2025,2025-09-06,Deportivo La Coruna,Sporting Gijon,1,0,0,0,H
secunda,2025,2025-09-06,Zaragoza,Valladolid,1,1,0,0,D
secunda,2025,2025-09-06,Malaga,Granada CF,2,2,2,1,D
secunda,2025,2025-09-07,AD Ceuta FC,Huesca,2,1,1,0,H
secunda,2025,2025-09-07,Burgos,Las Palmas,0,0,0,0,D
secunda,2025,2025-09-07,Real Sociedad II,Cadiz,3,3,1,1,D
secunda,2025,2025-09-07,Almeria,Racing Santander,2,3,2,0,A
secunda,2025,2025-09-07,Cultural Leonesa,Leganes,0,0,0,0,D
secunda,2025,2025-09-08,Eibar,FC Andorra,2,0,0,0,H
secunda,2025,2025-09-12,Las Palmas,Real Sociedad II,2,1,1,0,H
secunda,2025,2025-09-13,Cadiz,Eibar,1,0,0,0,H
secunda,2025,2025-09-13,Mirandes,Deportivo La Coruna,1,5,0,2,A
secunda,2025,2025-09-13,Huesca,Malaga,1,0,0,0,H
secunda,2025,2025-09-13,Valladolid,Almeria,3,1,1,0,H
secunda,2025,2025-09-14,FC Andorra,Cordoba,3,1,2,1,H
secunda,2025,2025-09-14,Racing Santander,Cultural Leonesa,2,4,0,3,A
secunda,2025,2025-09-14,Sporting Gijon,Burgos,2,3,0,2,A
secunda,2025,2025-09-14,Castellón,AD Ceuta FC,3,3,2,1,D
secunda,2025,2025-09-14,Granada CF,Leganes,0,2,0,1,A
secunda,2025,2025-09-15,Zaragoza,Albacete,0,0,0,0,D
secunda,2025,2025-09-19,Deportivo La Coruna,Huesca,4,0,3,0,H
secunda,2025,2025-09-20,Cultural Leonesa,Castellón,1,3,0,2,A
secunda,2025,2025-09-20,Leganes,Las Palmas,0,1,0,0,A
secunda,2025,2025-09-20,FC Andorra,Mirandes,1,1,1,1,D
secunda,2025,2025-09-20,Almeria,Sporting Gijon,2,1,0,1,H
secunda,2025,2025-09-21,AD Ceuta FC,Zaragoza,1,0,0,0,H
secunda,2025,2025-09-21,Albacete,Valladolid,2,0,0,0,H
secunda,2025,2025-09-21,Malaga,Cadiz,0,1,0,1,A
secunda,2025,2025-09-21,Eibar,Real Sociedad II,2,1,1,0,H
secunda,2025,2025-09-21,Cordoba,Racing Santander,2,2,0,0,D
secunda,2025,2025-09-22,Burgos,Granada CF,1,1,0,0,D
secunda,2025,2025-09-26,Mirandes,Zaragoza,0,1,0,1,A
secunda,2025,2025-09-27,Eibar,Deportivo La Coruna,1,1,0,1,D
secunda,2025,2025-09-27,Racing Santander,FC Andorra,1,2,0,0,A
secunda,2025,2025-09-27,Las Palmas,Almeria,0,1,0,1,A
secunda,2025,2025-09-28,Real Sociedad II,Cordoba,1,1,1,0,D
secunda,2025,2025-09-28,Cadiz,AD Ceuta FC,0,0,0,0,D
secunda,2025,2025-09-28,Burgos,Malaga,2,1,1,1,H
secunda,2025,2025-09-28,Valladolid,Cultural Leonesa,0,1,0,1,A
secunda,2025,2025-09-28,Sporting Gijon,Albacete,3,4,3,1,A
secunda,2025,2025-09-28,Huesca,Granada CF,0,1,0,1,A
secunda,2025,2025-09-29,Leganes,Castellón,0,1,0,1,A
secunda,2025,2025-10-03,AD Ceuta FC,Eibar,1,0,1,0,H
secunda,2025,2025-10-04,Deportivo La Coruna,Almeria,1,1,0,1,D
secunda,2025,2025-10-04,Huesca,Burgos,2,1,1,0,H
secunda,2025,2025-10-04,FC Andorra,Leganes,1,2,0,0,A
secunda,2025,2025-10-04,Granada CF,Real Sociedad II,5,2,5,1,H
secunda,2025,2025-10-05,Zaragoza,Cordoba,0,1,0,0,A
secunda,2025,2025-10-05,Castellón,Sporting Gijon,3,1,2,1,H
secunda,2025,2025-10-05,Valladolid,Mirandes,1,1,0,1,D
secunda,2025,2025-10-05,Racing Santander,Malaga,3,0,0,0,H
secunda,2025,2025-10-05,Las Palmas,Cadiz,1,0,0,0,H
secunda,2025,2025-10-06,Cultural Leonesa,Albacete,0,0,0,0,D
secunda,2025,2025-10-10,Granada CF,Las Palmas,0,0,0,0,D
secunda,2025,2025-10-11,Mirandes,Leganes,0,0,0,0,D
secunda,2025,2025-10-11,Almeria,Zaragoza,4,2,0,0,H
secunda,2025,2025-10-11,Real Sociedad II,FC Andorra,3,0,1,0,H
secunda,2025,2025-10-12,Albacete,AD Ceuta FC,0,0,0,0,D
secunda,2025,2025-10-12,Eibar,Castellón,0,0,0,0,D
secunda,2025,2025-10-12,Sporting Gijon,Racing Santander,2,1,1,0,H
secunda,2025,2025-10-12,Cadiz,Huesca,1,0,0,0,H
secunda,2025,2025-10-12,Burgos,Valladolid,0,1,0,0,A
secunda,2025,2025-10-12,Malaga,Deportivo La Coruna,3,0,2,0,H
secunda,2025,2025-10-13,Cordoba,Cultural Leonesa,1,0,1,0,H
secunda,2025,2025-10-17,FC Andorra,Granada CF,0,0,0,0,D
secunda,2025,2025-10-18,AD Ceuta FC,Mirandes,2,0,2,0,H
secunda,2025,2025-10-18,Zaragoza,Cultural Leonesa,0,5,0,2,A
secunda,2025,2025-10-19,Leganes,Malaga,2,0,1,0,H
secunda,2025,2025-10-19,Valladolid,Sporting Gijon,2,3,1,1,A
secunda,2025,2025-10-19,Castellón,Albacete,0,1,0,1,A
secunda,2025,2025-10-19,Cordoba,Almeria,1,1,1,1,D
secunda,2025,2025-10-19,Racing Santander,Deportivo La Coruna,2,1,1,1,H
secunda,2025,2025-10-19,Las Palmas,Eibar,3,1,1,0,H
secunda,2025,2025-10-20,Cadiz,Burgos,1,3,1,2,A
secunda,2025,2025-10-24,Huesca,Las Palmas,1,1,1,0,D
secunda,2025,2025-10-25,Cultural Leonesa,AD Ceuta FC,0,1,0,1,A
