,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
1014,2025,2025-07-12,Puebla,Atlas,2,3,1,1,A
1015,2025,2025-07-12,FC Juarez,Club America,1,1,0,1,D
1016,2025,2025-07-12,Club Tijuana,Club Queretaro,1,0,1,0,H
1017,2025,2025-07-13,Toluca,Necaxa,3,1,2,1,H
1018,2025,2025-07-13,Santos Laguna,U.N.A.M. - Pumas,3,0,1,2,H
1019,2025,2025-07-13,Cruz Azul,Mazatlán,0,0,0,0,D
1020,2025,2025-07-13,Pachuca,Monterrey,3,0,0,3,H
1021,2025,2025-07-14,Leon,Atletico San Luis,0,1,0,0,A
1022,2025,2025-07-17,Club America,Club Tijuana,3,1,1,2,H
1023,2025,2025-07-17,Santos Laguna,Toluca,2,4,2,0,A
1024,2025,2025-07-19,Necaxa,Club Queretaro,3,1,2,1,H
1025,2025,2025-07-19,Atletico San Luis,Monterrey,0,1,0,0,A
1026,2025,2025-07-19,Mazatlán,Puebla,2,1,2,0,H
1027,2025,2025-07-20,Tigres UANL,FC Juarez,1,0,0,1,H
1028,2025,2025-07-20,Leon,Guadalajara Chivas,1,0,0,1,H
1029,2025,2025-07-20,Atlas,Cruz Azul,3,3,2,1,D
1030,2025,2025-07-20,U.N.A.M. - Pumas,Pachuca,2,3,2,0,A
1031,2025,2025-07-26,Club Queretaro,U.N.A.M. - Pumas,0,2,0,0,A
1032,2025,2025-07-26,Puebla,Santos Laguna,1,0,0,1,H
1033,2025,2025-07-26,Club Tijuana,FC Juarez,1,1,0,1,D
1034,2025,2025-07-26,Pachuca,Mazatlán,1,0,0,1,H
1035,2025,2025-07-26,Guadalajara Chivas,Atletico San Luis,4,3,2,2,H
1036,2025,2025-07-27,Toluca,Tigres UANL,3,4,1,2,A
1037,2025,2025-07-27,Monterrey,Atlas,3,1,1,2,H
1038,2025,2025-07-27,Cruz Azul,Leon,4,1,0,4,H
1039,2025,2025-07-27,Necaxa,Club America,1,1,1,0,D
1040,2025,2025-08-09,Tigres UANL,Puebla,7,0,2,5,H
1041,2025,2025-08-10,Club America,Club Queretaro,1,0,1,0,H
1042,2025,2025-08-10,Mazatlán,Club Tijuana,2,2,0,2,D
1043,2025,2025-08-10,Atlas,Pachuca,0,3,0,0,A
1044,2025,2025-08-11,U.N.A.M. - Pumas,Necaxa,1,1,0,1,D
1045,2025,2025-08-11,Santos Laguna,Guadalajara Chivas,1,0,1,0,H
1046,2025,2025-08-12,Leon,Monterrey,1,3,0,1,A
1047,2025,2025-08-12,FC Juarez,Toluca,0,2,0,0,A
1048,2025,2025-08-12,Atletico San Luis,Cruz Azul,1,2,0,1,A
1049,2025,2025-08-16,Puebla,Atletico San Luis,0,2,0,0,A
1050,2025,2025-08-16,Necaxa,Leon,0,1,0,0,A
1051,2025,2025-08-16,Guadalajara Chivas,FC Juarez,1,2,0,1,A
1052,2025,2025-08-17,Tigres UANL,Club America,1,3,1,0,A
1053,2025,2025-08-17,Pachuca,Club Tijuana,0,2,0,0,A
1054,2025,2025-08-17,Cruz Azul,Santos Laguna,3,2,2,1,H
1055,2025,2025-08-17,Toluca,U.N.A.M. - Pumas,1,1,0,1,D
1056,2025,2025-08-17,Club Queretaro,Atlas,3,3,0,3,D
1057,2025,2025-08-18,Monterrey,Mazatlán,3,2,3,0,H
1058,2025,2025-08-23,Club Queretaro,Atletico San Luis,3,2,1,2,H
1059,2025,2025-08-23,FC Juarez,Santos Laguna,2,1,0,2,H
1060,2025,2025-08-23,Club Tijuana,Guadalajara Chivas,3,3,1,2,D
1061,2025,2025-08-23,Leon,Pachuca,1,1,1,0,D
1062,2025,2025-08-24,Monterrey,Necaxa,3,0,2,1,H
1063,2025,2025-08-24,Mazatlán,Tigres UANL,2,2,1,1,D
1064,2025,2025-08-24,Cruz Azul,Toluca,1,0,0,1,H
1065,2025,2025-08-24,U.N.A.M. - Pumas,Puebla,0,0,0,0,D
1066,2025,2025-08-25,Atlas,Club America,2,4,1,1,A
1067,2025,2025-08-30,FC Juarez,Mazatlán,1,0,1,0,H
1068,2025,2025-08-30,Atletico San Luis,Toluca,1,3,0,1,A
1069,2025,2025-08-30,Puebla,Monterrey,2,4,1,1,A
1070,2025,2025-08-30,Leon,Club Queretaro,3,0,1,2,H
1071,2025,2025-08-31,Santos Laguna,Tigres UANL,0,1,0,0,A
1072,2025,2025-08-31,Guadalajara Chivas,Cruz Azul,1,2,1,0,A
1073,2025,2025-08-31,Club America,Pachuca,2,0,1,1,H
1074,2025,2025-08-31,U.N.A.M. - Pumas,Atlas,1,0,0,1,H
1075,2025,2025-09-01,Club Tijuana,Necaxa,3,0,1,2,H
1076,2025,2025-09-13,Necaxa,FC Juarez,1,1,0,1,D
1077,2025,2025-09-13,Mazatlán,U.N.A.M. - Pumas,1,4,1,0,A
1078,2025,2025-09-13,Pachuca,Cruz Azul,0,1,0,0,A
1079,2025,2025-09-14,Tigres UANL,Leon,0,0,0,0,D
1080,2025,2025-09-14,Atlas,Santos Laguna,2,2,2,0,D
1081,2025,2025-09-14,Toluca,Puebla,3,1,1,2,H
1082,2025,2025-09-14,Club America,Guadalajara Chivas,1,2,0,1,A
1083,2025,2025-09-14,Club Queretaro,Monterrey,0,1,0,0,A
1084,2025,2025-09-15,Atletico San Luis,Club Tijuana,1,1,1,0,D
1085,2025,2025-09-18,Guadalajara Chivas,Tigres UANL,0,0,0,0,D
1086,2025,2025-09-20,Necaxa,Puebla,1,0,1,0,H
1087,2025,2025-09-20,Cruz Azul,FC Juarez,3,2,3,0,H
1088,2025,2025-09-20,Mazatlán,Atlas,1,1,0,1,D
1089,2025,2025-09-20,Club Tijuana,Leon,5,0,3,2,H
1090,2025,2025-09-20,Pachuca,Club Queretaro,0,2,0,0,A
1091,2025,2025-09-21,U.N.A.M. - Pumas,Tigres UANL,1,1,0,1,D
1092,2025,2025-09-21,Guadalajara Chivas,Toluca,0,3,0,0,A
1093,2025,2025-09-21,Monterrey,Club America,2,2,2,0,D
1094,2025,2025-09-21,Santos Laguna,Atletico San Luis,1,4,0,1,A
1095,2025,2025-09-24,Puebla,Pachuca,2,2,0,2,D
1096,2025,2025-09-24,Guadalajara Chivas,Necaxa,3,1,2,1,H
1097,2025,2025-09-24,FC Juarez,U.N.A.M. - Pumas,3,1,1,2,H
1098,2025,2025-09-24,Leon,Mazatlán,2,2,2,0,D
1099,2025,2025-09-25,Cruz Azul,Club Queretaro,2,2,1,1,D
1100,2025,2025-09-25,Tigres UANL,Atlas,2,0,1,1,H
1101,2025,2025-09-25,Toluca,Monterrey,6,2,4,2,H
1102,2025,2025-09-25,Santos Laguna,Club Tijuana,1,0,0,1,H
1103,2025,2025-09-25,Atletico San Luis,Club America,0,1,0,0,A
