,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,OU_O05,OU_U05,OU_O15,OU_U15,OU_O25,OU_U25,BTTS_Yes,BTTS_No,season_id,match_id,saison,nom_compétition,pays
103429,2012-07-21 00:30:00,Chiapas,Tigres UANL,0,4,A,0,4,A,2.74,3.37,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,85962,2012,Mexico Liga MX,Mexico
103430,2012-07-21 02:35:00,Tijuana,Puebla,2,0,H,1,0,H,2.09,3.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,85963,2012,Mexico Liga MX,Mexico
103432,2012-07-21 22:00:00,Querétaro,León,0,2,A,0,1,A,2.42,3.37,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,85965,2012,Mexico Liga MX,Mexico
103431,2012-07-21 22:00:00,Cruz Azul,Morelia,0,0,D,0,0,D,2.17,3.45,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,85964,2012,Mexico Liga MX,Mexico
103433,2012-07-22 00:00:00,Monterrey,América,0,0,D,0,0,D,2.16,3.48,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,85966,2012,Mexico Liga MX,Mexico
103434,2012-07-22 00:00:00,Santos Laguna,San Luis,2,1,H,1,1,D,1.66,3.95,5.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,85967,2012,Mexico Liga MX,Mexico
103435,2012-07-22 02:00:00,Atlas,Pumas UNAM,1,1,D,0,1,A,2.5,3.28,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,85968,2012,Mexico Liga MX,Mexico
103436,2012-07-22 17:00:00,Toluca,Guadalajara,2,1,H,2,0,H,2.63,3.34,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,85969,2012,Mexico Liga MX,Mexico
103437,2012-07-22 23:00:00,Atlante,Pachuca,0,0,D,0,0,D,2.71,3.39,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,85970,2012,Mexico Liga MX,Mexico
103438,2012-07-28 00:30:00,Morelia,Monterrey,1,0,H,1,0,H,2.54,3.41,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,85971,2012,Mexico Liga MX,Mexico
103439,2012-07-28 02:30:00,León,Tijuana,4,0,H,1,0,H,2.09,3.31,4.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,85972,2012,Mexico Liga MX,Mexico
103440,2012-07-28 22:00:00,América,Chiapas,4,2,H,1,1,D,1.79,3.79,4.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,85973,2012,Mexico Liga MX,Mexico
103441,2012-07-29 00:00:00,Tigres UANL,Atlante,2,1,H,0,0,D,1.51,4.3,7.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,85974,2012,Mexico Liga MX,Mexico
103442,2012-07-29 00:00:00,Pachuca,Atlas,0,3,A,0,0,D,2.0,3.46,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,85975,2012,Mexico Liga MX,Mexico
103443,2012-07-29 02:00:00,San Luis,Cruz Azul,1,2,A,0,1,A,3.28,3.2,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,85976,2012,Mexico Liga MX,Mexico
103444,2012-07-29 17:00:00,Pumas UNAM,Querétaro,3,0,H,2,0,H,1.63,3.91,6.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,85977,2012,Mexico Liga MX,Mexico
103445,2012-07-29 17:00:00,Puebla,Toluca,1,3,A,1,2,A,2.62,3.42,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,85978,2012,Mexico Liga MX,Mexico
