fixture_id,league,season,date,home_team,away_team,score_home,score_away,home_goals_1st_half,home_goals_2nd_half,away_goals_1st_half,away_goals_2nd_half
864095,mexique,2022,2022-07-02T02:05:00+00:00,Mazatlán,Puebla,2,4,0,2,2,2
864096,mexique,2022,2022-07-02T22:00:00+00:00,Guadalajara Chivas,FC Juarez,0,0,0,0,0,0
864094,mexique,2022,2022-07-02T22:00:00+00:00,Necaxa,Toluca,1,3,1,0,2,1
864097,mexique,2022,2022-07-03T00:05:00+00:00,Tigres UANL,Cruz Azul,2,3,0,2,1,2
864098,mexique,2022,2022-07-03T02:05:00+00:00,Club America,Atlas,0,0,0,0,0,0
864099,mexique,2022,2022-07-03T17:00:00+00:00,U.N.A.M. - Pumas,Club Tijuana,1,1,0,1,1,0
864100,mexique,2022,2022-07-03T22:00:00+00:00,Atletico San Luis,Leon,1,2,0,1,1,1
864101,mexique,2022,2022-07-04T00:05:00+00:00,Santos Laguna,Monterrey,4,3,2,2,2,1
864102,mexique,2022,2022-07-05T02:00:00+00:00,Pachuca,Club Queretaro,2,0,1,1,0,0
864103,mexique,2022,2022-07-09T00:00:00+00:00,Mazatlán,Tigres UANL,0,1,0,0,1,0
864105,mexique,2022,2022-07-09T02:05:00+00:00,Club Tijuana,FC Juarez,0,2,0,0,0,2
864104,mexique,2022,2022-07-09T02:05:00+00:00,Puebla,Santos Laguna,1,0,1,0,0,0
864111,mexique,2022,2022-07-10T00:00:00+00:00,Leon,U.N.A.M. - Pumas,3,3,0,3,2,1
864106,mexique,2022,2022-07-10T00:05:00+00:00,Guadalajara Chivas,Atletico San Luis,0,1,0,0,1,0
864108,mexique,2022,2022-07-10T02:05:00+00:00,Monterrey,Club America,3,2,1,2,2,0
864107,mexique,2022,2022-07-10T02:05:00+00:00,Cruz Azul,Pachuca,1,2,0,1,2,0
864109,mexique,2022,2022-07-10T17:00:00+00:00,Toluca,Atlas,3,2,3,0,1,1
864110,mexique,2022,2022-07-10T22:00:00+00:00,Club Queretaro,Necaxa,1,2,1,0,1,1
864112,mexique,2022,2022-07-14T02:00:00+00:00,Club America,Toluca,1,0,0,1,0,0
864113,mexique,2022,2022-07-16T00:00:00+00:00,Puebla,Leon,1,1,1,0,0,1
864114,mexique,2022,2022-07-16T02:05:00+00:00,FC Juarez,Club Queretaro,1,1,1,0,1,0
864115,mexique,2022,2022-07-16T22:00:00+00:00,Atlas,Cruz Azul,3,2,1,2,1,1
864116,mexique,2022,2022-07-17T00:05:00+00:00,Santos Laguna,Guadalajara Chivas,1,1,0,1,0,1
864117,mexique,2022,2022-07-17T17:00:00+00:00,U.N.A.M. - Pumas,Necaxa,1,0,1,0,0,0
864118,mexique,2022,2022-07-17T22:00:00+00:00,Atletico San Luis,Monterrey,0,1,0,0,0,1
864119,mexique,2022,2022-07-18T00:00:00+00:00,Tigres UANL,Club Tijuana,1,0,0,1,0,0
864120,mexique,2022,2022-07-19T00:00:00+00:00,Pachuca,Mazatlán,1,1,0,1,0,1
864121,mexique,2022,2022-07-21T02:05:00+00:00,Guadalajara Chivas,Leon,0,0,0,0,0,0
864122,mexique,2022,2022-07-22T02:00:00+00:00,Club Queretaro,Monterrey,0,3,0,0,1,2
864123,mexique,2022,2022-07-23T00:00:00+00:00,Mazatlán,Atletico San Luis,1,1,1,0,1,0
864124,mexique,2022,2022-07-23T02:05:00+00:00,Necaxa,FC Juarez,1,0,1,0,0,0
864125,mexique,2022,2022-07-23T22:00:00+00:00,Toluca,Santos Laguna,2,1,2,0,0,1
864126,mexique,2022,2022-07-24T00:05:00+00:00,Cruz Azul,Puebla,2,2,2,0,2,0
864128,mexique,2022,2022-07-24T01:00:00+00:00,Club Tijuana,Club America,2,0,1,1,0,0
864127,mexique,2022,2022-07-24T02:05:00+00:00,Tigres UANL,Atlas,2,0,2,0,0,0
864129,mexique,2022,2022-07-25T00:00:00+00:00,Pachuca,U.N.A.M. - Pumas,0,0,0,0,0,0
864131,mexique,2022,2022-07-27T00:00:00+00:00,Monterrey,Puebla,1,0,1,0,0,0
864130,mexique,2022,2022-07-27T00:00:00+00:00,Atlas,Club Tijuana,1,2,1,0,2,0
864132,mexique,2022,2022-07-27T00:00:00+00:00,FC Juarez,Tigres UANL,0,1,0,0,1,0
864134,mexique,2022,2022-07-27T02:05:00+00:00,Leon,Toluca,0,1,0,0,0,1
864133,mexique,2022,2022-07-27T02:05:00+00:00,Atletico San Luis,Cruz Azul,0,0,0,0,0,0
864136,mexique,2022,2022-07-28T00:00:00+00:00,Necaxa,Pachuca,2,0,1,1,0,0
864135,mexique,2022,2022-07-28T00:00:00+00:00,Club Queretaro,Guadalajara Chivas,2,2,1,1,1,1
864137,mexique,2022,2022-07-28T02:05:00+00:00,U.N.A.M. - Pumas,Mazatlán,1,1,0,1,0,1
864139,mexique,2022,2022-07-30T02:05:00+00:00,FC Juarez,Toluca,1,1,0,1,0,1
864140,mexique,2022,2022-07-30T22:00:00+00:00,Cruz Azul,Necaxa,1,0,1,0,0,0
864141,mexique,2022,2022-07-31T00:05:00+00:00,Tigres UANL,Club Queretaro,2,1,1,1,1,0
864142,mexique,2022,2022-07-31T02:05:00+00:00,Guadalajara Chivas,Pachuca,0,0,0,0,0,0
864144,mexique,2022,2022-07-31T02:05:00+00:00,Club Tijuana,Mazatlán,2,0,0,2,0,0
864143,mexique,2022,2022-07-31T02:05:00+00:00,Puebla,Atletico San Luis,0,0,0,0,0,0
864145,mexique,2022,2022-07-31T17:00:00+00:00,U.N.A.M. - Pumas,Monterrey,1,1,1,0,1,0
864146,mexique,2022,2022-08-01T00:05:00+00:00,Santos Laguna,Atlas,1,0,0,1,0,0
864147,mexique,2022,2022-08-01T02:05:00+00:00,Leon,Club America,3,2,1,2,1,1
864229,mexique,2022,2022-08-03T01:00:00+00:00,Toluca,Puebla,1,1,0,1,1,0
864230,mexique,2022,2022-08-04T00:00:00+00:00,FC Juarez,Atletico San Luis,1,1,0,1,1,0
864148,mexique,2022,2022-08-05T02:00:00+00:00,Atlas,Club Queretaro,3,1,0,3,1,0
864150,mexique,2022,2022-08-06T02:05:00+00:00,Mazatlán,Guadalajara Chivas,2,1,0,2,0,1
864151,mexique,2022,2022-08-07T00:05:00+00:00,Monterrey,Leon,5,1,3,2,0,1
864153,mexique,2022,2022-08-07T02:05:00+00:00,Santos Laguna,Cruz Azul,4,0,1,3,0,0
864154,mexique,2022,2022-08-07T17:00:00+00:00,Toluca,Club Tijuana,3,1,1,2,1,0
864155,mexique,2022,2022-08-07T21:00:00+00:00,Atletico San Luis,Necaxa,1,2,1,0,2,0
864156,mexique,2022,2022-08-07T23:05:00+00:00,Pachuca,Tigres UANL,2,0,1,1,0,0
864152,mexique,2022,2022-08-08T01:05:00+00:00,Club America,FC Juarez,2,1,0,2,0,1
864157,mexique,2022,2022-08-12T02:00:00+00:00,Club Queretaro,Atletico San Luis,1,1,0,1,0,1
864158,mexique,2022,2022-08-13T02:00:00+00:00,Necaxa,Monterrey,1,2,1,0,0,2
864159,mexique,2022,2022-08-13T02:05:00+00:00,Club Tijuana,Puebla,3,3,1,2,1,2
864161,mexique,2022,2022-08-13T22:00:00+00:00,Leon,Mazatlán,0,3,0,0,3,0
864162,mexique,2022,2022-08-14T00:05:00+00:00,U.N.A.M. - Pumas,Club America,0,3,0,0,1,2
864163,mexique,2022,2022-08-14T02:05:00+00:00,Guadalajara Chivas,Atlas,1,1,0,1,0,1
864164,mexique,2022,2022-08-14T22:00:00+00:00,Cruz Azul,Toluca,2,3,1,1,2,1
864165,mexique,2022,2022-08-15T00:05:00+00:00,Tigres UANL,Santos Laguna,2,0,1,1,0,0
864166,mexique,2022,2022-08-17T00:00:00+00:00,Atlas,FC Juarez,0,1,0,0,0,1
864167,mexique,2022,2022-08-17T01:00:00+00:00,Mazatlán,Club Queretaro,1,1,0,1,0,1
864168,mexique,2022,2022-08-17T02:05:00+00:00,Puebla,Necaxa,2,2,1,1,0,2
864169,mexique,2022,2022-08-18T00:00:00+00:00,Toluca,Monterrey,1,1,1,0,0,1
864171,mexique,2022,2022-08-18T02:05:00+00:00,Pachuca,Club America,0,3,0,0,1,2
864170,mexique,2022,2022-08-18T02:05:00+00:00,Cruz Azul,Club Tijuana,1,2,1,0,1,1
864172,mexique,2022,2022-08-19T00:05:00+00:00,Santos Laguna,Leon,2,1,1,1,1,0
864173,mexique,2022,2022-08-19T02:05:00+00:00,Atletico San Luis,U.N.A.M. - Pumas,3,2,1,2,2,0
864175,mexique,2022,2022-08-20T00:00:00+00:00,Necaxa,Guadalajara Chivas,0,4,0,0,2,2
864177,mexique,2022,2022-08-20T22:00:00+00:00,Club Queretaro,Club Tijuana,2,0,1,1,0,0
864179,mexique,2022,2022-08-21T00:05:00+00:00,Monterrey,Tigres UANL,0,0,0,0,0,0
864178,mexique,2022,2022-08-21T00:05:00+00:00,Atlas,Puebla,1,1,1,0,1,0
864180,mexique,2022,2022-08-21T02:05:00+00:00,Club America,Cruz Azul,7,0,3,4,0,0
864176,mexique,2022,2022-08-21T02:05:00+00:00,FC Juarez,Mazatlán,1,1,0,1,1,0
864181,mexique,2022,2022-08-21T17:00:00+00:00,U.N.A.M. - Pumas,Santos Laguna,1,5,0,1,3,2
864182,mexique,2022,2022-08-21T22:00:00+00:00,Atletico San Luis,Toluca,1,0,1,0,0,0
864183,mexique,2022,2022-08-22T00:05:00+00:00,Pachuca,Leon,1,0,0,1,0,0
864231,mexique,2022,2022-08-24T00:05:00+00:00,Guadalajara Chivas,Monterrey,1,0,0,1,0,0
864232,mexique,2022,2022-08-24T02:05:00+00:00,Club Queretaro,Club America,0,1,0,0,0,1
864234,mexique,2022,2022-08-25T02:05:00+00:00,U.N.A.M. - Pumas,Tigres UANL,1,1,0,1,0,1
864235,mexique,2022,2022-08-26T00:05:00+00:00,Pachuca,Atlas,3,1,0,3,0,1
864236,mexique,2022,2022-08-26T02:05:00+00:00,Club Tijuana,Santos Laguna,0,2,0,0,0,2
864184,mexique,2022,2022-08-27T00:00:00+00:00,Puebla,FC Juarez,2,2,1,1,1,1
864185,mexique,2022,2022-08-27T02:05:00+00:00,Mazatlán,Club America,1,3,1,0,2,1
864186,mexique,2022,2022-08-27T22:00:00+00:00,Cruz Azul,Club Queretaro,2,1,1,1,0,1
864187,mexique,2022,2022-08-28T00:05:00+00:00,Tigres UANL,Necaxa,0,0,0,0,0,0
864188,mexique,2022,2022-08-28T02:05:00+00:00,Guadalajara Chivas,U.N.A.M. - Pumas,3,1,3,0,1,0
864189,mexique,2022,2022-08-28T17:00:00+00:00,Toluca,Pachuca,1,4,0,1,2,2
864191,mexique,2022,2022-08-29T00:00:00+00:00,Leon,Atlas,4,2,1,3,1,1
864190,mexique,2022,2022-08-29T00:05:00+00:00,Santos Laguna,Atletico San Luis,4,1,1,3,0,1
864192,mexique,2022,2022-08-29T02:05:00+00:00,Club Tijuana,Monterrey,0,3,0,0,0,3
864193,mexique,2022,2022-09-02T00:00:00+00:00,Atletico San Luis,Club Tijuana,0,0,0,0,0,0
864194,mexique,2022,2022-09-02T02:05:00+00:00,Club Queretaro,Puebla,1,1,1,0,0,1
864195,mexique,2022,2022-09-03T00:00:00+00:00,Necaxa,Leon,3,2,3,0,0,2
864196,mexique,2022,2022-09-03T02:05:00+00:00,FC Juarez,Cruz Azul,2,2,0,2,2,0
864197,mexique,2022,2022-09-03T22:05:00+00:00,Pachuca,Santos Laguna,2,0,0,2,0,0
864198,mexique,2022,2022-09-04T00:05:00+00:00,Monterrey,Mazatlán,0,0,0,0,0,0
864199,mexique,2022,2022-09-04T00:05:00+00:00,Atlas,U.N.A.M. - Pumas,0,0,0,0,0,0
864200,mexique,2022,2022-09-04T02:05:00+00:00,Club America,Tigres UANL,2,1,2,0,1,0
864201,mexique,2022,2022-09-04T22:00:00+00:00,Toluca,Guadalajara Chivas,0,0,0,0,0,0
864202,mexique,2022,2022-09-07T00:00:00+00:00,Leon,FC Juarez,1,0,0,1,0,0
864203,mexique,2022,2022-09-07T00:05:00+00:00,Santos Laguna,Necaxa,3,1,1,2,0,1
864204,mexique,2022,2022-09-07T02:05:00+00:00,Monterrey,Cruz Azul,3,2,2,1,1,1
864205,mexique,2022,2022-09-07T02:05:00+00:00,Club America,Atletico San Luis,3,0,1,2,0,0
864207,mexique,2022,2022-09-08T00:00:00+00:00,Tigres UANL,Toluca,3,1,1,2,0,1
864206,mexique,2022,2022-09-08T00:00:00+00:00,Puebla,Pachuca,2,2,1,1,0,2
864210,mexique,2022,2022-09-08T02:00:00+00:00,Mazatlán,Atlas,1,0,1,0,0,0
864209,mexique,2022,2022-09-08T02:05:00+00:00,Club Tijuana,Guadalajara Chivas,1,2,0,1,0,2
864208,mexique,2022,2022-09-08T02:05:00+00:00,U.N.A.M. - Pumas,Club Queretaro,4,1,1,3,1,0
864212,mexique,2022,2022-09-10T02:05:00+00:00,FC Juarez,Monterrey,0,1,0,0,0,1
864213,mexique,2022,2022-09-10T22:00:00+00:00,Club Queretaro,Santos Laguna,3,3,2,1,1,2
864211,mexique,2022,2022-09-11T00:00:00+00:00,Necaxa,Club America,1,2,1,0,0,2
864214,mexique,2022,2022-09-11T00:05:00+00:00,Tigres UANL,Leon,0,1,0,0,1,0
864216,mexique,2022,2022-09-11T02:05:00+00:00,Guadalajara Chivas,Puebla,1,0,0,1,0,0
864215,mexique,2022,2022-09-11T02:05:00+00:00,Toluca,U.N.A.M. - Pumas,2,2,0,2,1,1
864217,mexique,2022,2022-09-11T21:00:00+00:00,Cruz Azul,Mazatlán,2,0,2,0,0,0
864218,mexique,2022,2022-09-11T23:05:00+00:00,Atlas,Atletico San Luis,1,3,1,0,0,3
864219,mexique,2022,2022-09-12T01:05:00+00:00,Pachuca,Club Tijuana,6,1,2,4,0,1
864174,mexique,2022,2022-09-14T02:05:00+00:00,Guadalajara Chivas,Tigres UANL,1,4,0,1,2,2
864138,mexique,2022,2022-09-15T02:05:00+00:00,Club America,Santos Laguna,3,3,1,2,2,1
864160,mexique,2022,2022-09-15T02:05:00+00:00,FC Juarez,Pachuca,2,1,2,0,1,0
864233,mexique,2022,2022-09-16T00:00:00+00:00,Cruz Azul,Leon,2,1,0,2,0,1
864220,mexique,2022,2022-09-17T00:00:00+00:00,Puebla,Tigres UANL,2,1,2,0,1,0
864221,mexique,2022,2022-09-17T02:00:00+00:00,Mazatlán,Toluca,1,1,1,0,0,1
864223,mexique,2022,2022-09-18T00:05:00+00:00,Monterrey,Atlas,2,0,0,2,0,0
864224,mexique,2022,2022-09-18T01:00:00+00:00,Club America,Guadalajara Chivas,2,1,1,1,0,1
864225,mexique,2022,2022-09-18T22:00:00+00:00,U.N.A.M. - Pumas,Cruz Azul,1,2,0,1,2,0
864226,mexique,2022,2022-09-19T00:05:00+00:00,Santos Laguna,FC Juarez,2,0,1,1,0,0
864227,mexique,2022,2022-09-19T00:05:00+00:00,Leon,Club Queretaro,3,1,2,1,1,0
864222,mexique,2022,2022-09-19T02:00:00+00:00,Atletico San Luis,Pachuca,1,2,1,0,1,1
864228,mexique,2022,2022-09-19T02:05:00+00:00,Club Tijuana,Necaxa,1,1,1,0,1,0
864237,mexique,2022,2022-09-24T00:00:00+00:00,Necaxa,Mazatlán,2,2,1,1,2,0
864149,mexique,2022,2022-09-24T02:05:00+00:00,Puebla,U.N.A.M. - Pumas,2,1,2,0,0,1
864238,mexique,2022,2022-10-01T00:00:00+00:00,Puebla,Club America,1,2,0,1,1,1
864239,mexique,2022,2022-10-01T02:00:00+00:00,FC Juarez,U.N.A.M. - Pumas,3,1,2,1,1,0
