league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
mexique,2025,2025-07-12,Puebla,Atlas,2,3,1,1,A
mexique,2025,2025-07-12,FC Juarez,Club America,1,1,0,1,D
mexique,2025,2025-07-12,Club Tijuana,Club Queretaro,1,0,1,0,H
mexique,2025,2025-07-13,Toluca,Necaxa,3,1,2,1,H
mexique,2025,2025-07-13,Santos Laguna,U.N.A.M. - Pumas,3,0,1,0,H
mexique,2025,2025-07-13,Cruz Azul,Mazatlán,0,0,0,0,D
mexique,2025,2025-07-13,Pachuca,Monterrey,3,0,0,0,H
mexique,2025,2025-07-14,Leon,Atletico San Luis,0,1,0,0,A
mexique,2025,2025-07-17,Club America,Club Tijuana,3,1,1,0,H
mexique,2025,2025-07-17,Santos Laguna,Toluca,2,4,2,1,A
mexique,2025,2025-07-19,Necaxa,Club Queretaro,3,1,2,1,H
mexique,2025,2025-07-19,Atletico San Luis,Monterrey,0,1,0,1,A
mexique,2025,2025-07-19,Mazatlán,Puebla,2,1,2,0,H
mexique,2025,2025-07-20,Tigres UANL,FC Juarez,1,0,0,0,H
mexique,2025,2025-07-20,Leon,Guadalajara Chivas,1,0,0,0,H
mexique,2025,2025-07-20,Atlas,Cruz Azul,3,3,2,0,D
mexique,2025,2025-07-20,U.N.A.M. - Pumas,Pachuca,2,3,2,2,A
mexique,2025,2025-07-26,Club Queretaro,U.N.A.M. - Pumas,0,2,0,1,A
mexique,2025,2025-07-26,Puebla,Santos Laguna,1,0,0,0,H
mexique,2025,2025-07-26,Club Tijuana,FC Juarez,1,1,0,0,D
mexique,2025,2025-07-26,Pachuca,Mazatlán,1,0,0,0,H
mexique,2025,2025-07-26,Guadalajara Chivas,Atletico San Luis,4,3,2,0,H
mexique,2025,2025-07-27,Toluca,Tigres UANL,3,4,1,3,A
mexique,2025,2025-07-27,Monterrey,Atlas,3,1,1,1,H
mexique,2025,2025-07-27,Cruz Azul,Leon,4,1,0,0,H
mexique,2025,2025-07-27,Necaxa,Club America,1,1,1,1,D
mexique,2025,2025-08-09,Tigres UANL,Puebla,7,0,2,0,H
mexique,2025,2025-08-10,Club America,Club Queretaro,1,0,1,0,H
mexique,2025,2025-08-10,Mazatlán,Club Tijuana,2,2,0,1,D
mexique,2025,2025-08-10,Atlas,Pachuca,0,3,0,3,A
mexique,2025,2025-08-11,U.N.A.M. - Pumas,Necaxa,1,1,0,0,D
mexique,2025,2025-08-11,Santos Laguna,Guadalajara Chivas,1,0,1,0,H
mexique,2025,2025-08-12,Leon,Monterrey,1,3,0,2,A
mexique,2025,2025-08-12,FC Juarez,Toluca,0,2,0,1,A
mexique,2025,2025-08-12,Atletico San Luis,Cruz Azul,1,2,0,0,A
mexique,2025,2025-08-16,Puebla,Atletico San Luis,0,2,0,1,A
mexique,2025,2025-08-16,Necaxa,Leon,0,1,0,1,A
mexique,2025,2025-08-16,Guadalajara Chivas,FC Juarez,1,2,0,1,A
mexique,2025,2025-08-17,Tigres UANL,Club America,1,3,1,1,A
mexique,2025,2025-08-17,Pachuca,Club Tijuana,0,2,0,2,A
mexique,2025,2025-08-17,Cruz Azul,Santos Laguna,3,2,2,1,H
mexique,2025,2025-08-17,Toluca,U.N.A.M. - Pumas,1,1,0,1,D
mexique,2025,2025-08-17,Club Queretaro,Atlas,3,3,0,1,D
mexique,2025,2025-08-18,Monterrey,Mazatlán,3,2,3,1,H
mexique,2025,2025-08-23,Club Queretaro,Atletico San Luis,3,2,1,1,H
mexique,2025,2025-08-23,FC Juarez,Santos Laguna,2,1,0,1,H
mexique,2025,2025-08-23,Club Tijuana,Guadalajara Chivas,3,3,1,0,D
mexique,2025,2025-08-23,Leon,Pachuca,1,1,1,1,D
mexique,2025,2025-08-24,Monterrey,Necaxa,3,0,2,0,H
mexique,2025,2025-08-24,Mazatlán,Tigres UANL,2,2,1,1,D
mexique,2025,2025-08-24,Cruz Azul,Toluca,1,0,0,0,H
mexique,2025,2025-08-24,U.N.A.M. - Pumas,Puebla,0,0,0,0,D
mexique,2025,2025-08-25,Atlas,Club America,2,4,1,1,A
mexique,2025,2025-08-30,FC Juarez,Mazatlán,1,0,1,0,H
mexique,2025,2025-08-30,Atletico San Luis,Toluca,1,3,0,2,A
mexique,2025,2025-08-30,Puebla,Monterrey,2,4,1,2,A
mexique,2025,2025-08-30,Leon,Club Queretaro,3,0,1,0,H
mexique,2025,2025-08-31,Santos Laguna,Tigres UANL,0,1,0,0,A
mexique,2025,2025-08-31,Guadalajara Chivas,Cruz Azul,1,2,1,2,A
mexique,2025,2025-08-31,Club America,Pachuca,2,0,1,0,H
mexique,2025,2025-08-31,U.N.A.M. - Pumas,Atlas,1,0,0,0,H
mexique,2025,2025-09-01,Club Tijuana,Necaxa,3,0,1,0,H
mexique,2025,2025-09-13,Necaxa,FC Juarez,1,1,0,1,D
mexique,2025,2025-09-13,Mazatlán,U.N.A.M. - Pumas,1,4,1,2,A
mexique,2025,2025-09-13,Pachuca,Cruz Azul,0,1,0,0,A
mexique,2025,2025-09-14,Tigres UANL,Leon,0,0,0,0,D
mexique,2025,2025-09-14,Atlas,Santos Laguna,2,2,2,1,D
mexique,2025,2025-09-14,Toluca,Puebla,3,1,1,0,H
mexique,2025,2025-09-14,Club America,Guadalajara Chivas,1,2,0,0,A
mexique,2025,2025-09-14,Club Queretaro,Monterrey,0,1,0,1,A
mexique,2025,2025-09-15,Atletico San Luis,Club Tijuana,1,1,1,0,D
mexique,2025,2025-09-18,Guadalajara Chivas,Tigres UANL,0,0,0,0,D
mexique,2025,2025-09-20,Necaxa,Puebla,1,0,1,0,H
mexique,2025,2025-09-20,Cruz Azul,FC Juarez,3,2,3,2,H
mexique,2025,2025-09-20,Mazatlán,Atlas,1,1,0,0,D
