,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
6621,2024-08-09,Sporting CP,Rio Ave,3,1,2,1,H
6622,2024-08-10,AVS,Nacional,1,1,0,1,D
6623,2024-08-10,Casa Pia,Boavista,0,1,0,0,A
6624,2024-08-10,FC Porto,GIL Vicente,3,0,1,2,H
6625,2024-08-11,Estoril,Santa Clara,1,4,1,0,A
6626,2024-08-11,Farense,Moreirense,1,2,0,1,A
6627,2024-08-11,Famalicao,Benfica,2,0,1,1,H
6628,2024-08-11,SC Braga,Estrela,1,1,0,1,D
6629,2024-08-12,Arouca,Guimaraes,0,1,0,0,A
6630,2024-08-16,Santa Clara,FC Porto,0,2,0,0,A
6631,2024-08-16,GIL Vicente,AVS,4,2,2,2,H
6632,2024-08-17,Rio Ave,Farense,1,0,1,0,H
6633,2024-08-17,Nacional,Sporting CP,1,6,1,0,A
6634,2024-08-17,Benfica,Casa Pia,3,0,0,3,H
6635,2024-08-18,Moreirense,Arouca,3,1,2,1,H
6636,2024-08-18,Guimaraes,Estoril,1,0,1,0,H
6637,2024-08-18,Boavista,SC Braga,0,1,0,0,A
6638,2024-08-19,Estrela,Famalicao,0,3,0,0,A
6639,2024-08-23,Farense,Sporting CP,0,5,0,0,A
6640,2024-08-24,Casa Pia,Santa Clara,0,2,0,0,A
6641,2024-08-24,FC Porto,Rio Ave,2,0,2,0,H
6642,2024-08-24,Benfica,Estrela,1,0,1,0,H
6643,2024-08-24,Famalicao,Boavista,1,0,1,0,H
6644,2024-08-25,Arouca,Nacional,1,0,1,0,H
6645,2024-08-25,Estoril,GIL Vicente,0,0,0,0,D
6646,2024-08-25,SC Braga,Moreirense,3,1,1,2,H
6647,2024-08-25,AVS,Guimaraes,1,0,0,1,H
6648,2024-08-30,Moreirense,Benfica,1,1,0,1,D
6649,2024-08-31,Santa Clara,AVS,2,1,1,1,H
6650,2024-08-31,Boavista,Estoril,0,0,0,0,D
6651,2024-08-31,Estrela,Casa Pia,0,1,0,0,A
6652,2024-08-31,Sporting CP,FC Porto,2,0,0,2,H
6653,2024-09-01,Nacional,Farense,2,0,1,1,H
6654,2024-09-01,Rio Ave,Arouca,1,0,1,0,H
6655,2024-09-01,Guimaraes,Famalicao,2,1,1,1,H
6656,2024-09-01,GIL Vicente,SC Braga,0,0,0,0,D
6657,2024-09-13,Arouca,Sporting CP,0,3,0,0,A
6658,2024-09-14,Casa Pia,Moreirense,3,1,0,3,H
6659,2024-09-14,AVS,Rio Ave,1,0,0,1,H
6660,2024-09-14,Benfica,Santa Clara,4,1,2,2,H
6661,2024-09-14,Famalicao,GIL Vicente,1,1,1,0,D
6662,2024-09-15,FC Porto,Farense,2,1,0,2,H
6663,2024-09-15,Estoril,Nacional,1,0,1,0,H
6664,2024-09-15,SC Braga,Guimaraes,0,2,0,0,A
6665,2024-09-16,Estrela,Boavista,2,2,1,1,D
6666,2024-09-20,Nacional,SC Braga,0,3,0,0,A
6667,2024-09-21,Rio Ave,Estoril,2,2,1,1,D
6668,2024-09-21,Santa Clara,Estrela,1,0,0,1,H
6669,2024-09-21,Guimaraes,FC Porto,0,3,0,0,A
6670,2024-09-21,Moreirense,Famalicao,0,0,0,0,D
6671,2024-09-22,GIL Vicente,Casa Pia,1,1,1,0,D
6672,2024-09-22,Farense,Arouca,0,1,0,0,A
6673,2024-09-22,Sporting CP,AVS,3,0,2,1,H
