,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HTR
56,2024-07-20,Lokomotiv,Akron,3,2,2,1,H,1
57,2024-07-20,Krylia Sovetov,Zenit,0,4,0,0,A,0
58,2024-07-20,FC Rostov,CSKA Moscow,0,0,0,0,D,0
59,2024-07-20,Dynamo,Fakel,3,1,3,0,H,1
60,2024-07-21,FC Orenburg,Spartak Moscow,2,0,0,2,H,2
61,2024-07-21,Akhmat,FC Krasnodar,1,1,1,0,D,1
62,2024-07-21,Khimki,Makhachkala,1,1,0,1,D,2
63,2024-07-22,Nizhny Novgorod,Rubin,2,4,1,1,A,0
64,2024-07-26,Krylia Sovetov,FC Rostov,1,3,0,1,A,2
65,2024-07-27,Nizhny Novgorod,CSKA Moscow,0,3,0,0,A,0
66,2024-07-27,Rubin,Zenit,0,4,0,0,A,0
67,2024-07-27,Dynamo,Lokomotiv,3,1,1,2,H,2
68,2024-07-27,Fakel,Akron,0,2,0,0,A,0
69,2024-07-28,Khimki,Spartak Moscow,1,3,0,1,A,2
70,2024-07-28,FC Orenburg,Akhmat,0,0,0,0,D,0
71,2024-07-28,FC Krasnodar,Makhachkala,0,0,0,0,D,0
72,2024-08-03,Akron,Dynamo,0,2,0,0,A,0
73,2024-08-03,Zenit,FC Rostov,5,0,4,1,H,1
74,2024-08-03,Rubin,Khimki,2,3,1,1,A,0
75,2024-08-04,CSKA Moscow,FC Orenburg,5,1,3,2,H,1
76,2024-08-04,Fakel,FC Krasnodar,0,0,0,0,D,0
77,2024-08-04,Akhmat,Lokomotiv,0,5,0,0,A,0
78,2024-08-04,Makhachkala,Nizhny Novgorod,0,1,0,0,A,0
79,2024-08-05,Spartak Moscow,Krylia Sovetov,3,0,2,1,H,1
80,2024-08-09,Nizhny Novgorod,Khimki,1,0,1,0,H,1
81,2024-08-09,FC Rostov,Rubin,1,1,1,0,D,1
82,2024-08-10,Lokomotiv,Makhachkala,2,0,1,1,H,0
83,2024-08-10,Zenit,Dynamo,1,0,0,1,H,2
84,2024-08-10,FC Orenburg,Akron,2,2,0,2,D,2
85,2024-08-10,FC Krasnodar,CSKA Moscow,2,1,1,1,H,0
86,2024-08-11,Krylia Sovetov,Fakel,2,0,0,2,H,2
87,2024-08-11,Spartak Moscow,Akhmat,0,0,0,0,D,0
88,2024-08-17,Dynamo,Krylia Sovetov,1,0,0,1,H,2
89,2024-08-17,FC Rostov,FC Orenburg,3,2,0,3,H,2
90,2024-08-18,Khimki,Zenit,1,1,0,1,D,2
91,2024-08-18,CSKA Moscow,Lokomotiv,0,1,0,0,A,0
92,2024-08-18,Spartak Moscow,Fakel,3,0,2,1,H,1
93,2024-08-18,FC Krasnodar,Nizhny Novgorod,2,1,0,2,H,2
94,2024-08-19,Akron,Rubin,1,2,1,0,A,1
95,2024-08-19,Makhachkala,Akhmat,1,0,0,1,H,2
96,2024-08-23,Rubin,Makhachkala,2,0,1,1,H,0
97,2024-08-24,CSKA Moscow,Akron,4,0,0,4,H,2
98,2024-08-24,Zenit,Spartak Moscow,0,0,0,0,D,0
99,2024-08-24,Fakel,FC Orenburg,1,0,0,1,H,2
100,2024-08-24,Akhmat,Khimki,3,3,0,3,D,2
101,2024-08-25,Krylia Sovetov,Nizhny Novgorod,3,1,0,3,H,2
102,2024-08-25,Dynamo,FC Krasnodar,0,1,0,0,A,0
103,2024-08-25,Lokomotiv,FC Rostov,3,2,2,1,H,1
104,2024-08-31,Khimki,CSKA Moscow,0,2,0,0,A,0
105,2024-08-31,Nizhny Novgorod,Zenit,0,3,0,0,A,0
106,2024-08-31,Spartak Moscow,Rubin,1,0,0,1,H,2
107,2024-08-31,Akhmat,Akron,0,0,0,0,D,0
108,2024-09-01,FC Orenburg,Dynamo,2,2,1,1,D,0
109,2024-09-01,Krylia Sovetov,Makhachkala,0,1,0,0,A,0
110,2024-09-01,Lokomotiv,FC Krasnodar,0,3,0,0,A,0
111,2024-09-01,FC Rostov,Fakel,4,1,2,2,H,0
112,2024-09-13,Rubin,Krylia Sovetov,0,2,0,0,A,0
113,2024-09-14,FC Orenburg,Lokomotiv,2,4,1,1,A,0
114,2024-09-14,Fakel,Nizhny Novgorod,0,0,0,0,D,0
115,2024-09-14,CSKA Moscow,Zenit,0,1,0,0,A,0
116,2024-09-14,FC Krasnodar,FC Rostov,2,0,1,1,H,0
117,2024-09-15,Dynamo,Akhmat,4,2,1,3,H,2
118,2024-09-15,Akron,Khimki,3,0,2,1,H,1
119,2024-09-15,Makhachkala,Spartak Moscow,1,1,1,0,D,1
120,2024-09-21,Akron,FC Krasnodar,2,5,0,2,A,2
121,2024-09-21,Zenit,Fakel,3,1,0,3,H,2
122,2024-09-21,Rubin,CSKA Moscow,1,1,0,1,D,2
123,2024-09-22,Khimki,FC Orenburg,0,0,0,0,D,0
124,2024-09-22,Spartak Moscow,Dynamo,2,2,2,0,D,1
125,2024-09-22,FC Rostov,Makhachkala,0,0,0,0,D,0
126,2024-09-22,Nizhny Novgorod,Lokomotiv,1,3,1,0,A,1
127,2024-09-23,Akhmat,Krylia Sovetov,1,1,0,1,D,2
128,2024-09-27,FC Orenburg,Nizhny Novgorod,1,2,0,1,A,2
129,2024-09-27,Fakel,Rubin,0,0,0,0,D,0
130,2024-09-28,CSKA Moscow,Akhmat,3,0,2,1,H,1
131,2024-09-28,Lokomotiv,Spartak Moscow,3,1,2,1,H,1
132,2024-09-28,FC Krasnodar,Zenit,2,0,0,2,H,2
133,2024-09-28,FC Rostov,Akron,0,2,0,0,A,0
134,2024-09-29,Krylia Sovetov,Khimki,0,0,0,0,D,0
135,2024-09-29,Makhachkala,Dynamo,0,1,0,0,A,0
136,2024-10-05,Akron,Nizhny Novgorod,2,2,1,1,D,0
137,2024-10-05,Zenit,FC Orenburg,1,0,0,1,H,2
138,2024-10-05,Spartak Moscow,FC Rostov,3,0,3,0,H,1
139,2024-10-05,Rubin,Akhmat,2,0,1,1,H,0
140,2024-10-06,Fakel,Makhachkala,1,1,0,1,D,2
141,2024-10-06,Lokomotiv,Krylia Sovetov,1,0,0,1,H,2
142,2024-10-06,FC Krasnodar,Khimki,4,0,1,3,H,2
143,2024-10-06,Dynamo,CSKA Moscow,1,2,0,1,A,2
144,2024-10-18,Akron,Zenit,0,5,0,0,A,0
145,2024-10-18,Akhmat,Fakel,2,3,2,0,A,1
146,2024-10-19,Nizhny Novgorod,FC Rostov,1,1,0,1,D,2
147,2024-10-19,Spartak Moscow,FC Krasnodar,0,3,0,0,A,0
148,2024-10-19,Khimki,Lokomotiv,2,0,0,2,H,2
149,2024-10-19,Makhachkala,CSKA Moscow,0,1,0,0,A,0
150,2024-10-20,FC Orenburg,Krylia Sovetov,2,2,0,2,D,2
151,2024-10-20,Rubin,Dynamo,0,4,0,0,A,0
152,2024-10-26,Makhachkala,Akron,1,1,0,1,D,2
153,2024-10-26,CSKA Moscow,Fakel,0,0,0,0,D,0
154,2024-10-26,FC Rostov,Akhmat,2,3,1,1,A,0
155,2024-10-27,FC Orenburg,Rubin,1,2,1,0,A,1
156,2024-10-27,Nizhny Novgorod,Spartak Moscow,0,2,0,0,A,0
157,2024-10-27,Khimki,Dynamo,3,4,2,1,A,1
158,2024-10-27,Zenit,Lokomotiv,1,1,0,1,D,2
159,2024-10-28,Krylia Sovetov,FC Krasnodar,1,2,0,1,A,2
160,2024-11-01,Dynamo,FC Rostov,1,1,1,0,D,1
161,2024-11-02,Zenit,Makhachkala,2,1,2,0,H,1
162,2024-11-02,Lokomotiv,Rubin,1,0,0,1,H,2
163,2024-11-02,CSKA Moscow,Spartak Moscow,0,2,0,0,A,0
164,2024-11-03,Akron,Krylia Sovetov,2,0,1,1,H,0
165,2024-11-03,Akhmat,Nizhny Novgorod,0,2,0,0,A,0
166,2024-11-03,Fakel,Khimki,1,1,1,0,D,1
167,2024-11-03,FC Krasnodar,FC Orenburg,4,0,1,3,H,2
168,2024-11-09,Lokomotiv,Fakel,2,1,1,1,H,0
169,2024-11-09,Makhachkala,FC Orenburg,2,1,0,2,H,2
170,2024-11-09,FC Rostov,Khimki,3,1,1,2,H,2
