,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
0,2025-07-18,Dynamo,Baltika,1.0,1.0,0.0,1.0,D
1,2025-07-19,Akron,Krylia Sovetov,1.0,1.0,1.0,0.0,D
2,2025-07-19,Lokomotiv,FC Sochi,3.0,0.0,0.0,0.0,H
3,2025-07-19,Spartak Moscow,Makhachkala,1.0,0.0,1.0,0.0,H
4,2025-07-20,Nizhny Novgorod,FC Krasnodar,0.0,3.0,0.0,1.0,A
5,2025-07-20,Zenit,FC Rostov,2.0,1.0,0.0,1.0,H
6,2025-07-20,Akhmat,Rubin,0.0,2.0,0.0,1.0,A
7,2025-07-21,FC Orenburg,CSKA Moscow,0.0,0.0,0.0,0.0,D
8,2025-07-25,Krylia Sovetov,Nizhny Novgorod,2.0,0.0,0.0,0.0,H
9,2025-07-26,Spartak Moscow,Baltika,0.0,3.0,0.0,0.0,A
10,2025-07-26,Dynamo,FC Rostov,1.0,0.0,1.0,0.0,H
11,2025-07-26,FC Krasnodar,Lokomotiv,1.0,2.0,0.0,1.0,A
12,2025-07-26,FC Sochi,Akron,0.0,4.0,0.0,4.0,A
13,2025-07-27,CSKA Moscow,Akhmat,2.0,1.0,2.0,1.0,H
14,2025-07-27,FC Orenburg,Makhachkala,1.0,1.0,0.0,0.0,D
15,2025-07-27,Rubin,Zenit,2.0,2.0,0.0,2.0,D
16,2025-08-02,FC Rostov,Krylia Sovetov,1.0,4.0,0.0,1.0,A
17,2025-08-02,FC Krasnodar,Dynamo,1.0,0.0,0.0,0.0,H
18,2025-08-02,Nizhny Novgorod,Lokomotiv,2.0,3.0,0.0,1.0,A
19,2025-08-03,Akron,Spartak Moscow,1.0,1.0,0.0,0.0,D
20,2025-08-03,Baltika,FC Orenburg,3.0,2.0,1.0,0.0,H
21,2025-08-03,Zenit,CSKA Moscow,1.0,1.0,0.0,1.0,D
22,2025-08-03,Makhachkala,Akhmat,1.0,0.0,1.0,0.0,H
23,2025-08-04,Rubin,FC Sochi,2.0,1.0,1.0,0.0,H
24,2025-08-08,Makhachkala,Akron,1.0,1.0,1.0,0.0,D
25,2025-08-09,Krylia Sovetov,Baltika,1.0,1.0,1.0,0.0,D
26,2025-08-09,CSKA Moscow,Rubin,5.0,1.0,4.0,1.0,H
27,2025-08-09,Lokomotiv,Spartak Moscow,4.0,2.0,1.0,1.0,H
28,2025-08-09,Akhmat,Zenit,1.0,0.0,1.0,0.0,H
29,2025-08-10,FC Orenburg,FC Krasnodar,0.0,1.0,0.0,0.0,A
30,2025-08-10,FC Sochi,Dynamo,1.0,1.0,0.0,1.0,D
31,2025-08-10,FC Rostov,Nizhny Novgorod,1.0,0.0,0.0,0.0,H
32,2025-08-16,Baltika,Lokomotiv,1.0,1.0,1.0,0.0,D
33,2025-08-16,Spartak Moscow,Zenit,2.0,2.0,2.0,1.0,D
34,2025-08-16,Akhmat,Krylia Sovetov,3.0,1.0,1.0,0.0,H
35,2025-08-17,Akron,FC Orenburg,1.0,2.0,1.0,0.0,A
36,2025-08-17,Rubin,FC Rostov,1.0,0.0,0.0,0.0,H
37,2025-08-17,Dynamo,CSKA Moscow,1.0,3.0,0.0,3.0,A
38,2025-08-17,FC Krasnodar,FC Sochi,5.0,1.0,0.0,0.0,H
39,2025-08-18,Nizhny Novgorod,Makhachkala,2.0,0.0,2.0,0.0,H
40,2025-08-22,FC Orenburg,Akhmat,2.0,2.0,2.0,0.0,D
41,2025-08-23,Rubin,Spartak Moscow,0.0,2.0,0.0,0.0,A
42,2025-08-23,Zenit,Makhachkala,4.0,0.0,2.0,0.0,H
43,2025-08-23,Lokomotiv,FC Rostov,3.0,3.0,2.0,0.0,D
44,2025-08-23,Dynamo,Nizhny Novgorod,3.0,0.0,1.0,0.0,H
45,2025-08-24,Krylia Sovetov,FC Krasnodar,0.0,6.0,0.0,3.0,A
46,2025-08-24,CSKA Moscow,Akron,3.0,1.0,2.0,1.0,H
47,2025-08-24,FC Sochi,Baltika,0.0,2.0,0.0,1.0,A
48,2025-08-30,FC Orenburg,Rubin,2.0,2.0,0.0,2.0,D
49,2025-08-30,Zenit,Nizhny Novgorod,2.0,0.0,0.0,0.0,H
50,2025-08-30,Spartak Moscow,FC Sochi,2.0,1.0,1.0,1.0,H
51,2025-08-30,FC Rostov,Akhmat,1.0,1.0,0.0,1.0,D
52,2025-08-31,Akron,Baltika,0.0,2.0,0.0,2.0,A
53,2025-08-31,Lokomotiv,Krylia Sovetov,2.0,2.0,2.0,0.0,D
54,2025-08-31,CSKA Moscow,FC Krasnodar,1.0,1.0,1.0,1.0,D
55,2025-08-31,Makhachkala,Dynamo,1.0,0.0,0.0,0.0,H
