,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG
0,2024-08-17,Genoa,Inter,2,2,D,1,1
1,2024-08-17,Parma,Fiorentina,1,1,D,1,0
2,2024-08-17,AC Milan,Torino,2,2,D,0,2
3,2024-08-17,Empoli,Monza,0,0,D,0,0
4,2024-08-18,Bologna,Udinese,1,1,D,0,1
5,2024-08-18,Verona,Napoli,3,0,H,0,3
6,2024-08-18,Lazio,Venezia,3,1,H,2,1
7,2024-08-18,Cagliari,AS Roma,0,0,D,0,0
8,2024-08-19,Lecce,Atalanta,0,4,A,0,0
9,2024-08-19,Juventus,Como,3,0,H,2,1
10,2024-08-24,Udinese,Lazio,2,1,H,1,1
11,2024-08-24,Parma,AC Milan,2,1,H,1,1
12,2024-08-24,Inter,Lecce,2,0,H,1,1
13,2024-08-24,Monza,Genoa,0,1,A,0,0
14,2024-08-25,Fiorentina,Venezia,0,0,D,0,0
15,2024-08-25,Torino,Atalanta,2,1,H,1,1
16,2024-08-25,Napoli,Bologna,3,0,H,1,2
17,2024-08-25,AS Roma,Empoli,1,2,A,0,1
18,2024-08-26,Cagliari,Como,1,1,D,1,0
19,2024-08-26,Verona,Juventus,0,3,A,0,0
20,2024-08-30,Venezia,Torino,0,1,A,0,0
21,2024-08-30,Inter,Atalanta,4,0,H,2,2
22,2024-08-31,Bologna,Empoli,1,1,D,1,0
23,2024-08-31,Lecce,Cagliari,1,0,H,1,0
24,2024-08-31,Lazio,AC Milan,2,2,D,0,2
25,2024-08-31,Napoli,Parma,2,1,H,0,2
26,2024-09-01,Genoa,Verona,0,2,A,0,0
27,2024-09-01,Fiorentina,Monza,2,2,D,1,1
28,2024-09-01,Udinese,Como,1,0,H,1,0
29,2024-09-01,Juventus,AS Roma,0,0,D,0,0
30,2024-09-14,Como,Bologna,2,2,D,1,1
31,2024-09-14,Empoli,Juventus,0,0,D,0,0
32,2024-09-14,AC Milan,Venezia,4,0,H,4,0
33,2024-09-15,Genoa,AS Roma,1,1,D,0,1
34,2024-09-15,Atalanta,Fiorentina,3,2,H,3,0
35,2024-09-15,Torino,Lecce,0,0,D,0,0
36,2024-09-15,Cagliari,Napoli,0,4,A,0,0
37,2024-09-15,Monza,Inter,1,1,D,0,1
38,2024-09-16,Parma,Udinese,2,3,A,2,0
39,2024-09-16,Lazio,Verona,2,1,H,2,0
40,2024-09-20,Cagliari,Empoli,0,2,A,0,0
41,2024-09-20,Verona,Torino,2,3,A,1,1
42,2024-09-21,Venezia,Genoa,2,0,H,0,2
43,2024-09-21,Juventus,Napoli,0,0,D,0,0
44,2024-09-21,Lecce,Parma,2,2,D,1,1
45,2024-09-22,Fiorentina,Lazio,2,1,H,0,2
46,2024-09-22,Monza,Bologna,1,2,A,1,0
47,2024-09-22,AS Roma,Udinese,3,0,H,1,2
48,2024-09-22,Inter,AC Milan,1,2,A,1,0
49,2024-09-24,Atalanta,Como,2,3,A,1,1
50,2024-09-27,AC Milan,Lecce,3,0,H,3,0
51,2024-09-28,Udinese,Inter,2,3,A,1,1
52,2024-09-28,Genoa,Juventus,0,3,A,0,0
53,2024-09-28,Bologna,Atalanta,1,1,D,0,1
54,2024-09-29,Torino,Lazio,2,3,A,0,2
55,2024-09-29,AS Roma,Venezia,2,1,H,0,2
56,2024-09-29,Como,Verona,3,2,H,1,2
57,2024-09-29,Empoli,Fiorentina,0,0,D,0,0
58,2024-09-29,Napoli,Monza,2,0,H,2,0
59,2024-09-30,Parma,Cagliari,2,3,A,0,2
60,2024-10-04,Napoli,Como,3,1,H,1,2
61,2024-10-04,Verona,Venezia,2,1,H,1,1
62,2024-10-05,Udinese,Lecce,1,0,H,0,1
63,2024-10-05,Atalanta,Genoa,5,1,H,1,4
64,2024-10-05,Inter,Torino,3,2,H,2,1
65,2024-10-06,Juventus,Cagliari,1,1,D,1,0
66,2024-10-06,Lazio,Empoli,2,1,H,1,1
67,2024-10-06,Bologna,Parma,0,0,D,0,0
68,2024-10-06,Monza,AS Roma,1,1,D,0,1
69,2024-10-06,Fiorentina,AC Milan,2,1,H,1,1
70,2024-10-19,Genoa,Bologna,2,2,D,0,2
71,2024-10-19,Como,Parma,1,1,D,1,0
72,2024-10-19,AC Milan,Udinese,1,0,H,1,0
73,2024-10-19,Juventus,Lazio,1,0,H,0,1
74,2024-10-20,Empoli,Napoli,0,1,A,0,0
75,2024-10-20,Venezia,Atalanta,0,2,A,0,0
76,2024-10-20,Lecce,Fiorentina,0,6,A,0,0
77,2024-10-20,Cagliari,Torino,3,2,H,1,2
78,2024-10-20,AS Roma,Inter,0,1,A,0,0
79,2024-10-21,Verona,Monza,0,3,A,0,0
80,2024-10-25,Udinese,Cagliari,2,0,H,1,1
81,2024-10-25,Torino,Como,1,0,H,0,1
82,2024-10-26,Napoli,Lecce,1,0,H,0,1
83,2024-10-26,Atalanta,Verona,6,1,H,5,1
84,2024-10-27,Parma,Empoli,1,1,D,0,1
85,2024-10-27,Lazio,Genoa,3,0,H,1,2
86,2024-10-27,Monza,Venezia,2,2,D,2,0
87,2024-10-27,Inter,Juventus,4,4,D,3,1
88,2024-10-27,Fiorentina,AS Roma,5,1,H,3,2
89,2024-10-29,Cagliari,Bologna,0,2,A,0,0
90,2024-10-29,Lecce,Verona,1,0,H,0,1
91,2024-10-29,AC Milan,Napoli,0,2,A,0,0
92,2024-10-30,Empoli,Inter,0,3,A,0,0
93,2024-10-30,Venezia,Udinese,3,2,H,1,2
94,2024-10-30,Juventus,Parma,2,2,D,1,1
95,2024-10-30,Atalanta,Monza,2,0,H,0,2
96,2024-10-31,Genoa,Fiorentina,0,1,A,0,0
97,2024-10-31,AS Roma,Torino,1,0,H,1,0
98,2024-10-31,Como,Lazio,1,5,A,0,1
99,2024-11-02,Bologna,Lecce,1,0,H,0,1
100,2024-11-02,Udinese,Juventus,0,2,A,0,0
101,2024-11-02,Monza,AC Milan,0,1,A,0,0
102,2024-11-03,Napoli,Atalanta,0,3,A,0,0
103,2024-11-03,Torino,Fiorentina,0,1,A,0,0
104,2024-11-03,Verona,AS Roma,3,2,H,2,1
105,2024-11-03,Inter,Venezia,1,0,H,0,1
106,2024-11-04,Empoli,Como,1,0,H,0,1
107,2024-11-04,Parma,Genoa,0,1,A,0,0
108,2024-11-04,Lazio,Cagliari,2,1,H,1,1
109,2024-11-07,Genoa,Como,1,1,D,0,1
110,2024-11-08,Lecce,Empoli,1,1,D,0,1
111,2024-11-09,Venezia,Parma,1,2,A,1,0
112,2024-11-09,Cagliari,AC Milan,3,3,D,1,2
113,2024-11-09,Juventus,Torino,2,0,H,1,1
114,2024-11-10,Atalanta,Udinese,2,1,H,0,2
115,2024-11-10,AS Roma,Bologna,2,3,A,0,2
116,2024-11-10,Fiorentina,Verona,3,1,H,1,2
117,2024-11-10,Monza,Lazio,0,1,A,0,0
118,2024-11-10,Inter,Napoli,1,1,D,1,0
119,2024-11-23,Verona,Inter,0,5,A,0,0
120,2024-11-23,AC Milan,Juventus,0,0,D,0,0
121,2024-11-23,Parma,Atalanta,1,3,A,0,1
122,2024-11-24,Genoa,Cagliari,2,2,D,1,1
123,2024-11-24,Torino,Monza,1,1,D,0,1
124,2024-11-24,Como,Fiorentina,0,2,A,0,0
125,2024-11-24,Napoli,AS Roma,1,0,H,0,1
126,2024-11-24,Lazio,Bologna,3,0,H,0,3
127,2024-11-25,Empoli,Udinese,1,1,D,1,0
128,2024-11-25,Venezia,Lecce,0,1,A,0,0
129,2024-11-29,Cagliari,Verona,1,0,H,0,1
130,2024-11-30,Como,Monza,1,1,D,1,0
131,2024-11-30,AC Milan,Empoli,3,0,H,2,1
132,2024-11-30,Bologna,Venezia,3,0,H,1,2
133,2024-12-01,Udinese,Genoa,0,2,A,0,0
134,2024-12-01,Torino,Napoli,0,1,A,0,0
135,2024-12-01,Parma,Lazio,3,1,H,1,2
136,2024-12-01,Lecce,Juventus,1,1,D,0,1
137,2024-12-02,AS Roma,Atalanta,0,2,A,0,0
138,2024-12-06,Inter,Parma,3,1,H,1,2
139,2024-12-06,Atalanta,AC Milan,2,1,H,1,1
140,2024-12-07,Genoa,Torino,0,0,D,0,0
141,2024-12-07,Juventus,Bologna,2,2,D,0,2
142,2024-12-07,AS Roma,Lecce,4,1,H,1,3
143,2024-12-08,Fiorentina,Cagliari,1,0,H,1,0
144,2024-12-08,Verona,Empoli,1,4,A,1,0
145,2024-12-08,Venezia,Como,2,2,D,1,1
146,2024-12-08,Napoli,Lazio,0,1,A,0,0
147,2024-12-09,Monza,Udinese,1,2,A,0,1
148,2024-12-13,Empoli,Torino,0,1,A,0,0
149,2024-12-14,Cagliari,Atalanta,0,1,A,0,0
150,2024-12-14,Udinese,Napoli,1,3,A,1,0
151,2024-12-14,Juventus,Venezia,2,2,D,1,1
152,2024-12-15,Lecce,Monza,2,1,H,2,0
153,2024-12-15,Bologna,Fiorentina,1,0,H,0,1
154,2024-12-15,Parma,Verona,2,3,A,1,1
155,2024-12-15,Como,AS Roma,2,0,H,0,2
156,2024-12-15,AC Milan,Genoa,0,0,D,0,0
157,2024-12-16,Lazio,Inter,0,6,A,0,0
158,2024-12-20,Verona,AC Milan,0,1,A,0,0
159,2024-12-21,Torino,Bologna,0,2,A,0,0
