,league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
3314,serie_B,2025,2025-08-22,Pescara,Cesena,1,3,1,0,A
3315,serie_B,2025,2025-08-23,Empoli,Padova,3,1,2,1,H
3316,serie_B,2025,2025-08-23,Virtus Entella,Juve Stabia,1,1,0,1,D
3317,serie_B,2025,2025-08-23,Palermo,Reggiana,2,1,1,1,H
3318,serie_B,2025,2025-08-23,Monza,Mantova,1,0,0,1,H
3319,serie_B,2025,2025-08-24,Spezia,Carrarese,0,2,0,0,A
3320,serie_B,2025,2025-08-24,Venezia,Bari,2,1,2,0,H
3321,serie_B,2025,2025-08-24,Frosinone,Avellino,2,0,2,0,H
3322,serie_B,2025,2025-08-24,Catanzaro,Sudtirol,1,1,0,1,D
3323,serie_B,2025,2025-08-25,Sampdoria,Modena,0,2,0,0,A
3324,serie_B,2025,2025-08-29,Reggiana,Empoli,3,1,1,2,H
3325,serie_B,2025,2025-08-30,Juve Stabia,Venezia,0,0,0,0,D
3326,serie_B,2025,2025-08-30,Mantova,Pescara,2,1,1,1,H
3327,serie_B,2025,2025-08-30,Cesena,Virtus Entella,1,1,0,1,D
3328,serie_B,2025,2025-08-30,Spezia,Catanzaro,0,0,0,0,D
3329,serie_B,2025,2025-08-30,Palermo,Frosinone,0,0,0,0,D
3330,serie_B,2025,2025-08-31,Sudtirol,Sampdoria,3,1,3,0,H
3331,serie_B,2025,2025-08-31,Carrarese,Padova,0,0,0,0,D
3332,serie_B,2025,2025-08-31,Bari,Monza,1,1,1,0,D
3333,serie_B,2025,2025-08-31,Modena,Avellino,1,1,0,1,D
3334,serie_B,2025,2025-09-12,Avellino,Monza,2,1,1,1,H
3335,serie_B,2025,2025-09-13,Pescara,Venezia,2,2,0,2,D
3336,serie_B,2025,2025-09-13,Juve Stabia,Reggiana,0,0,0,0,D
3337,serie_B,2025,2025-09-13,Padova,Frosinone,0,1,0,0,A
3338,serie_B,2025,2025-09-13,Modena,Bari,3,0,1,2,H
3339,serie_B,2025,2025-09-13,Catanzaro,Carrarese,1,1,0,1,D
3340,serie_B,2025,2025-09-13,Sampdoria,Cesena,1,2,0,1,A
3341,serie_B,2025,2025-09-14,Virtus Entella,Mantova,1,0,1,0,H
3342,serie_B,2025,2025-09-14,Sudtirol,Palermo,0,2,0,0,A
3343,serie_B,2025,2025-09-14,Empoli,Spezia,1,1,0,1,D
3344,serie_B,2025,2025-09-19,Frosinone,Sudtirol,2,2,2,0,D
3345,serie_B,2025,2025-09-19,Palermo,Bari,2,0,0,2,H
3346,serie_B,2025,2025-09-20,Spezia,Juve Stabia,1,3,0,1,A
3347,serie_B,2025,2025-09-20,Venezia,Cesena,1,2,0,1,A
3348,serie_B,2025,2025-09-20,Reggiana,Catanzaro,2,2,1,1,D
3349,serie_B,2025,2025-09-20,Monza,Sampdoria,1,0,0,1,H
3350,serie_B,2025,2025-09-20,Mantova,Modena,1,3,1,0,A
3351,serie_B,2025,2025-09-21,Carrarese,Avellino,3,4,2,1,A
3352,serie_B,2025,2025-09-21,Pescara,Empoli,4,0,0,4,H
3353,serie_B,2025,2025-09-21,Padova,Virtus Entella,2,1,0,2,H
3354,serie_B,2025,2025-09-26,Catanzaro,Juve Stabia,2,2,0,2,D
3355,serie_B,2025,2025-09-27,Cesena,Palermo,1,1,1,0,D
3356,serie_B,2025,2025-09-27,Venezia,Spezia,2,0,1,1,H
3357,serie_B,2025,2025-09-27,Avellino,Virtus Entella,2,0,1,1,H
3358,serie_B,2025,2025-09-27,Sudtirol,Reggiana,3,1,2,1,H
3359,serie_B,2025,2025-09-27,Mantova,Frosinone,1,5,0,1,A
3360,serie_B,2025,2025-09-27,Monza,Padova,0,1,0,0,A
3361,serie_B,2025,2025-09-27,Bari,Sampdoria,1,1,1,0,D
3362,serie_B,2025,2025-09-28,Modena,Pescara,2,1,0,2,H
3363,serie_B,2025,2025-09-28,Empoli,Carrarese,2,2,1,1,D
3364,serie_B,2025,2025-09-30,Frosinone,Cesena,3,1,0,3,H
3365,serie_B,2025,2025-09-30,Palermo,Venezia,0,0,0,0,D
3366,serie_B,2025,2025-09-30,Virtus Entella,Bari,2,2,0,2,D
3367,serie_B,2025,2025-09-30,Juve Stabia,Mantova,2,1,2,0,H
3368,serie_B,2025,2025-09-30,Padova,Avellino,2,2,2,0,D
3369,serie_B,2025,2025-09-30,Reggiana,Spezia,1,1,0,1,D
3370,serie_B,2025,2025-10-01,Sampdoria,Catanzaro,0,0,0,0,D
3371,serie_B,2025,2025-10-01,Empoli,Monza,1,1,0,1,D
3372,serie_B,2025,2025-10-01,Pescara,Sudtirol,1,1,0,1,D
3373,serie_B,2025,2025-10-01,Carrarese,Modena,0,0,0,0,D
3374,serie_B,2025,2025-10-04,Bari,Padova,2,1,0,2,H
3375,serie_B,2025,2025-10-04,Venezia,Frosinone,3,0,2,1,H
3376,serie_B,2025,2025-10-04,Avellino,Mantova,0,0,0,0,D
3377,serie_B,2025,2025-10-04,Monza,Catanzaro,2,1,1,1,H
3378,serie_B,2025,2025-10-04,Spezia,Palermo,1,2,0,1,A
3379,serie_B,2025,2025-10-04,Cesena,Reggiana,1,2,1,0,A
3380,serie_B,2025,2025-10-05,Sudtirol,Empoli,1,2,1,0,A
3381,serie_B,2025,2025-10-05,Carrarese,Juve Stabia,3,0,1,2,H
3382,serie_B,2025,2025-10-05,Sampdoria,Pescara,4,1,0,4,H
3383,serie_B,2025,2025-10-05,Modena,Virtus Entella,2,0,0,2,H
