league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
Suisse,2025,2025-07-25,FC Zurich,FC Sion,2,3,1,0,A
Suisse,2025,2025-07-26,FC ST. Gallen,FC Basel 1893,2,1,0,1,H
Suisse,2025,2025-07-26,Grasshoppers,FC Luzern,2,3,2,2,A
Suisse,2025,2025-07-26,BSC Young Boys,Servette FC,3,1,2,1,H
Suisse,2025,2025-07-27,FC Lugano,FC Thun,1,2,1,0,A
Suisse,2025,2025-07-27,Lausanne,FC Winterthur,3,2,0,1,H
Suisse,2025,2025-08-02,FC Winterthur,BSC Young Boys,1,1,0,1,D
Suisse,2025,2025-08-02,Servette FC,FC ST. Gallen,1,4,1,3,A
Suisse,2025,2025-08-02,FC Basel 1893,Grasshoppers,2,1,1,0,H
Suisse,2025,2025-08-03,FC Thun,Lausanne,2,1,1,0,H
Suisse,2025,2025-08-03,FC Sion,FC Lugano,4,0,2,0,H
Suisse,2025,2025-08-03,FC Luzern,FC Zurich,1,1,0,0,D
Suisse,2025,2025-08-06,FC Basel 1893,BSC Young Boys,4,1,1,1,H
Suisse,2025,2025-08-09,FC ST. Gallen,FC Winterthur,5,0,3,0,H
Suisse,2025,2025-08-09,FC Luzern,FC Thun,1,2,1,1,A
Suisse,2025,2025-08-10,BSC Young Boys,FC Sion,0,0,0,0,D
Suisse,2025,2025-08-10,FC Lugano,FC Basel 1893,3,1,2,0,H
Suisse,2025,2025-08-10,Lausanne,FC Zurich,1,2,1,1,A
Suisse,2025,2025-08-10,Servette FC,Grasshoppers,1,1,0,1,D
Suisse,2025,2025-08-23,FC Zurich,FC Thun,0,4,0,2,A
Suisse,2025,2025-08-24,Grasshoppers,FC Winterthur,2,2,1,0,D
Suisse,2025,2025-08-24,FC ST. Gallen,FC Luzern,0,1,0,1,A
Suisse,2025,2025-08-30,FC Thun,Grasshoppers,1,1,0,0,D
Suisse,2025,2025-08-30,FC Winterthur,FC Zurich,1,3,0,0,A
Suisse,2025,2025-08-30,FC Sion,FC Basel 1893,0,1,0,1,A
Suisse,2025,2025-08-31,Lausanne,FC ST. Gallen,1,2,0,0,A
Suisse,2025,2025-08-31,BSC Young Boys,FC Lugano,3,1,1,1,H
Suisse,2025,2025-08-31,Servette FC,FC Luzern,2,2,0,1,D
Suisse,2025,2025-09-13,FC Zurich,Servette FC,2,1,2,0,H
Suisse,2025,2025-09-13,FC Thun,FC Basel 1893,1,3,0,2,A
Suisse,2025,2025-09-13,FC ST. Gallen,FC Lugano,1,0,1,0,H
Suisse,2025,2025-09-14,FC Winterthur,FC Sion,2,3,1,3,A
Suisse,2025,2025-09-14,FC Luzern,BSC Young Boys,1,2,0,0,A
Suisse,2025,2025-09-14,Grasshoppers,Lausanne,3,1,1,0,H
Suisse,2025,2025-09-17,FC Lugano,Lausanne,1,1,1,0,D
Suisse,2025,2025-09-17,FC Sion,Servette FC,0,2,0,0,A
Suisse,2025,2025-09-27,FC Lugano,Grasshoppers,2,1,0,0,H
Suisse,2025,2025-09-27,Servette FC,FC Winterthur,4,0,1,0,H
Suisse,2025,2025-09-27,FC Zurich,FC ST. Gallen,3,1,0,1,H
Suisse,2025,2025-09-28,BSC Young Boys,FC Thun,4,2,0,0,H
Suisse,2025,2025-09-28,FC Basel 1893,FC Luzern,1,2,0,1,A
Suisse,2025,2025-09-28,FC Sion,Lausanne,0,0,0,0,D
Suisse,2025,2025-10-04,FC Luzern,FC Sion,3,3,2,0,D
Suisse,2025,2025-10-04,FC ST. Gallen,FC Thun,1,2,1,2,A
Suisse,2025,2025-10-04,Grasshoppers,FC Zurich,3,0,1,0,H
Suisse,2025,2025-10-05,Lausanne,BSC Young Boys,5,0,2,0,H
Suisse,2025,2025-10-05,FC Winterthur,FC Lugano,2,4,1,0,A
Suisse,2025,2025-10-05,Servette FC,FC Basel 1893,0,3,0,2,A
Suisse,2025,2025-10-18,FC Basel 1893,FC Winterthur,3,0,3,0,H
Suisse,2025,2025-10-18,FC Thun,Servette FC,3,1,2,1,H
Suisse,2025,2025-10-18,FC Lugano,FC Zurich,1,0,1,0,H
Suisse,2025,2025-10-19,Grasshoppers,FC Sion,0,1,0,0,A
Suisse,2025,2025-10-19,BSC Young Boys,FC ST. Gallen,1,2,0,0,A
Suisse,2025,2025-10-19,FC Luzern,Lausanne,2,2,0,0,D
Suisse,2025,2025-10-25,FC Sion,FC Thun,0,1,0,1,A
Suisse,2025,2025-10-25,FC ST. Gallen,Grasshoppers,5,0,3,0,H
Suisse,2025,2025-10-25,FC Winterthur,FC Luzern,2,2,2,0,D
Suisse,2025,2025-10-26,FC Zurich,BSC Young Boys,2,3,2,1,A
Suisse,2025,2025-10-26,Lausanne,FC Basel 1893,5,1,3,0,H
Suisse,2025,2025-10-26,Servette FC,FC Lugano,2,1,1,1,H
Suisse,2025,2025-10-28,FC Sion,FC ST. Gallen,3,2,3,1,H
Suisse,2025,2025-10-28,FC Thun,FC Winterthur,3,0,2,0,H
Suisse,2025,2025-10-29,FC Basel 1893,FC Zurich,2,0,1,0,H
Suisse,2025,2025-10-29,Lausanne,Servette FC,1,3,0,0,A
Suisse,2025,2025-10-30,FC Lugano,FC Luzern,2,0,0,0,H
Suisse,2025,2025-10-30,Grasshoppers,BSC Young Boys,3,3,2,1,D
Suisse,2025,2025-11-01,FC Thun,FC Sion,2,1,1,1,H
Suisse,2025,2025-11-01,FC Winterthur,Servette FC,4,2,0,1,H
Suisse,2025,2025-11-01,FC Zurich,Lausanne,1,2,1,1,A
Suisse,2025,2025-11-02,BSC Young Boys,FC Basel 1893,0,0,0,0,D
Suisse,2025,2025-11-02,FC Luzern,Grasshoppers,6,0,3,0,H
Suisse,2025,2025-11-08,FC Zurich,FC Luzern,3,2,0,2,H
Suisse,2025,2025-11-08,FC Winterthur,Grasshoppers,0,1,0,0,A
