,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
0,2024-07-20,FC Lugano,Grasshoppers,2,1,0,2,H
1,2024-07-20,Yverdon Sport,FC Zurich,0,2,0,0,A
2,2024-07-20,FC Winterthur,FC ST. Gallen,1,0,0,1,H
3,2024-07-21,BSC Young Boys,FC Sion,1,2,1,0,A
4,2024-07-21,FC Luzern,Servette FC,1,2,0,1,A
5,2024-07-21,Lausanne,FC Basel 1893,3,2,3,0,H
6,2024-07-24,Servette FC,BSC Young Boys,3,1,2,1,H
7,2024-07-27,FC Sion,Lausanne,4,0,2,2,H
8,2024-07-27,Grasshoppers,FC Luzern,2,2,0,2,D
9,2024-07-27,FC Basel 1893,FC Lugano,1,2,0,1,A
10,2024-07-28,Servette FC,Yverdon Sport,3,2,2,1,H
11,2024-07-28,FC Zurich,FC Winterthur,4,2,2,2,H
12,2024-07-28,FC ST. Gallen,BSC Young Boys,4,0,2,2,H
13,2024-08-03,FC Lugano,Servette FC,3,1,0,3,H
14,2024-08-03,Grasshoppers,FC Basel 1893,0,3,0,0,A
15,2024-08-03,FC Luzern,FC Sion,1,0,0,1,H
16,2024-08-04,Lausanne,FC ST. Gallen,3,4,1,2,A
17,2024-08-04,BSC Young Boys,FC Zurich,2,2,1,1,D
18,2024-08-04,FC Winterthur,Yverdon Sport,0,0,0,0,D
19,2024-08-10,FC Sion,FC Winterthur,2,0,0,2,H
20,2024-08-10,Yverdon Sport,BSC Young Boys,2,2,1,1,D
21,2024-08-11,FC ST. Gallen,Grasshoppers,1,0,0,1,H
22,2024-08-11,FC Lugano,FC Luzern,2,3,2,0,A
23,2024-08-11,FC Zurich,Lausanne,2,0,1,1,H
24,2024-08-11,Servette FC,FC Basel 1893,0,6,0,0,A
25,2024-08-24,FC Luzern,FC Winterthur,3,0,1,2,H
26,2024-08-24,Grasshoppers,FC Sion,3,1,1,2,H
27,2024-08-25,FC Basel 1893,Yverdon Sport,2,0,1,1,H
28,2024-08-31,FC Sion,FC Basel 1893,1,1,1,0,D
29,2024-08-31,Yverdon Sport,Grasshoppers,2,1,0,2,H
30,2024-08-31,BSC Young Boys,Lausanne,1,1,1,0,D
31,2024-09-01,FC Winterthur,Servette FC,0,1,0,0,A
32,2024-09-01,FC Lugano,FC ST. Gallen,1,1,1,0,D
33,2024-09-01,FC Zurich,FC Luzern,1,1,0,1,D
34,2024-09-18,Lausanne,FC Lugano,1,2,0,1,A
35,2024-09-21,FC ST. Gallen,FC Luzern,2,3,2,0,A
36,2024-09-21,Grasshoppers,Servette FC,2,2,1,1,D
37,2024-09-21,FC Basel 1893,FC Zurich,0,2,0,0,A
38,2024-09-22,Lausanne,Yverdon Sport,3,1,2,1,H
39,2024-09-22,FC Sion,FC Lugano,0,0,0,0,D
40,2024-09-22,FC Winterthur,BSC Young Boys,1,4,0,1,A
41,2024-09-24,FC ST. Gallen,FC Zurich,4,1,1,3,H
42,2024-09-28,Servette FC,Lausanne,1,0,1,0,H
43,2024-09-28,Yverdon Sport,FC ST. Gallen,1,0,0,1,H
