,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
6929,2024-08-09,Galatasaray,Hatayspor,2,1,0,2,H
6930,2024-08-10,Kasimpasa,Konyaspor,2,3,0,2,A
6931,2024-08-10,Fenerbahce,Adana Demirspor,1,0,1,0,H
6932,2024-08-10,Antalyaspor,Goztepe,0,0,0,0,D
6933,2024-08-11,Sivasspor,Trabzonspor,0,0,0,0,D
6934,2024-08-11,Alanyaspor,Eyüpspor,1,1,0,1,D
6935,2024-08-11,Samsunspor,Besiktas,0,2,0,0,A
6936,2024-08-12,Rizespor,Istanbul Basaksehir,1,1,1,0,D
6937,2024-08-12,BB Bodrumspor,Gazişehir Gaziantep,0,1,0,0,A
6938,2024-08-16,Konyaspor,Galatasaray,1,2,1,0,A
6939,2024-08-17,Kayserispor,Sivasspor,1,2,1,0,A
6940,2024-08-17,Goztepe,Fenerbahce,2,2,0,2,D
6941,2024-08-17,Adana Demirspor,Rizespor,1,2,0,1,A
6942,2024-08-18,Istanbul Basaksehir,Alanyaspor,4,2,1,3,H
6943,2024-08-18,Besiktas,Antalyaspor,4,2,2,2,H
6944,2024-08-18,Gazişehir Gaziantep,Samsunspor,0,1,0,0,A
6945,2024-08-19,Hatayspor,Kasimpasa,1,1,1,0,D
6946,2024-08-19,Eyüpspor,BB Bodrumspor,4,1,0,4,H
6947,2024-08-23,Alanyaspor,Goztepe,1,1,0,1,D
6948,2024-08-24,Sivasspor,Eyüpspor,0,1,0,0,A
6949,2024-08-24,BB Bodrumspor,Konyaspor,3,1,2,1,H
6950,2024-08-25,Kasimpasa,Adana Demirspor,2,2,1,1,D
6951,2024-08-25,Antalyaspor,Hatayspor,3,2,0,3,H
6952,2024-08-25,Rizespor,Fenerbahce,0,5,0,0,A
6953,2024-08-30,Fenerbahce,Alanyaspor,3,0,1,2,H
6954,2024-08-31,Konyaspor,Kayserispor,0,0,0,0,D
6955,2024-08-31,Rizespor,Kasimpasa,0,1,0,0,A
6956,2024-08-31,Goztepe,BB Bodrumspor,2,0,2,0,H
6957,2024-08-31,Adana Demirspor,Galatasaray,1,5,0,1,A
6958,2024-09-01,Istanbul Basaksehir,Antalyaspor,5,2,1,4,H
6959,2024-09-01,Eyüpspor,Trabzonspor,0,0,0,0,D
6960,2024-09-01,Besiktas,Sivasspor,2,0,1,1,H
6961,2024-09-01,Hatayspor,Samsunspor,0,3,0,0,A
6962,2024-09-14,Sivasspor,Gazişehir Gaziantep,3,2,1,2,H
6963,2024-09-14,Samsunspor,Konyaspor,0,1,0,0,A
6964,2024-09-14,Galatasaray,Rizespor,5,0,2,3,H
6965,2024-09-14,BB Bodrumspor,Istanbul Basaksehir,0,1,0,0,A
6966,2024-09-15,Kayserispor,Eyüpspor,2,2,0,2,D
6967,2024-09-15,Kasimpasa,Fenerbahce,0,2,0,0,A
6968,2024-09-15,Alanyaspor,Hatayspor,0,0,0,0,D
6969,2024-09-15,Trabzonspor,Besiktas,1,1,1,0,D
6970,2024-09-16,Antalyaspor,Adana Demirspor,2,1,0,2,H
6971,2024-09-17,Galatasaray,Gazişehir Gaziantep,3,1,2,1,H
6972,2024-09-18,Samsunspor,Istanbul Basaksehir,2,0,0,2,H
6973,2024-09-19,Trabzonspor,Kayserispor,2,2,0,2,D
6974,2024-09-20,Hatayspor,BB Bodrumspor,0,1,0,0,A
6975,2024-09-21,Konyaspor,Sivasspor,0,0,0,0,D
6976,2024-09-21,Fenerbahce,Galatasaray,1,3,0,1,A
6977,2024-09-22,Kasimpasa,Antalyaspor,0,0,0,0,D
6978,2024-09-22,Rizespor,Samsunspor,0,1,0,0,A
6979,2024-09-22,Besiktas,Eyüpspor,2,1,1,1,H
6980,2024-09-22,Adana Demirspor,Alanyaspor,0,2,0,0,A
6981,2024-09-23,Goztepe,Kayserispor,3,0,2,1,H
6982,2024-09-23,Gazişehir Gaziantep,Trabzonspor,0,0,0,0,D
6983,2024-09-27,Sivasspor,Istanbul Basaksehir,1,2,0,1,A
6984,2024-09-28,Samsunspor,Goztepe,4,3,1,3,H
6985,2024-09-28,Galatasaray,Kasimpasa,3,3,3,0,D
6986,2024-09-28,Alanyaspor,Rizespor,1,0,1,0,H
6987,2024-09-29,Trabzonspor,Konyaspor,3,2,2,1,H
6988,2024-09-29,Eyüpspor,Gazişehir Gaziantep,3,2,1,2,H
6989,2024-09-29,Antalyaspor,Fenerbahce,0,2,0,0,A
6990,2024-09-29,BB Bodrumspor,Adana Demirspor,3,1,1,2,H
6991,2024-09-30,Kayserispor,Besiktas,0,3,0,0,A
6992,2024-10-04,Rizespor,Antalyaspor,2,1,2,0,H
