league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
Turquie,2022,2022-08-05,İstanbulspor,Trabzonspor,0,2,0,0,A
Turquie,2022,2022-08-06,Sivasspor,Gazişehir Gaziantep,1,1,0,1,D
Turquie,2022,2022-08-06,Besiktas,Kayserispor,1,0,0,1,H
Turquie,2022,2022-08-07,Giresunspor,Adana Demirspor,2,3,0,2,A
Turquie,2022,2022-08-07,Fatih Karagümrük,Alanyaspor,2,4,0,2,A
Turquie,2022,2022-08-07,Antalyaspor,Galatasaray,0,1,0,0,A
Turquie,2022,2022-08-08,Istanbul Basaksehir,Kasimpasa,4,0,2,2,H
Turquie,2022,2022-08-08,Fenerbahce,Ümraniyespor,3,3,2,1,D
Turquie,2022,2022-08-08,Ankaragucu,Konyaspor,0,0,0,0,D
Turquie,2022,2022-08-12,Trabzonspor,Hatayspor,1,0,0,1,H
Turquie,2022,2022-08-13,Kayserispor,İstanbulspor,1,0,1,0,H
Turquie,2022,2022-08-13,Galatasaray,Giresunspor,0,1,0,0,A
Turquie,2022,2022-08-13,Adana Demirspor,Sivasspor,3,0,1,2,H
Turquie,2022,2022-08-14,Gazişehir Gaziantep,Ankaragucu,1,0,0,1,H
Turquie,2022,2022-08-14,Ümraniyespor,Antalyaspor,0,1,0,0,A
Turquie,2022,2022-08-14,Alanyaspor,Besiktas,3,3,1,2,D
Turquie,2022,2022-08-15,Konyaspor,Istanbul Basaksehir,0,0,0,0,D
Turquie,2022,2022-08-15,Kasimpasa,Fenerbahce,0,6,0,0,A
Turquie,2022,2022-08-19,Ümraniyespor,Galatasaray,0,1,0,0,A
Turquie,2022,2022-08-20,Giresunspor,Kasimpasa,1,0,0,1,H
Turquie,2022,2022-08-20,Hatayspor,Gazişehir Gaziantep,1,2,1,0,A
Turquie,2022,2022-08-20,Antalyaspor,Trabzonspor,5,2,2,3,H
Turquie,2022,2022-08-21,Istanbul Basaksehir,Kayserispor,2,0,1,1,H
Turquie,2022,2022-08-21,Besiktas,Fatih Karagümrük,4,1,2,2,H
Turquie,2022,2022-08-22,Sivasspor,Alanyaspor,1,1,1,0,D
Turquie,2022,2022-08-22,İstanbulspor,Konyaspor,0,4,0,0,A
Turquie,2022,2022-08-22,Fenerbahce,Adana Demirspor,4,2,2,2,H
Turquie,2022,2022-08-26,Gazişehir Gaziantep,Antalyaspor,5,2,1,4,H
Turquie,2022,2022-08-27,Fatih Karagümrük,Ankaragucu,4,1,2,2,H
Turquie,2022,2022-08-27,Alanyaspor,İstanbulspor,0,1,0,0,A
Turquie,2022,2022-08-27,Adana Demirspor,Ümraniyespor,1,0,1,0,H
Turquie,2022,2022-08-28,Kayserispor,Giresunspor,3,0,1,2,H
